Time (s),Bitrate (Bps)
0,4303.94
1,4171.92
2,4198.17
3,4148.22
4,4154.63
5,4170.91
6,4210.58
7,4192.23
8,4170.91
9,4211.60
10,4163.45
11,4170.91
12,4179.70
13,4162.44
14,4202.70
15,4186.93
16,4184.51
17,4170.06
18,4222.56
19,4152.44
20,4183.76
21,4181.73
22,4130.21
23,4210.20
24,4185.71
25,4176.83
26,4163.45
27,4207.95
28,4142.42
29,4166.67
30,4232.53
31,4183.67
32,4170.91
33,4179.41
34,4253.31
35,4134.42
36,4170.91
37,4174.44
38,4207.08
39,4200.82
40,4183.67
41,4220.18
42,4169.37
43,4197.15
44,4126.02
45,4207.32
46,4182.10
47,4188.97
48,4209.23
49,4210.79
50,4200.61
51,4154.94
52,4211.60
53,4130.21
54,4170.91
55,4146.07
56,4220.18
57,4126.02
58,4212.61
59,4175.15
60,4170.91
61,4129.20
62,4200.82
63,4198.80
64,4218.30
65,4126.02
66,4218.72
67,4173.29
68,4162.44
69,4162.44
70,4256.49
71,4151.33
72,4187.95
73,4176.83
74,4242.08
75,4148.52
76,4169.72
77,4159.39
78,4214.95
79,4192.23
80,4227.78
81,4131.23
82,4204.06
83,4207.32
84,4126.02
85,4166.67
86,4235.42
87,4197.95
88,4228.80
89,4138.63
90,4233.20
91,4169.87
92,4166.67
93,4170.91
94,4208.33
95,4172.38
96,4134.42
97,4192.86
98,4186.42
99,4195.94
100,4186.54
101,4166.67
102,4170.91
103,4185.42
104,4183.67
105,4162.93
106,4197.77
107,4180.89
108,4154.00
109,4157.84
110,4205.61
111,4182.65
112,4192.46
113,4136.18
114,4199.80
115,4162.44
116,4228.80
117,4170.91
118,4219.33
119,4149.30
120,4125.00
121,4170.91
122,4169.54
123,4169.04
124,4220.18
125,4162.44
126,4210.58
127,4164.10
128,4175.15
129,4187.95
130,4240.85
131,4159.72
132,4153.77
133,4200.00
134,4176.53
135,4196.12
136,4199.80
137,4204.50
138,4206.51
139,4181.26
140,4138.95
141,4110.44
142,4155.49
143,4153.06
144,4155.80
145,4130.70
146,4199.59
147,4170.91
148,4211.60
149,4166.67
150,4202.04
151,4161.06
152,4088.50
153,4170.91
154,4248.98
155,4130.21
156,4186.35
157,4187.63
158,4177.75
159,4228.80
160,4179.41
161,4166.67
162,4198.98
163,4142.28
164,4151.27
165,4129.20
166,4207.32
167,4143.00
168,4128.80
169,4162.77
170,4204.06
171,4207.32
172,4134.42
173,4185.15
174,4193.09
175,4069.07
176,4132.52
177,4215.89
178,4163.45
179,4179.41
180,4166.67
181,4171.40
182,4240.08
183,4141.84
184,4133.40
185,4166.67
186,4211.81
187,4171.75
188,4162.44
189,4126.65
190,4199.39
191,4183.67
192,4181.06
193,4185.34
194,4227.87
195,4181.91
196,4138.63
197,4194.53
198,4221.20
199,4181.06
200,4170.91
201,4166.67
202,4182.74
203,4174.27
204,4180.43
205,4155.17
206,4137.47
207,4186.93
208,4142.86
209,4162.44
210,4204.06
211,4181.54
212,4183.49
213,4147.06
214,4217.79
215,4175.15
216,4227.08
217,4148.68
218,4234.76
219,4161.06
220,4172.94
221,4133.87
222,4217.92
223,4162.24
224,4124.24
225,4154.47
226,4253.31
227,4166.67
228,4170.91
229,4162.44
230,4221.20
231,4170.91
232,4130.35
233,4165.48
234,4216.90
235,4175.15
236,4166.67
237,4166.67
238,4195.72
239,4163.10
240,4133.40
241,4145.47
242,4238.05
243,4167.85
244,4124.87
245,4158.22
246,4170.91
247,4186.09
248,4096.74
249,4194.08
250,4200.81
251,4203.27
252,4169.89
253,4132.73
254,4234.70
255,4128.57
256,4150.87
257,4154.63
258,4217.26
259,4154.94
260,4194.11
261,4134.28
262,4246.19
263,4152.75
264,4112.02
265,4204.68
266,4192.27
267,4161.75
268,4170.91
269,4187.82
270,4245.15
271,4163.37
272,4179.04
273,4174.80
274,4217.92
275,4142.57
276,4159.39
277,4175.81
278,4152.44
279,4224.49
280,4130.21
281,4211.60
282,4186.73
283,4199.39
284,4175.81
285,4157.20
286,4191.84
287,4177.94
288,4209.78
289,4142.71
290,4221.20
291,4175.15
292,4154.00
293,4185.41
294,4201.40
295,4172.38
296,4162.77
297,4142.57
298,4246.69
299,4181.91
300,4158.22
301,4162.44
302,4180.43
303,4201.66
304,4191.45
305,4166.67
306,4174.80
307,4189.85
308,4140.53
309,4116.63
310,4179.41
311,4182.65
312,4133.81
313,4190.62
314,4211.60
315,4128.05
316,4170.91
317,4166.67
318,4221.20
319,4191.84
320,4170.48
321,4174.97
322,4203.25
323,4177.85
324,4167.68
325,4155.33
326,4260.20
327,4101.02
328,4129.20
329,4181.08
330,4185.41
331,4170.91
332,4162.44
333,4181.06
334,4275.83
335,4183.67
336,4092.67
337,4170.91
338,4212.61
339,4211.60
340,4121.83
341,4198.78
342,4216.11
343,4139.51
344,4174.13
345,4148.52
346,4217.83
347,4109.31
348,4189.13
