Time (s),Bitrate (Bps)
0,130200.37
1,134258.06
2,138858.63
3,124161.32
4,92702.70
5,90373.58
6,97639.57
7,97226.26
8,98180.23
9,73230.05
10,45957.29
11,64124.09
12,31738.32
13,66379.13
14,64734.23
15,25141.53
16,63723.89
17,101092.04
18,102262.94
19,101542.53
20,102526.86
21,99979.34
22,102106.57
23,102560.82
24,104250.78
25,105268.04
26,107909.58
27,109265.27
28,118862.46
29,99821.12
30,95240.66
31,90995.98
32,85997.93
33,77646.57
34,68541.41
35,63584.20
36,52371.37
37,64034.41
38,90943.63
39,87759.56
40,71438.02
41,102706.38
42,181558.88
43,148830.66
44,67349.27
45,68269.55
46,68948.29
47,75757.77
48,106987.95
49,74329.90
50,22419.96
51,42396.07
52,39409.89
53,26412.25
54,59135.33
55,47011.35
56,60585.32
57,55635.89
58,79635.04
59,100189.64
60,107270.94
61,85612.60
62,147755.92
63,21779.50
64,35899.07
65,35007.23
66,33924.51
67,101366.08
68,159189.83
69,128711.85
70,182947.79
71,186568.97
72,186798.96
73,145983.40
74,125351.60
75,93798.55
76,68522.23
77,35013.95
78,18110.33
79,42581.18
80,51114.91
81,35318.46
82,33976.22
83,43059.25
84,51777.06
85,29815.26
86,32085.48
87,24304.53
88,42923.47
89,63533.20
90,48109.26
91,27680.12
92,26397.73
93,44293.69
94,38330.24
95,76234.26
96,37585.32
97,60108.92
98,69281.57
99,88184.46
100,57496.89
101,70763.43
102,65596.07
103,67407.45
104,66292.23
105,85713.55
106,81829.52
107,59945.89
108,56661.86
109,85881.20
110,84392.16
111,85771.93
112,186768.60
113,140376.93
114,97539.26
115,92577.20
116,95374.19
117,52376.08
118,39039.58
119,50415.49
120,71688.98
121,81295.34
122,42599.17
123,47573.21
124,60550.16
125,58625.77
126,54428.87
127,66862.18
128,80742.24
129,76577.80
130,50105.81
131,77425.03
132,77697.63
133,90992.78
134,69013.44
135,74256.97
136,117591.33
137,64908.15
138,49366.94
139,43952.28
140,29427.09
141,23846.71
142,46241.49
143,49173.06
144,82168.56
145,98576.29
146,105057.97
147,74259.88
148,72110.77
149,44872.03
150,33172.88
151,29364.11
152,41207.43
153,54257.26
154,74105.32
155,79489.67
156,76438.34
157,92387.80
158,59312.37
159,65669.07
160,37312.37
161,48377.71
162,88529.66
163,69795.43
164,39020.60
165,29810.11
166,48051.60
167,49270.38
168,61622.93
169,104116.98
170,115374.74
171,78992.69
172,65487.55
173,70898.36
174,107518.60
175,115769.39
176,107336.79
177,110411.21
178,98260.64
179,89530.99
180,146261.32
181,137349.17
182,69550.72
183,19075.49
184,22152.17
185,69067.15
186,151591.29
187,98891.08
188,98218.33
189,165610.93
190,61500.00
191,34958.63
192,70306.10
193,64067.43
194,72933.26
195,52758.26
196,54186.72
197,48375.90
198,34871.37
199,78875.00
200,102166.84
201,52108.92
202,129816.96
203,148064.31
204,172989.96
205,156184.16
206,202769.31
207,99019.65
208,53958.46
209,62102.38
210,81394.35
211,90648.65
212,79856.26
213,51661.86
214,41689.12
215,18612.60
216,20131.74
217,37443.52
218,34143.45
219,93923.08
220,95812.24
221,68111.92
222,65512.42
223,58993.77
224,22334.02
225,31619.83
226,90443.52
227,61154.96
228,37771.22
229,37573.94
230,43865.15
231,28804.55
232,29764.22
233,40530.63
234,63991.67
235,71798.55
236,110130.17
237,145324.05
238,133001.03
239,106954.45
240,93795.24
241,154315.41
242,89701.55
243,68909.94
244,61054.75
245,83709.71
246,127218.20
247,84733.75
248,64136.65
249,34162.36
250,65009.34
251,78825.73
252,87436.83
253,57772.41
254,88434.33
255,59742.50
256,79214.06
257,51380.85
258,43533.20
259,55144.64
260,71331.96
261,41439.50
262,52865.56
263,62239.42
264,136206.22
265,139012.51
266,138279.17
267,76294.00
268,68625.26
269,71601.86
270,83315.35
271,90323.32
272,97513.99
273,86864.20
274,70439.71
275,52914.17
276,51231.88
277,68926.73
278,36586.35
279,22543.95
280,25431.37
281,35578.51
282,37290.46
283,31257.53
284,24271.69
285,50622.93
286,92820.06
287,159125.13
288,128661.49
289,62473.14
290,54344.72
291,133209.54
292,77124.87
293,26943.30
294,76938.14
295,66435.95
296,85463.36
297,104314.26
298,79584.98
299,46058.82
300,67324.38
301,140029.96
302,50027.89
303,46825.41
304,95993.79
305,81130.43
306,151339.90
307,159782.61
308,106398.55
309,115010.29
310,105245.61
311,117851.46
312,123538.78
313,117418.75
314,171696.65
315,140057.05
316,46717.98
317,131694.93
318,95154.72
319,81229.58
320,129375.78
321,222156.31
322,96910.70
323,100955.58
324,97657.05
325,95840.41
326,95158.06
327,83187.37
328,71273.58
329,66536.71
330,98149.22
331,38789.86
332,17810.11
333,52868.31
334,43871.00
335,36652.53
336,140159.96
337,186327.80
338,186886.69
339,196549.59
340,155311.27
341,138982.46
342,158193.58
343,174532.51
344,184293.26
345,108377.85
346,151355.07
347,51343.98
348,109348.89
