Chunk Index,Relative Timestamp Difference (μs)
0,579991
1,549991
2,519991
3,489991
4,459991
5,429991
6,399991
7,369991
8,339992
9,309991
10,279991
11,249991
12,219991
13,189991
14,159991
15,129991
16,99991
17,69991
18,39991
19,9991
20,1
21,3321
22,3323
23,3314
24,3289
25,3283
26,4090
27,3707
28,1209
29,3295
30,3281
31,3288
32,3278
33,3282
34,1148
35,3289
36,3281
37,3295
38,3274
39,3273
40,3178
41,3240
42,4007
43,3259
44,3251
45,3248
46,3244
47,3332
48,3218
49,3234
50,2
51,1333
52,125
53,3238
54,3220
55,3205
56,3221
57,3565
58,4665
59,4003
60,3185
61,3192
62,3193
63,3185
64,3174
65,3182
66,700
67,1238
68,3184
69,3164
70,3168
71,3175
72,3157
73,3117
74,5134
75,11490
76,3146
77,3154
78,3149
79,3133
80,3135
81,3128
82,239
83,987
84,3134
85,3136
86,3139
87,3106
88,3128
89,3270
90,4619
91,3111
92,3103
93,3083
94,3094
95,3079
96,3094
97,3075
98,3080
99,1066
100,3080
101,3084
102,3076
103,3330
104,3080
105,3388
106,3367
107,3039
108,3080
109,3066
110,3046
111,3023
112,3019
113,3054
114,3034
115,501
116,829
117,3016
118,3037
119,3009
120,3024
121,3280
122,5294
123,3088
124,3001
125,3004
126,3016
127,2999
128,2995
129,2969
130,2985
131,1259
132,2991
133,2987
134,2962
135,2960
136,2564
137,3146
138,3880
139,2972
140,2949
141,2972
142,2959
143,2930
144,2936
145,2943
146,2935
147,2
148,449
149,2938
150,2942
151,2922
152,2931
153,2946
154,3740
155,2949
156,2924
157,2897
158,2909
159,2908
160,2901
161,2897
162,2894
163,1360
164,2896
165,2894
166,2871
167,2884
168,2878
169,3158
170,5742
171,8651
172,2834
173,2863
174,2845
175,2862
176,2859
177,2863
178,2842
179,611
180,2837
181,2849
182,2844
183,2827
184,2840
185,2982
186,3995
187,2812
188,2790
189,2814
190,2814
191,2819
192,2808
193,2800
194,2779
195,1302
196,2793
197,2799
198,2805
199,2783
200,2775
201,2914
202,4674
203,2752
204,2773
205,2752
206,2755
207,2776
208,2755
209,2755
210,2747
211,16
212,2760
213,2741
214,2718
215,2736
216,2727
217,2746
218,3419
219,3001
220,2712
221,2718
222,2723
223,2712
224,2715
225,2691
226,2712
227,1642
228,289
229,2702
230,2650
231,2673
232,2637
233,2657
234,3190
235,2639
236,3063
237,2679
238,2663
239,2656
240,2643
241,2649
242,2660
243,1259
244,124
245,2654
246,2642
247,2650
248,2641
249,2752
250,3643
251,2612
252,2607
253,2630
254,2616
255,2608
256,2605
257,2603
258,2582
259,998
260,2612
261,2603
262,2575
263,2579
264,2606
265,2601
266,3610
267,2567
268,2563
269,2569
270,2561
271,2583
272,2555
273,2555
274,2569
275,1971
276,88
277,2559
278,2554
279,2531
280,2533
281,2551
282,3348
283,2795
284,2513
285,2520
286,2528
287,2512
288,2505
289,2492
290,2554
291,2438
292,2513
293,2521
294,2470
295,2504
296,2473
297,2493
298,3137
299,3489
300,2472
301,2487
302,2471
303,2473
304,2462
305,2471
306,2477
307,1733
308,2459
309,2463
310,2471
311,2975
312,2464
313,2447
314,4420
315,4473
316,2426
317,2419
318,2419
319,2426
320,2413
321,2398
322,2409
323,2405
