Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9093518816520,0,1,64
1,9093518826520,10000,1,63
2,9093518836520,10000,1,64
3,9093518846520,10000,1,81
4,9093518856520,10000,1,66
5,9093518866520,10000,1,64
6,9093518876520,10000,1,66
7,9093518886520,10000,1,76
8,9093518896520,10000,1,63
9,9093518906520,10000,1,63
10,9093518916520,10000,1,63
11,9093518926520,10000,1,62
12,9093518936520,10000,1,62
13,9093518946520,10000,1,63
14,9093518956520,10000,1,65
15,9093518966520,10000,1,63
16,9093518976520,10000,1,63
17,9093518986520,10000,1,63
18,9093518996520,10000,1,63
19,9093519006520,10000,1,63
20,9093519016520,10000,1,63
21,9093519026520,10000,1,63
22,9093519036520,10000,1,63
23,9093519046520,10000,1,63
24,9093519056520,10000,1,63
25,9093519066520,10000,1,63
26,9093519076520,10000,1,63
27,9093519086520,10000,1,63
28,9093519096520,10000,1,63
29,9093519106520,10000,1,63
30,9093519116520,10000,1,63
31,9093519126520,10000,1,63
32,9093519136520,10000,1,63
33,9093519146520,10000,1,63
34,9093519156520,10000,1,63
35,9093519166520,10000,1,63
36,9093519176520,10000,1,63
37,9093519186520,10000,1,63
38,9093519196520,10000,1,63
39,9093519206520,10000,1,63
40,9093519216520,10000,1,63
41,9093519226520,10000,1,63
42,9093519236520,10000,1,63
43,9093519246520,10000,1,63
44,9093519256520,10000,1,63
45,9093519266520,10000,1,63
46,9093519276520,10000,1,63
47,9093519286520,10000,1,63
48,9093519296520,10000,1,63
49,9093519306520,10000,1,63
50,9093519316520,10000,1,63
51,9093519326520,10000,1,63
52,9093519336520,10000,1,63
53,9093519346520,10000,1,63
54,9093519356520,10000,1,62
55,9093519366520,10000,1,64
56,9093519376520,10000,1,63
57,9093519386520,10000,1,63
58,9093519396520,10000,1,63
59,9093519406520,10000,1,63
60,9093519416520,10000,1,63
61,9093519426520,10000,1,63
62,9093519436520,10000,1,63
63,9093519446520,10000,1,63
64,9093519456520,10000,1,63
65,9093519466520,10000,1,63
66,9093519476520,10000,1,63
67,9093519486520,10000,1,63
68,9093519496520,10000,1,63
69,9093519506520,10000,1,63
70,9093519516520,10000,1,63
71,9093519526520,10000,1,63
72,9093519536520,10000,1,63
73,9093519546520,10000,1,63
74,9093519556520,10000,1,62
75,9093519566520,10000,1,64
76,9093519576520,10000,1,63
77,9093519586520,10000,1,61
78,9093519596520,10000,1,63
79,9093519606520,10000,1,63
80,9093519616520,10000,1,61
81,9093519626520,10000,1,62
82,9093519636520,10000,1,63
83,9093519646520,10000,1,61
84,9093519656520,10000,1,61
85,9093519666520,10000,1,62
86,9093519676520,10000,1,59
87,9093519686520,10000,1,61
88,9093519696520,10000,1,60
89,9093519706520,10000,1,60
90,9093519716520,10000,1,59
91,9093519726520,10000,1,61
92,9093519736520,10000,1,60
93,9093519746520,10000,1,59
94,9093519756520,10000,1,60
95,9093519766520,10000,1,62
96,9093519776520,10000,1,62
97,9093519786520,10000,1,63
98,9093519796520,10000,1,63
99,9093519806520,10000,1,63
100,9093519816520,10000,1,63
101,9093519826520,10000,1,63
102,9093519836520,10000,1,63
103,9093519846520,10000,1,63
104,9093519856520,10000,1,63
105,9093519866520,10000,1,63
106,9093519876520,10000,1,63
107,9093519886520,10000,1,63
108,9093519896520,10000,1,63
109,9093519906520,10000,1,63
110,9093519916520,10000,1,63
111,9093519926520,10000,1,64
112,9093519936520,10000,1,63
113,9093519946520,10000,1,79
114,9093519956520,10000,1,62
115,9093519966520,10000,1,64
116,9093519976520,10000,1,65
117,9093519986520,10000,1,63
118,9093519996520,10000,1,65
119,9093520006520,10000,1,64
120,9093520016520,10000,1,67
121,9093520026520,10000,1,67
122,9093520036520,10000,1,65
123,9093520046520,10000,1,64
124,9093520056520,10000,1,70
125,9093520066520,10000,1,63
126,9093520076520,10000,1,63
127,9093520086520,10000,1,63
128,9093520096520,10000,1,63
129,9093520106520,10000,1,63
