Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,11466655,0,0,4257
1,11499990,33335,0,4139
2,11533308,33318,0,4549
3,11566644,33336,0,4158
4,11599981,33337,0,4404
5,11633311,33330,0,3319
6,11668974,35663,0,4134
7,11699974,31000,0,4288
8,11734443,34469,0,3630
9,11766657,32214,0,4291
10,11799990,33333,0,4222
11,11833303,33313,0,4109
12,11866642,33339,0,4336
13,11899972,33330,0,3613
14,11933312,33340,0,4002
15,11966632,33320,0,4243
16,11999969,33337,0,4071
17,12033318,33349,0,3756
18,12066646,33328,1,3882
19,12099969,33323,0,6672
20,12133308,33339,0,4610
21,12166636,33328,0,4727
22,12199956,33320,0,4825
23,12233301,33345,0,4543
24,12266656,33355,0,4833
25,12299967,33311,0,4699
26,12333314,33347,0,4588
27,12366647,33333,0,4331
28,12399978,33331,0,4226
29,12433314,33336,0,3397
30,12466644,33330,0,4383
31,12501173,34529,0,4314
32,12533293,32120,0,4162
33,12566631,33338,0,3806
34,12599976,33345,0,4157
35,12633305,33329,0,4303
36,12666642,33337,0,3546
37,12699974,33332,0,4161
38,12736330,36356,0,4452
39,12766663,30333,0,4381
40,12801033,34370,0,4042
41,12833311,32278,0,3898
42,12866645,33334,0,4275
43,12899978,33333,0,4137
44,12933308,33330,0,3768
45,12966629,33321,0,4320
46,12999971,33342,0,4248
47,13033290,33319,0,4328
48,13066610,33320,1,4130
49,13099953,33343,0,6965
50,13133298,33345,0,4548
51,13166629,33331,0,4425
52,13199969,33340,0,4617
53,13233321,33352,0,4911
54,13268042,34721,0,4438
55,13299953,31911,0,4406
56,13333275,33322,0,4421
57,13366633,33358,0,4527
58,13399969,33336,0,4545
59,13433320,33351,0,4816
60,13466632,33312,0,4369
61,13499944,33312,0,3826
62,13533273,33329,0,4302
63,13568174,34901,0,4504
64,13599971,31797,0,4448
65,13635219,35248,0,4482
66,13666625,31406,0,4450
67,13699959,33334,0,4053
68,13733308,33349,0,3808
69,13766618,33310,0,4066
70,13799938,33320,0,4391
71,13833299,33361,0,4518
72,13866627,33328,0,4420
73,13899959,33332,0,4477
74,13933314,33355,0,4686
75,13966638,33324,0,4098
76,13999964,33326,0,4027
77,14033307,33343,0,3795
78,14066614,33307,1,4503
79,14100745,34131,0,7140
80,14133286,32541,0,4404
81,14166616,33330,0,4312
82,14199969,33353,0,4466
83,14233304,33335,0,4218
84,14266636,33332,0,4223
85,14299947,33311,0,4183
86,14334459,34512,0,4123
87,14366606,32147,0,4205
88,14400362,33756,0,4166
89,14433310,32948,0,4012
90,14466610,33300,0,4212
91,14499959,33349,0,3993
92,14533304,33345,0,3914
93,14566628,33324,0,3844
94,14599958,33330,0,3703
95,14637864,37906,0,3500
96,14666632,28768,0,3558
97,14699961,33329,0,3696
98,14733308,33347,0,3845
99,14766624,33316,0,3638
100,14799960,33336,0,3691
101,14833301,33341,0,3614
102,14867204,33903,0,3600
103,14899925,32721,0,3590
104,14933217,33292,0,3540
105,14966631,33414,0,3288
106,14999950,33319,0,3508
107,15033295,33345,0,3358
108,15066616,33321,1,4604
109,15099954,33338,0,6921
110,15133265,33311,0,3318
111,15167506,34241,0,3254
112,15199943,32437,0,3372
113,15233304,33361,0,3173
114,15266631,33327,0,3351
115,15299936,33305,0,3040
116,15333274,33338,0,3283
117,15366618,33344,0,3043
118,15401478,34860,0,3062
119,15433300,31822,0,3048
120,15466631,33331,0,2963
121,15499940,33309,0,2902
122,15533275,33335,0,3144
123,15566642,33367,0,2692
124,15599942,33300,0,2826
125,15633296,33354,0,2725
126,15666604,33308,0,2624
127,15699925,33321,0,2660
128,15733256,33331,0,2489
129,15766638,33382,0,2441
130,15799980,33342,0,2618
131,15833271,33291,0,2179
132,15866622,33351,0,2242
133,15899933,33311,0,2220
134,15935802,35869,0,2134
135,15966619,30817,0,2047
136,15999923,33304,0,1867
137,16033263,33340,0,2008
138,16066605,33342,1,4664
139,16099931,33326,0,6691
140,16133263,33332,0,1807
141,16166600,33337,0,1336
142,16199937,33337,0,1088
143,16234575,34638,0,1302
144,16266599,32024,0,1146
145,16299878,33279,0,1052
146,16333266,33388,0,1050
147,16366622,33356,0,1180
148,16399939,33317,0,624
149,16433269,33330,0,14857
150,16467803,34534,0,4205
151,16499937,32134,0,2963
152,16533985,34048,0,2695
153,16566607,32622,0,2610
