Time (s),Bitrate (Bps)
0,4308.11
1,4198.37
2,4150.10
3,4195.15
4,4173.12
5,4132.25
6,4179.23
7,4183.86
8,4129.20
9,4166.67
10,4158.22
11,4182.37
12,4150.35
13,4174.62
14,4181.26
15,4196.26
16,4175.15
17,4178.03
18,4159.55
19,4244.40
20,4180.24
21,4080.04
22,4182.09
23,4221.08
24,4097.86
25,4178.03
26,4086.43
27,4216.16
28,4182.28
29,4156.66
30,4175.15
31,4210.58
32,4179.41
33,4166.67
34,4166.16
35,4212.98
36,4171.25
37,4170.23
38,4167.01
39,4206.22
40,4133.40
41,4162.44
42,4215.89
43,4207.32
44,4180.43
45,4146.49
46,4163.10
47,4229.83
48,4202.93
49,4178.03
50,4204.48
51,4163.45
52,4179.41
53,4175.15
54,4179.41
55,4214.95
56,4175.15
57,4166.67
58,4180.06
59,4204.48
60,4214.87
61,4130.21
62,4179.41
63,4259.45
64,4151.77
65,4169.89
66,4154.16
67,4210.37
68,4208.55
69,4135.44
70,4175.15
71,4266.33
72,4143.75
73,4162.44
74,4186.05
75,4195.72
76,4151.42
77,4183.67
78,4175.15
79,4229.83
80,4176.72
81,4170.91
82,4213.77
83,4204.06
84,4215.89
85,4141.40
86,4159.72
87,4237.46
88,4119.02
89,4136.18
90,4196.75
91,4218.94
92,4170.91
93,4175.15
94,4125.00
95,4192.23
96,4181.06
97,4130.83
98,4153.46
99,4257.64
100,4138.63
101,4215.89
102,4183.67
103,4221.20
104,4176.72
105,4170.91
106,4162.44
107,4198.37
108,4183.30
109,4189.99
110,4191.01
111,4194.90
112,4168.40
113,4174.13
114,4194.30
115,4189.22
116,4183.67
117,4220.18
118,4183.67
119,4214.94
120,4154.72
121,4188.26
122,4177.19
123,4185.79
124,4152.75
125,4205.70
126,4163.78
127,4255.89
128,4130.84
129,4175.15
130,4158.22
131,4204.06
132,4179.41
133,4215.89
134,4179.41
135,4173.42
136,4175.15
137,4214.07
138,4160.08
139,4191.30
140,4175.15
141,4150.87
142,4199.39
143,4251.54
144,4143.75
145,4170.91
146,4206.12
147,4230.93
148,4130.21
149,4186.73
150,4205.91
151,4241.06
152,4172.38
153,4126.02
154,4158.22
155,4226.63
156,4197.56
157,4138.63
158,4192.66
159,4211.22
160,4186.93
161,4163.45
162,4175.15
163,4204.06
164,4175.15
165,4130.21
166,4179.41
167,4283.81
168,4183.33
169,4123.86
170,4192.66
171,4186.61
172,4194.30
173,4196.74
174,4138.63
175,4228.80
176,4094.70
177,4165.15
178,4158.22
179,4244.40
180,4130.21
181,4179.41
182,4224.49
183,4198.12
184,4213.05
185,4145.60
186,4166.67
187,4195.54
188,4179.41
189,4183.67
190,4179.59
191,4204.92
192,4162.33
193,4144.31
194,4179.41
195,4216.90
196,4198.37
197,4156.12
198,4186.73
199,4221.43
200,4125.00
201,4124.75
202,4175.15
203,4200.41
204,4173.96
205,4188.58
206,4200.82
207,4206.04
208,4192.46
209,4113.36
210,4158.38
211,4212.61
212,4175.15
213,4209.78
214,4157.46
215,4221.20
216,4190.82
217,4193.52
218,4142.86
219,4223.01
220,4152.59
221,4157.84
222,4150.31
223,4145.15
224,4129.20
225,4149.80
226,4190.86
227,4216.24
228,4181.63
229,4172.94
230,4196.52
231,4225.51
232,4113.82
233,4183.30
234,4178.21
235,4212.61
236,4179.41
237,4166.67
238,4222.45
239,4229.83
240,4185.42
241,4162.44
242,4175.15
243,4190.04
244,4193.48
245,4138.63
246,4175.15
247,4219.74
248,4194.79
249,4171.92
250,4180.06
251,4226.86
252,4175.15
253,4134.42
254,4183.49
255,4175.33
256,4165.65
257,4147.77
258,4159.23
259,4217.92
260,4134.42
261,4220.18
262,4136.60
263,4200.82
264,4126.02
265,4115.38
266,4194.92
267,4218.94
268,4134.42
269,4170.91
270,4207.95
271,4222.11
272,4197.56
273,4154.00
274,4155.96
275,4214.57
276,4142.86
277,4212.46
278,4200.00
279,4190.82
280,4175.15
281,4149.80
282,4197.56
283,4196.54
284,4169.89
285,4218.37
286,4187.76
287,4189.99
288,4168.05
289,4166.67
290,4178.21
291,4213.85
292,4166.67
293,4179.41
294,4166.67
295,4257.64
296,4172.38
297,4166.84
298,4171.25
299,4167.17
300,4199.59
301,4154.63
302,4216.33
303,4184.69
304,4188.99
305,4199.59
306,4179.41
307,4167.68
308,4209.56
309,4149.13
310,4183.67
311,4232.53
312,4192.66
313,4198.37
314,4166.67
315,4216.90
316,4138.49
317,4216.11
318,4142.86
319,4229.83
320,4192.95
321,4146.49
322,4162.44
323,4213.63
324,4214.87
325,4156.28
326,4200.21
327,4274.03
328,4170.66
329,4124.62
330,4177.30
331,4234.22
332,4138.63
333,4183.67
334,4175.15
335,4261.98
336,4125.00
337,4162.44
338,4130.21
339,4257.64
340,4170.91
341,4109.31
342,4157.63
343,4278.71
344,4105.21
345,4207.32
346,4150.56
347,4184.77
348,4178.39
349,4183.67
350,4575.11
