Time (s),Bitrate (Bps)
0,11824.95
1,13705.15
2,14241.99
3,15036.05
4,13100.62
5,13361.20
6,20272.26
7,13146.29
8,15546.96
9,11444.90
10,14588.24
11,11344.69
12,15940.14
13,10457.26
14,12718.56
15,14181.72
16,9830.58
17,13352.27
18,10110.65
19,13708.07
20,13920.37
21,14345.04
22,12676.72
23,14657.68
24,14746.35
25,13003.10
26,14148.00
27,13433.88
28,14125.90
29,13480.99
30,15668.74
31,13514.05
32,13121.50
33,12954.83
34,13033.99
35,13395.47
36,12703.93
37,12984.47
38,11564.50
39,13714.43
40,12773.53
41,13300.00
42,18430.50
43,12579.11
44,13661.84
45,12660.12
46,13333.33
47,15560.29
48,11991.71
49,14219.36
50,12475.65
51,6247.17
52,9856.40
53,11346.43
54,7704.36
55,14439.05
56,11709.58
57,12455.58
58,18112.84
59,13427.24
60,15173.73
61,12762.59
62,12353.43
63,16836.63
64,7829.90
65,6378.99
66,16188.60
67,9826.45
68,15366.46
69,19031.06
70,13270.19
71,13550.47
72,12778.01
73,14242.27
74,13800.21
75,12547.52
76,12711.18
77,12693.03
78,10044.42
79,7373.96
80,9702.90
81,11748.97
82,10906.83
83,8068.93
84,11860.82
85,10267.36
86,11679.79
87,8490.18
88,9653.61
89,10341.56
90,13429.01
91,12520.21
92,10532.37
93,10231.33
94,13960.78
95,10616.67
96,20164.09
97,11718.85
98,14731.68
99,12998.96
100,19282.45
101,13052.03
102,14623.83
103,14919.88
104,15107.66
105,12402.26
106,15748.45
107,17385.33
108,12255.96
109,13229.49
110,13160.79
111,12917.10
112,15623.83
113,16734.99
114,13702.17
115,17245.60
116,13426.50
117,13407.87
118,10578.40
119,9740.66
120,11023.74
121,16373.72
122,13760.87
123,11203.72
124,11664.26
125,13838.68
126,12998.97
127,11248.96
128,15576.29
129,13463.44
130,13090.72
131,12031.06
132,14139.90
133,13290.29
134,13755.17
135,11694.85
136,14019.63
137,15536.71
138,11819.12
139,13139.61
140,8774.23
141,9642.49
142,9178.05
143,10829.37
144,12302.59
145,16349.85
146,13986.49
147,15057.05
148,13191.12
149,13774.43
150,13614.51
151,11301.65
152,7248.71
153,11189.89
154,13105.26
155,16041.49
156,13809.52
157,13172.88
158,17273.85
159,15078.76
160,11981.37
161,8465.02
162,14675.98
163,12615.54
164,14241.20
165,9253.64
166,9239.13
167,10686.40
168,10540.85
169,13179.09
170,16366.84
171,19501.55
172,12173.55
173,11671.15
174,13931.46
175,16536.86
176,13533.95
177,13794.00
178,13039.18
179,14469.43
180,14950.41
181,16325.75
182,15426.93
183,11938.99
184,10341.94
185,5510.27
186,8911.07
187,22063.79
188,12954.40
189,13063.28
190,22157.19
191,11489.03
192,5852.27
193,12920.37
194,11422.96
195,12515.56
196,15195.88
197,11231.81
198,11515.03
199,9597.72
200,12776.52
201,15306.04
202,9175.62
203,20871.90
204,18786.75
205,15838.51
206,14093.46
207,13703.70
208,12375.78
209,12115.35
210,13250.26
211,13401.24
212,14246.12
213,13808.69
214,11363.73
215,7825.23
216,8393.78
217,7729.62
218,11167.52
219,11131.47
220,13807.02
221,14077.80
222,13902.79
223,9000.00
224,16279.26
225,10311.34
226,8453.04
227,16756.20
228,11853.15
229,8578.45
230,10519.83
231,9470.59
232,8323.35
233,8279.05
234,9171.84
235,8667.36
236,21558.43
237,18213.47
238,19067.64
239,16673.20
240,12636.65
241,17250.26
242,18069.50
243,14507.23
244,13111.92
245,13748.71
246,15486.01
247,15167.18
248,16204.33
249,11288.68
250,11425.62
251,13371.25
252,14287.49
253,12541.32
254,12921.16
255,14225.41
256,10576.29
257,11820.80
258,12979.30
259,11175.62
260,10904.76
261,15430.05
262,9607.03
263,9682.19
264,10900.10
265,21103.41
266,14984.52
267,13145.51
268,11604.36
269,14475.70
270,10677.39
271,17168.56
272,16803.72
273,12195.45
274,13245.60
275,13271.41
276,8989.62
277,9965.84
278,8711.48
279,11642.19
280,6892.45
281,9217.66
282,8282.61
283,10177.87
284,10892.67
285,6173.60
286,10389.64
287,16065.22
288,27540.85
289,13876.03
290,17226.47
291,13821.47
292,18916.15
293,11927.54
294,1869.43
295,18400.00
296,10213.18
297,13562.56
298,16214.06
299,11697.63
300,13186.34
301,13536.31
302,17120.21
303,12212.59
304,10869.07
305,15280.54
306,11796.49
307,18169.25
308,14534.16
309,11043.75
310,12959.63
311,11402.07
312,15972.14
313,14104.45
314,11678.35
315,19098.24
316,16987.59
317,12551.19
318,19488.11
319,16232.75
320,11548.45
321,15521.69
322,14951.50
323,11406.41
324,15718.13
325,13107.52
326,14026.07
327,13513.46
328,12130.43
329,10989.66
330,11812.82
331,15232.12
332,11868.12
333,7218.07
334,13047.57
335,9906.74
336,10934.02
337,10484.00
338,13418.82
339,13197.52
340,13048.60
341,12793.17
342,12196.06
343,13794.00
344,13232.92
345,13193.38
346,12772.63
347,14658.39
348,9534.72
349,10034.27
350,25974.03
