Chunk Index,Relative Timestamp Difference (μs)
0,913335
1,883335
2,853335
3,823335
4,793335
5,763335
6,733335
7,703335
8,673336
9,643335
10,613335
11,583335
12,553335
13,523335
14,493335
15,463335
16,433335
17,403335
18,373335
19,343335
20,313335
21,283335
22,253335
23,223335
24,193335
25,163335
26,133335
27,103335
28,73335
29,43335
30,13335
31,18
32,7
33,11
34,3323
35,3297
36,190
37,1959
38,463
39,3313
40,3326
41,3310
42,3301
43,3651
44,3280
45,3301
46,3287
47,3444
48,3289
49,3282
50,3265
51,3283
52,229
53,1599
54,1013
55,3275
56,3248
57,3255
58,3270
59,3647
60,4756
61,4276
62,3230
63,3229
64,3267
65,3233
66,3227
67,3220
68,3247
69,3117
70,1065
71,3215
72,3243
73,3223
74,3216
75,3494
76,4909
77,3252
78,3199
79,3204
80,3199
81,3197
82,3161
83,3187
84,3198
85,2455
86,3195
87,3177
88,3175
89,3163
90,3170
91,3457
92,5240
93,3127
94,3144
95,3294
96,3143
97,3139
98,3137
99,3164
100,3124
101,1486
102,362
103,3117
104,3130
105,3114
106,3131
107,3086
108,5318
109,3108
110,3096
111,3124
112,3081
113,3102
114,3089
115,3089
116,277
117,1558
118,1329
119,3080
120,3121
121,3084
122,3076
123,3060
124,4683
125,4331
126,3028
127,3052
128,3047
129,3050
130,3040
131,3055
132,3027
133,1990
134,291
135,3045
136,3030
137,3037
138,3027
139,3032
140,3221
141,3444
142,3124
143,2991
144,3001
145,2993
146,3008
147,3003
148,2978
149,1033
150,712
151,2974
152,2973
153,2986
154,2974
155,2992
156,3707
157,3520
158,3007
159,2935
160,2933
161,2942
162,2946
163,2928
164,2939
165,163
166,2947
167,167
168,2936
169,2922
170,2927
171,2925
172,3553
173,3556
174,2898
175,2899
176,2905
177,2913
178,2880
179,2894
180,2908
181,1691
182,2870
183,2870
184,2894
185,2891
186,2881
187,2860
188,4635
189,2825
190,2851
191,2850
192,2848
193,2866
194,2849
195,2838
196,2819
197,1136
198,2834
199,2844
200,2820
201,2850
202,2832
203,2819
204,3487
205,3813
206,2828
207,2803
208,2801
209,2801
210,2806
211,2791
212,2802
213,2431
214,2798
215,2794
216,2787
217,2772
218,2774
219,2778
220,4650
221,3372
222,2755
223,3072
224,2741
225,2764
226,2737
227,2749
228,2748
229,1370
230,2756
231,2762
232,2718
233,2724
234,2745
235,2753
236,3169
237,2706
238,3588
239,2703
240,2708
241,2721
242,2716
243,2690
244,2702
245,3521
246,437
247,2693
248,2683
249,2693
250,2681
251,2682
252,4821
253,2657
254,2658
255,2747
256,2653
257,2655
258,2661
259,2648
260,2644
261,259
262,953
263,2653
264,2647
265,2631
266,2641
267,2643
268,3725
269,2611
270,2614
271,2612
272,2600
273,2614
274,2603
275,2614
276,2607
277,1609
278,2612
279,2595
280,2535
281,2582
282,2539
283,2602
284,3492
285,3278
286,2521
287,4287
288,2538
289,2530
290,2547
291,2525
292,2536
293,739
294,1432
295,2551
296,2530
297,2552
298,2537
299,2529
300,3805
301,2528
302,2537
303,2515
304,2518
305,2526
306,2518
307,2499
308,2515
309,2491
310,2507
311,169
312,2510
313,2500
314,2468
315,2493
316,3380
317,2492
318,2465
319,2607
320,2460
321,2459
322,2478
323,2461
324,2447
325,209
326,2448
327,2444
328,2451
329,2442
330,2455
331,2422
332,3772
333,2513
334,2440
335,2397
336,2428
337,2441
338,2421
339,2416
340,2406
