Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9094799556284,0,1,63
1,9094799566284,10000,1,63
2,9094799576284,10000,1,63
3,9094799586284,10000,1,63
4,9094799596284,10000,1,63
5,9094799606284,10000,1,63
6,9094799616284,10000,1,63
7,9094799626284,10000,1,63
8,9094799636284,10000,1,63
9,9094799646284,10000,1,63
10,9094799656284,10000,1,63
11,9094799666284,10000,1,63
12,9094799676284,10000,1,63
13,9094799686284,10000,1,63
14,9094799696284,10000,1,63
15,9094799706284,10000,1,63
16,9094799716284,10000,1,63
17,9094799726284,10000,1,63
18,9094799736284,10000,1,63
19,9094799746284,10000,1,63
20,9094799756284,10000,1,63
21,9094799766284,10000,1,63
22,9094799776284,10000,1,63
23,9094799786284,10000,1,63
24,9094799796284,10000,1,63
25,9094799806284,10000,1,64
26,9094799816284,10000,1,63
27,9094799826284,10000,1,62
28,9094799836284,10000,1,63
29,9094799846284,10000,1,64
30,9094799856284,10000,1,64
31,9094799866284,10000,1,62
32,9094799876284,10000,1,63
33,9094799886284,10000,1,63
34,9094799896284,10000,1,62
35,9094799906284,10000,1,63
36,9094799916284,10000,1,63
37,9094799926284,10000,1,63
38,9094799936284,10000,1,63
39,9094799946284,10000,1,63
40,9094799956284,10000,1,63
41,9094799966284,10000,1,63
42,9094799976284,10000,1,63
43,9094799986284,10000,1,64
44,9094799996284,10000,1,64
45,9094800006284,10000,1,63
46,9094800016284,10000,1,62
47,9094800026284,10000,1,64
48,9094800036284,10000,1,61
49,9094800046284,10000,1,63
50,9094800056284,10000,1,64
51,9094800066284,10000,1,62
52,9094800076284,10000,1,63
53,9094800086284,10000,1,63
54,9094800096284,10000,1,63
55,9094800106284,10000,1,63
56,9094800116284,10000,1,63
57,9094800126284,10000,1,76
58,9094800136284,10000,1,63
59,9094800146284,10000,1,62
60,9094800156284,10000,1,63
61,9094800166284,10000,1,63
62,9094800176284,10000,1,62
63,9094800186284,10000,1,65
64,9094800196284,10000,1,64
65,9094800206284,10000,1,63
66,9094800216284,10000,1,64
67,9094800226284,10000,1,65
68,9094800236284,10000,1,79
69,9094800246284,10000,1,63
70,9094800256284,10000,1,63
71,9094800266284,10000,1,62
72,9094800276284,10000,1,61
73,9094800286284,10000,1,61
74,9094800296284,10000,1,61
75,9094800306284,10000,1,60
76,9094800316284,10000,1,62
77,9094800326284,10000,1,60
78,9094800336284,10000,1,62
79,9094800346284,10000,1,60
80,9094800356284,10000,1,62
81,9094800366284,10000,1,62
82,9094800376284,10000,1,61
83,9094800386284,10000,1,61
84,9094800396284,10000,1,60
85,9094800406284,10000,1,61
86,9094800416284,10000,1,63
87,9094800426284,10000,1,61
88,9094800436284,10000,1,62
89,9094800446284,10000,1,62
90,9094800456284,10000,1,63
91,9094800466284,10000,1,63
92,9094800476284,10000,1,63
93,9094800486284,10000,1,63
94,9094800496284,10000,1,63
95,9094800506284,10000,1,63
96,9094800516284,10000,1,63
97,9094800526284,10000,1,63
98,9094800536284,10000,1,64
99,9094800546284,10000,1,64
100,9094800556284,10000,1,65
101,9094800566284,10000,1,64
102,9094800576284,10000,1,64
103,9094800586284,10000,1,63
104,9094800596284,10000,1,62
105,9094800606284,10000,1,61
106,9094800616284,10000,1,63
107,9094800626284,10000,1,61
108,9094800636284,10000,1,63
109,9094800646284,10000,1,62
110,9094800656284,10000,1,63
111,9094800666284,10000,1,63
112,9094800676284,10000,1,63
113,9094800686284,10000,1,63
114,9094800696284,10000,1,63
115,9094800706284,10000,1,63
116,9094800716284,10000,1,63
117,9094800726284,10000,1,64
118,9094800736284,10000,1,64
119,9094800746284,10000,1,64
120,9094800756284,10000,1,63
121,9094800766284,10000,1,63
122,9094800776284,10000,1,61
123,9094800786284,10000,1,62
124,9094800796284,10000,1,63
125,9094800806284,10000,1,63
126,9094800816284,10000,1,63
127,9094800826284,10000,1,63
128,9094800836284,10000,1,63
129,9094800846284,10000,1,63
130,9094800856284,10000,1,63
131,9094800866284,10000,1,63
132,9094800876284,10000,1,64
133,9094800886284,10000,1,63
134,9094800896284,10000,1,62
135,9094800906284,10000,1,64
136,9094800916284,10000,1,63
137,9094800926284,10000,1,64
138,9094800936284,10000,1,81
139,9094800946284,10000,1,66
140,9094800956284,10000,1,64
141,9094800966284,10000,1,66
142,9094800976284,10000,1,76
143,9094800986284,10000,1,63
144,9094800996284,10000,1,63
145,9094801006284,10000,1,63
146,9094801016284,10000,1,62
147,9094801026284,10000,1,62
148,9094801036284,10000,1,63
149,9094801046284,10000,1,65
150,9094801056284,10000,1,63
151,9094801066284,10000,1,63
152,9094801076284,10000,1,63
153,9094801086284,10000,1,63
154,9094801096284,10000,1,63
155,9094801106284,10000,1,63
156,9094801116284,10000,1,63
157,9094801126284,10000,1,63
158,9094801136284,10000,1,63
159,9094801146284,10000,1,63
160,9094801156284,10000,1,63
161,9094801166284,10000,1,63
162,9094801176284,10000,1,63
163,9094801186284,10000,1,63
164,9094801196284,10000,1,63
165,9094801206284,10000,1,63
166,9094801216284,10000,1,63
167,9094801226284,10000,1,63
168,9094801236284,10000,1,63
169,9094801246284,10000,1,63
170,9094801256284,10000,1,63
171,9094801266284,10000,1,63
172,9094801276284,10000,1,63
173,9094801286284,10000,1,63
174,9094801296284,10000,1,63
175,9094801306284,10000,1,63
176,9094801316284,10000,1,63
177,9094801326284,10000,1,63
178,9094801336284,10000,1,63
179,9094801346284,10000,1,63
180,9094801356284,10000,1,63
181,9094801366284,10000,1,63
182,9094801376284,10000,1,63
183,9094801386284,10000,1,63
184,9094801396284,10000,1,63
185,9094801406284,10000,1,63
186,9094801416284,10000,1,63
187,9094801426284,10000,1,63
188,9094801436284,10000,1,63
189,9094801446284,10000,1,62
190,9094801456284,10000,1,64
191,9094801466284,10000,1,63
192,9094801476284,10000,1,63
193,9094801486284,10000,1,63
194,9094801496284,10000,1,63
195,9094801506284,10000,1,63
196,9094801516284,10000,1,63
197,9094801526284,10000,1,63
198,9094801536284,10000,1,63
199,9094801546284,10000,1,63
200,9094801556284,10000,1,63
201,9094801566284,10000,1,63
202,9094801576284,10000,1,63
203,9094801586284,10000,1,63
204,9094801596284,10000,1,63
205,9094801606284,10000,1,63
206,9094801616284,10000,1,63
207,9094801626284,10000,1,63
208,9094801636284,10000,1,63
209,9094801646284,10000,1,62
210,9094801656284,10000,1,64
211,9094801666284,10000,1,63
212,9094801676284,10000,1,61
213,9094801686284,10000,1,63
214,9094801696284,10000,1,63
215,9094801706284,10000,1,61
216,9094801716284,10000,1,62
217,9094801726284,10000,1,63
218,9094801736284,10000,1,61
219,9094801746284,10000,1,61
220,9094801756284,10000,1,62
221,9094801766284,10000,1,59
222,9094801776284,10000,1,61
223,9094801786284,10000,1,60
224,9094801796284,10000,1,60
225,9094801806284,10000,1,59
226,9094801816284,10000,1,61
227,9094801826284,10000,1,60
228,9094801836284,10000,1,59
229,9094801846284,10000,1,60
230,9094801856284,10000,1,62
231,9094801866284,10000,1,62
232,9094801876284,10000,1,63
233,9094801886284,10000,1,63
234,9094801896284,10000,1,63
235,9094801906284,10000,1,63
236,9094801916284,10000,1,63
237,9094801926284,10000,1,63
238,9094801936284,10000,1,63
239,9094801946284,10000,1,63
240,9094801956284,10000,1,63
241,9094801966284,10000,1,63
242,9094801976284,10000,1,63
243,9094801986284,10000,1,63
244,9094801996284,10000,1,63
245,9094802006284,10000,1,63
246,9094802016284,10000,1,64
247,9094802026284,10000,1,63
248,9094802036284,10000,1,79
249,9094802046284,10000,1,62
250,9094802056284,10000,1,64
251,9094802066284,10000,1,65
252,9094802076284,10000,1,63
253,9094802086284,10000,1,65
254,9094802096284,10000,1,64
255,9094802106284,10000,1,67
256,9094802116284,10000,1,67
257,9094802126284,10000,1,65
258,9094802136284,10000,1,64
259,9094802146284,10000,1,70
260,9094802156284,10000,1,63
261,9094802166284,10000,1,63
262,9094802176284,10000,1,63
263,9094802186284,10000,1,63
264,9094802196284,10000,1,63
265,9094802206284,10000,1,62
266,9094802216284,10000,1,64
267,9094802226284,10000,1,61
268,9094802236284,10000,1,60
269,9094802246284,10000,1,61
270,9094802256284,10000,1,64
271,9094802266284,10000,1,63
272,9094802276284,10000,1,61
273,9094802286284,10000,1,62
274,9094802296284,10000,1,61
275,9094802306284,10000,1,63
276,9094802316284,10000,1,65
277,9094802326284,10000,1,65
278,9094802336284,10000,1,70
279,9094802346284,10000,1,63
280,9094802356284,10000,1,63
281,9094802366284,10000,1,63
282,9094802376284,10000,1,63
283,9094802386284,10000,1,63
284,9094802396284,10000,1,63
285,9094802406284,10000,1,63
286,9094802416284,10000,1,63
287,9094802426284,10000,1,63
288,9094802436284,10000,1,63
289,9094802446284,10000,1,63
290,9094802456284,10000,1,63
291,9094802466284,10000,1,63
292,9094802476284,10000,1,63
293,9094802486284,10000,1,63
294,9094802496284,10000,1,63
295,9094802506284,10000,1,63
296,9094802516284,10000,1,63
297,9094802526284,10000,1,63
298,9094802536284,10000,1,63
299,9094802546284,10000,1,63
300,9094802556284,10000,1,63
301,9094802566284,10000,1,63
302,9094802576284,10000,1,63
303,9094802586284,10000,1,63
304,9094802596284,10000,1,63
305,9094802606284,10000,1,63
