Time (s),Bitrate (Bps)
0,153242.19
1,133878.10
2,137589.45
3,123837.47
4,90360.08
5,27748.18
6,14424.12
7,13736.18
8,14725.77
9,13077.00
10,11586.71
11,14507.77
12,8962.77
13,17072.24
14,11544.70
15,8383.51
16,13525.18
17,12444.44
18,13368.53
19,14292.40
20,13571.58
21,14905.70
22,13919.88
23,13442.95
24,14243.55
25,13556.94
26,14233.89
27,13632.02
28,16705.70
29,12736.18
30,13057.97
31,13161.16
32,13017.63
33,13531.67
34,12746.11
35,13304.35
36,11585.49
37,13898.85
38,12678.42
39,12870.33
40,12628.22
41,17836.42
42,14291.36
43,13350.62
44,11001.03
45,14364.86
46,14157.51
47,14640.21
48,12665.29
49,11094.30
50,6544.13
51,11411.16
52,9840.74
53,7593.62
54,15305.70
55,11601.45
56,13070.25
57,17001.03
58,15539.81
59,14430.93
60,12810.36
61,12845.60
62,16265.84
63,5404.76
64,12608.25
65,10153.69
66,15067.29
67,14353.37
68,17966.84
69,12423.99
70,13707.47
71,12509.34
72,15356.77
73,12501.55
74,13183.61
75,13089.03
76,10688.41
77,9709.11
78,5558.76
79,11724.07
80,12604.34
81,9202.70
82,9300.42
83,10836.95
84,12821.10
85,9046.68
86,9631.09
87,9386.20
88,12462.41
89,13025.88
90,11650.41
91,9235.48
92,10225.91
93,14032.12
94,10859.81
95,20788.28
96,11902.59
97,16245.61
98,14108.92
99,18093.91
100,12561.40
101,15501.55
102,13684.65
103,14810.56
104,15452.48
105,14398.76
106,15606.40
107,12514.96
108,13184.46
109,13486.04
110,12041.41
111,18716.94
112,15702.67
113,12873.44
114,17373.97
115,12028.99
116,14346.07
117,8866.25
118,10534.16
119,12188.60
120,16362.60
121,12541.02
122,11161.12
123,11879.38
124,13616.18
125,12709.84
126,14820.54
127,11879.13
128,14383.26
129,13087.05
130,11735.54
131,15699.38
132,12763.98
133,13213.69
134,12179.09
135,15639.09
136,14262.08
137,10650.73
138,11694.21
139,12154.40
140,7252.85
141,7321.58
142,13839.38
143,13241.20
144,14603.11
145,14306.10
146,15805.38
147,12173.06
148,14085.57
149,13049.74
150,9525.93
151,17326.80
152,41954.50
153,52874.61
154,75498.45
155,78088.08
156,77107.22
157,92122.15
158,59918.05
159,65029.99
160,37793.39
161,49874.36
162,87703.93
163,66707.95
164,40501.56
165,30044.47
166,48806.62
167,48336.44
168,61765.19
169,106810.56
170,114115.82
171,76756.73
172,65420.29
173,72644.05
174,107513.85
175,116228.07
176,106412.80
177,111436.14
178,94647.98
179,93840.21
180,145913.90
181,138618.50
182,66289.89
183,19246.89
184,22423.83
185,74430.63
186,149399.38
187,98425.16
188,100538.46
189,162601.46
190,59049.84
191,37340.25
192,68196.89
193,64001.04
194,74279.96
195,51126.04
196,54307.85
197,47891.19
198,35240.95
199,81450.05
200,106869.07
201,45851.24
202,131487.68
203,148384.69
204,173167.53
205,159147.76
206,202907.87
207,95210.58
208,53298.25
209,62146.69
210,80512.95
211,93079.71
212,77679.75
213,50492.21
214,41360.62
215,19041.32
216,19613.47
217,37950.99
218,35289.72
219,97608.52
220,94347.83
221,65925.47
222,67383.66
223,55583.42
224,22256.49
225,41487.05
226,80789.04
227,61008.28
228,38844.88
229,36567.88
230,44116.98
231,28640.50
232,29874.87
233,40212.22
234,66341.26
235,70728.31
236,109788.22
237,148669.08
238,130279.50
239,109971.99
240,93913.04
241,153204.97
242,89210.96
243,66506.71
244,62725.96
245,84852.85
246,125490.76
247,83849.33
248,62451.91
249,34210.31
250,65639.83
251,78563.34
252,86981.31
253,55676.29
254,88502.60
255,59657.73
256,80403.51
257,49991.68
258,44428.87
259,54372.79
260,71734.78
261,41488.03
262,52978.26
263,65224.74
264,136467.84
265,138103.95
266,137892.82
267,73944.16
268,68374.74
269,73672.54
270,81945.08
271,90738.37
272,97774.09
273,87876.94
274,67980.19
275,54097.01
276,51455.39
277,69366.08
278,34890.16
279,22252.06
280,25455.58
281,36627.59
282,36832.30
283,30680.50
284,24783.51
285,52479.25
286,95714.43
287,157287.33
288,127625.26
289,60513.43
290,56917.96
291,133428.42
292,74133.82
293,30224.30
294,76125.39
295,66682.52
296,86307.77
297,106282.77
298,73780.77
299,45716.94
300,67574.38
301,139943.01
302,50323.32
303,47115.38
304,96621.76
305,81130.57
306,157969.98
307,159833.68
308,106151.86
309,115501.04
310,105518.13
311,116134.58
312,123809.52
313,116217.17
314,169538.78
315,137273.66
316,44807.25
317,132154.56
318,94304.12
319,81007.25
320,129223.94
321,222856.70
322,95352.33
323,102914.52
324,98003.12
325,95139.90
326,94957.38
327,83202.06
328,71526.48
329,66484.97
330,96923.55
331,38155.60
332,17370.22
333,54035.60
334,43845.60
335,36104.51
336,139336.78
337,186801.87
338,185364.67
339,191660.12
340,151634.95
341,140131.25
342,156114.11
343,175769.39
344,185769.71
345,108828.16
346,151860.10
347,49584.28
348,104315.30
