Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,11899988,0,0,3613
1,11933301,33313,0,4002
2,11966631,33330,0,4243
3,11999953,33322,0,4071
4,12033288,33335,0,3756
5,12066652,33364,1,3882
6,12101028,34376,0,6672
7,12133324,32296,0,4610
8,12166659,33335,0,4727
9,12199984,33325,0,4825
10,12233316,33332,0,4543
11,12266647,33331,0,4833
12,12299986,33339,0,4699
13,12334314,34328,0,4588
14,12366647,32333,0,4331
15,12400801,34154,0,4226
16,12433323,32522,0,3397
17,12466640,33317,0,4383
18,12499990,33350,0,4314
19,12533309,33319,0,4162
20,12566626,33317,0,3806
21,12599982,33356,0,4157
22,12633313,33331,0,4303
23,12666645,33332,0,3546
24,12699974,33329,0,4161
25,12733316,33342,0,4452
26,12766634,33318,0,4381
27,12799973,33339,0,4042
28,12833323,33350,0,3898
29,12868955,35632,0,4275
30,12899973,31018,0,4137
31,12933302,33329,0,3768
32,12966630,33328,0,4320
33,12999968,33338,0,4248
34,13033311,33343,0,4328
35,13066643,33332,1,4130
36,13100322,33679,0,6965
37,13133297,32975,0,4548
38,13166621,33324,0,4425
39,13199973,33352,0,4617
40,13233299,33326,0,4911
41,13266627,33328,0,4438
42,13299956,33329,0,4406
43,13333311,33355,0,4421
44,13366653,33342,0,4527
45,13401311,34658,0,4545
46,13433306,31995,0,4816
47,13466625,33319,0,4369
48,13499966,33341,0,3826
49,13533287,33321,0,4302
50,13566627,33340,0,4504
51,13599942,33315,0,4448
52,13633475,33533,0,4482
53,13666625,33150,0,4450
54,13701248,34623,0,4053
55,13733306,32058,0,3808
56,13766635,33329,0,4066
57,13799967,33332,0,4391
58,13833294,33327,0,4518
59,13866644,33350,0,4420
60,13899990,33346,0,4477
61,13934912,34922,0,4686
62,13966631,31719,0,4098
63,14000310,33679,0,4027
64,14033318,33008,0,3795
65,14066635,33317,1,4503
66,14099951,33316,0,7140
67,14133286,33335,0,4404
68,14166802,33516,0,4312
69,14199959,33157,0,4466
70,14234486,34527,0,4218
71,14266628,32142,0,4223
72,14299955,33327,0,4183
73,14333297,33342,0,4123
74,14366623,33326,0,4205
75,14399950,33327,0,4166
76,14433301,33351,0,4012
77,14468199,34898,0,4212
78,14499965,31766,0,3993
79,14533281,33316,0,3914
80,14566630,33349,0,3844
81,14599955,33325,0,3703
82,14633292,33337,0,3500
83,14666615,33323,0,3558
84,14699923,33308,0,3696
85,14733289,33366,0,3845
86,14767402,34113,0,3638
87,14799958,32556,0,3691
88,14833291,33333,0,3614
89,14866598,33307,0,3600
90,14899948,33350,0,3590
91,14933266,33318,0,3540
92,14966615,33349,0,3288
93,15001034,34419,0,3508
94,15033293,32259,0,3358
95,15066614,33321,1,4604
96,15099953,33339,0,6921
97,15133277,33324,0,3318
98,15166622,33345,0,3254
99,15199945,33323,0,3372
100,15233224,33279,0,3173
101,15266613,33389,0,3351
102,15300291,33678,0,3040
103,15333289,32998,0,3283
104,15366615,33326,0,3043
105,15399930,33315,0,3062
106,15433269,33339,0,3048
107,15466615,33346,0,2963
108,15499944,33329,0,2902
109,15534200,34256,0,3144
110,15566625,32425,0,2692
111,15600321,33696,0,2826
112,15633294,32973,0,2725
113,15666619,33325,0,2624
114,15699944,33325,0,2660
115,15733277,33333,0,2489
116,15766999,33722,0,2441
117,15799920,32921,0,2618
118,15833235,33315,0,2179
119,15866617,33382,0,2242
120,15899937,33320,0,2220
121,15933285,33348,0,2134
122,15966612,33327,0,2047
123,15999941,33329,0,1867
124,16033277,33336,0,2008
125,16068577,35300,1,4664
126,16099925,31348,0,6691
127,16133263,33338,0,1807
128,16166615,33352,0,1336
129,16199938,33323,0,1088
130,16233267,33329,0,1302
131,16266608,33341,0,1146
132,16300136,33528,0,1052
133,16333279,33143,0,1050
134,16366590,33311,0,1180
135,16600117,233527,0,287
136,16633288,33171,0,239
137,16666608,33320,0,2221
138,16699936,33328,0,112
139,16733255,33319,0,185
140,16766591,33336,0,208
141,16799943,33352,0,220
142,16833211,33268,0,196
143,16866575,33364,0,225
144,16900384,33809,0,163
145,16933277,32893,0,723
146,16966603,33326,0,341
147,16999943,33340,0,313
148,17033260,33317,0,253
149,17066596,33336,1,4471
150,17099945,33349,0,235
151,17134656,34711,0,225
152,17166621,31965,0,251
153,17199919,33298,0,189
154,17233268,33349,0,272
155,17266593,33325,0,226
156,17299919,33326,0,1255
157,17333246,33327,0,98
158,17366536,33290,0,176
159,17399913,33377,0,200
160,17433258,33345,0,230
161,17466583,33325,0,225
162,17499912,33329,0,399
163,17533273,33361,0,210
164,17566603,33330,0,219
165,17599933,33330,0,175
166,17633257,33324,0,523
167,17666736,33479,0,483
168,17699920,33184,0,306
169,17733257,33337,0,260
170,17766587,33330,0,228
171,17799917,33330,0,251
172,17833266,33349,0,810
173,17866580,33314,0,326
174,17901608,35028,0,267
175,17933248,31640,0,267
176,17966582,33334,0,1209
177,17999929,33347,0,140
178,18033256,33327,0,170
179,18066594,33338,1,3816
180,18099916,33322,0,248
181,18133236,33320,0,152
182,18166577,33341,0,161
183,18201269,34692,0,134
184,18233257,31988,0,164
185,18266578,33321,0,161
186,18299926,33348,0,143
187,18333254,33328,0,1143
188,18366604,33350,0,259
189,18399918,33314,0,267
190,18433235,33317,0,237
191,18466569,33334,0,220
192,18499895,33326,0,946
193,18533253,33358,0,342
194,18566590,33337,0,291
195,18599904,33314,0,213
196,18633237,33333,0,2228
197,18666585,33348,0,126
198,18699902,33317,0,159
199,18734253,34351,0,150
200,18766581,32328,0,184
201,18800671,34090,0,156
202,18833259,32588,0,165
203,18866579,33320,0,165
204,18899915,33336,0,138
205,18933246,33331,0,136
206,18966545,33299,0,144
207,18999891,33346,0,712
208,19033213,33322,0,233
209,19066574,33361,1,3461
210,19099910,33336,0,599
211,19133255,33345,0,224
212,19166572,33317,0,188
213,19199890,33318,0,256
214,19233216,33326,0,307
215,19266548,33332,0,234
216,19299916,33368,0,1603
217,19333233,33317,0,120
218,19366570,33337,0,139
219,19399913,33343,0,221
220,19433248,33335,0,158
221,19466572,33324,0,263
222,19501144,34572,0,396
223,19533246,32102,0,193
224,19570714,37468,0,200
225,19599937,29223,0,204
226,19633230,33293,0,173
227,19666575,33345,0,252
228,19699906,33331,0,1109
229,19733324,33418,0,292
230,19766552,33228,0,266
231,19801426,34874,0,273
232,19833244,31818,0,286
233,19866561,33317,0,805
234,19899907,33346,0,266
235,19933235,33328,0,297
236,19966590,33355,0,307
237,19999903,33313,0,1481
238,20033315,33412,0,131
239,20066575,33260,1,2862
240,20100502,33927,0,942
241,20133261,32759,0,274
242,20166567,33306,0,182
243,20199903,33336,0,172
244,20233239,33336,0,162
245,20266580,33341,0,157
246,20299914,33334,0,1672
247,20335240,35326,0,243
248,20366586,31346,0,75
249,20401226,34640,0,204
250,20433244,32018,0,84
251,20466567,33323,0,386
252,20499915,33348,0,69
253,20533230,33315,0,92
254,20566982,33752,0,300
255,20599916,32934,0,75
256,20633254,33338,0,155
257,20666560,33306,0,937
258,20699892,33332,0,346
259,20733230,33338,0,274
260,20766563,33333,0,235
261,20799900,33337,0,588
262,20833245,33345,0,475
263,20867980,34735,0,347
264,20899901,31921,0,327
265,20933204,33303,0,481
266,20966537,33333,0,491
267,20999883,33346,0,315
268,21033224,33341,0,235
269,21066551,33327,1,1591
270,21100491,33940,0,950
271,21133209,32718,0,255
272,21166532,33323,0,163
273,21199880,33348,0,179
274,21233207,33327,0,411
275,21266571,33364,0,141
276,21299909,33338,0,129
277,21333233,33324,0,751
278,21366594,33361,0,129
279,21401992,35398,0,292
280,21433232,31240,0,433
281,21466554,33322,0,231
282,21499892,33338,0,564
283,21533219,33327,0,124
284,21566561,33342,0,187
285,21599887,33326,0,246
286,21633459,33572,0,286
287,21666555,33096,0,237
288,21699861,33306,0,244
289,21733220,33359,0,239
290,21766543,33323,0,222
291,21799893,33350,0,240
292,21833212,33319,0,203
293,21866557,33345,0,499
294,21899885,33328,0,745
295,21934216,34331,0,574
296,21966556,32340,0,301
297,21999833,33277,0,464
298,22033220,33387,0,548
299,22066545,33325,1,1535
300,22099873,33328,0,1794
301,22133225,33352,0,537
302,22166533,33308,0,452
303,22199879,33346,0,334
304,22233212,33333,0,255
305,22266552,33340,0,319
306,22299877,33325,0,1042
307,22333217,33340,0,159
308,22366549,33332,0,208
309,22399884,33335,0,223
310,22433223,33339,0,296
311,22469064,35841,0,316
312,22499883,30819,0,370
313,22533201,33318,0,763
314,22566548,33347,0,722
315,22599879,33331,0,902
316,22633214,33335,0,804
317,22666520,33306,0,556
318,22700216,33696,0,328
319,22733211,32995,0,164
320,22766525,33314,0,118
321,22799881,33356,0,193
322,22833204,33323,0,778
323,22866553,33349,0,87
324,22899877,33324,0,162
325,22933204,33327,0,235
326,22966533,33329,0,296
327,23000408,33875,0,222
328,23033223,32815,0,250
329,23066530,33307,1,1660
330,23099877,33347,0,1633
331,23133185,33308,0,135
332,23166541,33356,0,180
333,23199865,33324,0,237
334,23233307,33442,0,220
335,23266535,33228,0,238
336,23300632,34097,0,179
337,23333206,32574,0,263
338,23366538,33332,0,277
339,23399886,33348,0,199
340,23433194,33308,0,222
341,23466541,33347,0,266
342,23499863,33322,0,232
343,23534564,34701,0,227
344,23566521,31957,0,1070
345,23599838,33317,0,202
346,23633169,33331,0,180
347,23666519,33350,0,121
348,23699881,33362,0,96
349,23733198,33317,0,89
350,23766808,33610,0,105
351,23799892,33084,0,121
352,23834374,34482,0,124
353,23866544,32170,0,133
354,23899861,33317,0,196
355,23933203,33342,0,124
356,23966531,33328,0,126
357,23999877,33346,0,118
358,24033196,33319,0,114
359,24068213,35017,1,1677
360,24099856,31643,0,1713
361,24133186,33330,0,141
362,24166525,33339,0,254
363,24199863,33338,0,333
364,24233213,33350,0,230
365,24266532,33319,0,200
366,24300264,33732,0,1333
367,24333192,32928,0,136
368,24366809,33617,0,194
369,24399857,33048,0,462
370,24433175,33318,0,833
371,24466511,33336,0,708
372,24499857,33346,0,767
373,24533192,33335,0,495
374,24566583,33391,0,432
375,24600191,33608,0,956
376,24633184,32993,0,166
377,24666499,33315,0,381
378,24699840,33341,0,374
379,24733178,33338,0,278
380,24766519,33341,0,351
381,24799869,33350,0,161
382,24834781,34912,0,345
383,24866547,31766,0,382
384,24900312,33765,0,1297
385,24933195,32883,0,469
386,24966501,33306,0,468
387,24999830,33329,0,703
388,25033177,33347,0,724
389,25066519,33342,1,2446
390,25099855,33336,0,319
391,25133141,33286,0,377
392,25166494,33353,0,329
393,25199817,33323,0,310
394,25233182,33365,0,282
395,25266516,33334,0,332
396,25299858,33342,0,1603
397,25333180,33322,0,301
398,25366846,33666,0,326
399,25399883,33037,0,447
400,25433226,33343,0,330
401,25466527,33301,0,168
402,25499832,33305,0,106
403,25533172,33340,0,197
404,25566503,33331,0,100
405,25599847,33344,0,142
406,25633188,33341,0,166
407,25666473,33285,0,244
408,25699831,33358,0,458
409,25733161,33330,0,93
410,25766510,33349,0,148
411,25799832,33322,0,522
412,25833179,33347,0,243
413,25866501,33322,0,189
414,25900031,33530,0,391
415,25933179,33148,0,207
416,25967489,34310,0,264
417,25999850,32361,0,247
418,26033170,33320,0,239
419,26066519,33349,1,1587
420,26099843,33324,0,1256
421,26133181,33338,0,124
422,26166517,33336,0,283
423,26201775,35258,0,187
424,26233181,31406,0,202
425,26267666,34485,0,207
426,26299843,32177,0,179
427,26333166,33323,0,213
428,26366497,33331,0,222
429,26399831,33334,0,176
430,26433676,33845,0,160
431,26466506,32830,0,158
432,26499817,33311,0,173
433,26533161,33344,0,1095
434,26566489,33328,0,153
435,26599824,33335,0,177
436,26633159,33335,0,197
437,26666497,33338,0,186
438,26699829,33332,0,167
439,26733395,33566,0,136
440,26766518,33123,0,159
441,26799806,33288,0,100
442,26833160,33354,0,99
443,26866503,33343,0,122
444,26899832,33329,0,225
445,26933164,33332,0,125
446,26966765,33601,0,144
447,26999834,33069,0,162
448,27033142,33308,0,178
449,27066487,33345,1,1644
450,27099828,33341,0,1285
451,27133166,33338,0,189
452,27166496,33330,0,278
453,27199831,33335,0,145
454,27233158,33327,0,126
455,27269856,36698,0,119
456,27299839,29983,0,1173
457,27333153,33314,0,100
458,27366497,33344,0,82
459,27399829,33332,0,65
460,27433167,33338,0,68
461,27466504,33337,0,71
462,27499935,33431,0,80
463,27533176,33241,0,94
464,27566504,33328,0,96
465,27599820,33316,0,5688
466,27633141,33321,0,330
467,27666483,33342,0,95
468,27699823,33340,0,200
469,27733182,33359,0,160
470,27766470,33288,0,163
471,27800405,33935,0,189
472,27833155,32750,0,167
473,27866482,33327,0,179
474,27899828,33346,0,165
475,27933159,33331,0,187
476,27966492,33333,0,118
477,27999822,33330,0,179
478,28033445,33623,0,145
479,28066505,33060,1,3141
480,28100932,34427,0,86
481,28133165,32233,0,84
482,28166463,33298,0,149
483,28199819,33356,0,99
484,28233148,33329,0,136
485,28266482,33334,0,139
486,28299811,33329,0,125
487,28333971,34160,0,872
488,28366486,32515,0,236
489,28400459,33973,0,176
490,28433163,32704,0,331
491,28466489,33326,0,218
492,28499832,33343,0,898
493,28533129,33297,0,298
494,28566469,33340,0,204
495,28599816,33347,0,260
496,28633134,33318,0,788
497,28666473,33339,0,105
498,28699794,33321,0,340
499,28733141,33347,0,244
500,28766479,33338,0,298
501,28799817,33338,0,757
502,28833131,33314,0,208
503,28867131,34000,0,264
504,28899804,32673,0,222
505,28933133,33329,0,748
506,28966481,33348,0,116
507,28999821,33340,0,607
508,29033138,33317,0,255
509,29066460,33322,1,2766
510,29100188,33728,0,578
511,29133152,32964,0,223
512,29166861,33709,0,188
513,29199811,32950,0,192
514,29233148,33337,0,452
515,29266464,33316,0,257
516,29299800,33336,0,626
517,29333145,33345,0,165
518,29366479,33334,0,640
519,29401418,34939,0,253
520,29433147,31729,0,210
521,29466453,33306,0,882
522,29499802,33349,0,208
523,29533130,33328,0,187
524,29566465,33335,0,236
525,29599795,33330,0,1216
526,29633064,33269,0,79
527,29666467,33403,0,245
528,29699787,33320,0,312
529,29733142,33355,0,238
530,29766467,33325,0,256
531,29799804,33337,0,768
532,29833115,33311,0,201
533,29866454,33339,0,252
534,29899806,33352,0,219
535,29934802,34996,0,241
536,29966466,31664,0,818
537,30001188,34722,0,212
538,30033136,31948,0,214
539,30066459,33323,1,2628
540,30099806,33347,0,1081
541,30133110,33304,0,221
542,30166800,33690,0,166
543,30199814,33014,0,219
544,30233653,33839,0,502
545,30266472,32819,0,231
546,30299797,33325,0,1668
547,30333126,33329,0,74
548,30366455,33329,0,91
549,30399798,33343,0,193
550,30433127,33329,0,240
551,30468602,35475,0,203
552,30499801,31199,0,628
553,30533110,33309,0,255
554,30566449,33339,0,202
555,30599739,33290,0,220
556,30633137,33398,0,212
557,30666455,33318,0,1116
558,30699773,33318,0,127
559,30733120,33347,0,195
560,30766445,33325,0,466
561,30799767,33322,0,615
562,30833165,33398,0,149
563,30866468,33303,0,365
564,30899747,33279,0,1439
565,30933130,33383,0,72
566,30966444,33314,0,147
567,30999731,33287,0,187
568,31033107,33376,0,243
569,31066443,33336,1,2571
570,31099750,33307,0,1233
571,31133121,33371,0,197
572,31166478,33357,0,163
573,31199748,33270,0,160
574,31233194,33446,0,195
575,31266435,33241,0,318
576,31300537,34102,0,315
577,31333146,32609,0,911
578,31366451,33305,0,153
579,31399754,33303,0,163
580,31433124,33370,0,581
581,31466456,33332,0,413
582,31499759,33303,0,224
583,31534396,34637,0,306
584,31566451,32055,0,441
585,31600069,33618,0,1787
586,31633119,33050,0,68
587,31666448,33329,0,102
588,31699746,33298,0,136
589,31733110,33364,0,193
590,31766545,33435,0,369
591,31799752,33207,0,194
592,31833097,33345,0,228
593,31866422,33325,0,208
594,31899751,33329,0,181
595,31933125,33374,0,908
596,31966447,33322,0,115
597,31999752,33305,0,408
598,32033106,33354,0,262
599,32067647,34541,1,2475
600,32099757,32110,0,1303
601,32133106,33349,0,179
602,32166455,33349,0,150
603,32199742,33287,0,193
604,32233117,33375,0,474
605,32266442,33325,0,215
606,32300286,33844,0,1802
607,32333124,32838,0,68
608,32366406,33282,0,103
609,32399753,33347,0,137
610,32433120,33367,0,237
611,32466444,33324,0,372
612,32499760,33316,0,188
613,32533073,33313,0,188
614,32566442,33369,0,204
615,32600021,33579,0,134
616,32633106,33085,0,861
617,32666429,33323,0,130
618,32699746,33317,0,556
619,32733094,33348,0,147
620,32766489,33395,0,1413
621,32799766,33277,0,92
622,32833527,33761,0,114
623,32866462,32935,0,1087
624,32900539,34077,0,67
625,32933118,32579,0,180
626,32966437,33319,0,382
627,32999755,33318,0,158
628,33033102,33347,0,1195
629,33066447,33345,1,2406
630,33099755,33308,0,1011
631,33134425,34670,0,157
632,33166456,32031,0,134
633,33200831,34375,0,140
634,33233109,32278,0,420
635,33266436,33327,0,192
636,33299766,33330,0,1152
637,33333103,33337,0,67
638,33366503,33400,0,237
639,33399760,33257,0,284
640,33434675,34915,0,239
641,33466456,31781,0,753
642,33499751,33295,0,162
643,33533105,33354,0,180
644,33566436,33331,0,271
645,33599745,33309,0,1052
646,33633087,33342,0,123
647,33667957,34870,0,179
648,33699749,31792,0,555
649,33733094,33345,0,511
650,33766415,33321,0,141
651,33799731,33316,0,386
652,33833106,33375,0,299
653,33866419,33313,0,1699
654,33900094,33675,0,78
655,33933101,33007,0,130
656,33966418,33317,0,171
657,33999768,33350,0,253
658,34033118,33350,0,415
659,34066435,33317,1,2464
660,34099750,33315,0,1003
661,34133114,33364,0,187
662,34166414,33300,0,156
663,34199731,33317,0,149
664,34233084,33353,0,224
665,34266836,33752,0,289
666,34299761,32925,0,277
667,34333072,33311,0,1128
