Time (s),Bitrate (Bps)
0,4342.68
1,4170.91
2,4126.02
3,4219.33
4,4196.52
5,4187.95
6,4170.91
7,4212.61
8,4219.16
9,4127.03
10,4175.81
11,3291.36
12,4171.60
13,4194.90
14,4172.45
15,4204.06
16,4201.63
17,4161.42
18,4141.26
19,4190.04
20,4167.69
21,4155.10
22,4160.57
23,4237.22
24,4187.82
25,4154.63
26,4155.65
27,4160.41
28,4149.28
29,4170.91
30,4170.91
31,4224.59
32,4192.46
33,4177.19
34,4146.49
35,4197.15
36,4185.42
37,4192.23
38,4183.67
39,4248.98
40,4175.15
41,4175.15
42,4165.99
43,4185.34
44,4170.91
45,4181.06
46,4175.15
47,4257.64
48,4138.63
49,4178.21
50,4163.62
51,4205.08
52,4191.47
53,4176.71
54,4175.15
55,4216.90
56,4176.17
57,4210.58
58,4130.21
59,4181.73
60,4164.16
61,4139.80
62,4092.57
63,4227.32
64,4165.82
65,4210.58
66,4126.02
67,4204.06
68,4200.61
69,4155.05
70,4129.20
71,4256.62
72,4178.39
73,4141.69
74,4161.42
75,4212.61
76,4175.15
77,4176.72
78,4213.85
79,4169.72
80,4170.91
81,4211.60
82,4145.33
83,4184.77
84,4169.89
85,4101.02
86,4179.41
87,4257.64
88,4175.15
89,4166.67
90,4166.67
91,4166.67
92,4137.61
93,4141.84
94,4159.02
95,4188.01
96,4211.60
97,4142.28
98,4191.06
99,4166.67
100,4153.46
101,4181.06
102,4170.91
103,4212.61
104,4166.67
105,4175.15
106,4164.63
107,4217.92
108,4179.59
109,4106.12
110,4137.33
111,4245.17
112,4160.73
113,4157.84
114,4162.77
115,4261.22
116,4160.73
117,4158.50
118,4210.58
119,4200.81
120,4179.41
121,4130.21
122,4199.59
123,4209.99
124,4202.65
125,4151.04
126,4168.02
127,4212.61
128,4180.24
129,4202.24
130,4170.91
131,4208.33
132,4134.42
133,4181.06
134,4215.89
135,4216.90
136,4170.91
137,4166.67
138,4154.79
139,4228.89
140,4179.23
141,4143.60
142,4166.84
143,4243.38
144,4185.15
145,4126.02
146,4158.22
147,4211.38
148,4166.84
149,4141.84
150,4134.42
151,4212.61
152,4201.42
153,4148.83
154,4170.91
155,4240.37
156,4156.66
157,4154.01
158,4215.89
159,4221.20
160,4166.67
161,4166.67
162,4113.48
163,4193.18
164,4189.38
165,4141.84
166,4130.21
167,4227.87
168,4159.88
169,4212.83
170,4157.20
171,4207.74
172,4186.35
173,4145.83
174,4183.67
175,4213.63
176,4210.58
177,4134.42
178,4166.67
179,4257.64
180,4137.47
181,4215.18
182,4175.15
183,4216.90
184,4183.67
185,4170.91
186,4149.80
187,4212.61
188,4177.37
189,4145.83
190,4170.91
191,4221.20
192,4179.41
193,4190.43
194,4170.56
195,4216.46
196,4130.21
197,4154.24
198,4170.91
199,4211.60
200,4159.55
201,4179.04
202,4150.41
203,4202.03
204,4191.45
205,4184.38
206,4144.60
207,4201.22
208,4166.67
209,4197.76
210,4148.37
211,4208.33
212,4171.92
213,4216.44
214,4171.75
215,4216.90
216,4153.30
217,4156.50
218,4137.79
219,4205.39
220,4190.38
221,4185.42
222,4175.15
223,4236.01
224,4188.20
225,4176.35
226,4169.72
227,4166.67
228,4108.22
229,4146.07
230,4167.85
231,4224.26
232,4170.91
233,4170.91
234,4166.67
235,4219.33
236,4186.19
237,4135.71
238,4141.69
239,4214.65
240,4139.37
241,4202.44
242,4119.68
243,4214.87
244,4175.15
245,4139.65
246,4169.04
247,4219.96
248,4170.91
249,4175.15
250,4152.59
251,4185.98
252,4175.15
253,4222.68
254,4170.91
255,4189.22
256,4193.48
257,4128.93
258,4201.02
259,4212.61
260,4179.41
261,4185.42
262,4146.79
263,4252.80
264,4170.91
265,4135.44
266,4154.00
267,4253.31
268,4138.63
269,4222.68
270,4175.15
271,4176.17
272,4215.89
273,4132.25
274,4228.25
275,4205.91
276,4171.25
277,4170.66
278,4210.79
279,4198.78
280,4162.60
281,4161.75
282,4197.15
283,4219.74
284,4137.47
285,4185.42
286,4179.41
287,4247.20
288,4132.11
289,3371.57
290,4166.67
291,4212.61
292,4218.30
293,4192.23
294,4160.90
295,4186.16
296,4179.41
297,4179.51
298,4105.26
299,4215.08
300,4144.60
301,4191.47
302,4201.42
303,4212.61
304,4126.02
305,4211.60
306,4154.47
307,4192.66
308,4175.15
309,4185.42
310,4207.32
311,4202.44
312,4172.59
313,4161.91
314,4160.73
315,4208.76
316,4165.99
317,4218.30
318,4142.42
319,4204.68
320,4175.46
321,4140.97
322,4162.44
323,4221.20
324,4207.32
325,4140.82
326,4131.23
327,4241.34
328,4195.72
329,4126.02
330,4158.22
331,4212.61
332,4220.18
333,4175.15
334,4133.40
335,4168.70
336,4223.47
337,4129.69
338,4165.48
339,4206.12
340,4220.18
341,4145.68
342,4209.78
343,4225.51
344,4130.21
345,4176.83
346,4156.50
347,4392.86
