Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9112679759862,0,1,63
1,9112679769862,10000,1,63
2,9112679779862,10000,1,63
3,9112679789862,10000,1,63
4,9112679799862,10000,1,63
5,9112679809862,10000,1,63
6,9112679819862,10000,1,63
7,9112679829862,10000,1,63
8,9112679839862,10000,1,63
9,9112679849862,10000,1,63
10,9112679859862,10000,1,63
11,9112679869862,10000,1,63
12,9112679879862,10000,1,63
13,9112679889862,10000,1,63
14,9112679899862,10000,1,63
15,9112679909862,10000,1,63
16,9112679919862,10000,1,63
17,9112679929862,10000,1,63
18,9112679939862,10000,1,63
19,9112679949862,10000,1,63
20,9112679959862,10000,1,63
21,9112679969862,10000,1,63
22,9112679979862,10000,1,63
23,9112679989862,10000,1,63
24,9112679999862,10000,1,63
25,9112680009862,10000,1,63
26,9112680019862,10000,1,63
27,9112680029862,10000,1,63
28,9112680039862,10000,1,63
29,9112680049862,10000,1,63
30,9112680059862,10000,1,63
31,9112680069862,10000,1,63
32,9112680079862,10000,1,63
33,9112680089862,10000,1,63
34,9112680099862,10000,1,63
35,9112680109862,10000,1,63
36,9112680119862,10000,1,63
37,9112680129862,10000,1,63
38,9112680139862,10000,1,63
39,9112680149862,10000,1,63
40,9112680159862,10000,1,63
41,9112680169862,10000,1,63
42,9112680179862,10000,1,63
43,9112680189862,10000,1,63
44,9112680199862,10000,1,63
45,9112680209862,10000,1,63
46,9112680219862,10000,1,63
47,9112680229862,10000,1,62
48,9112680239862,10000,1,62
49,9112680249862,10000,1,63
50,9112680259862,10000,1,64
51,9112680269862,10000,1,63
52,9112680279862,10000,1,64
53,9112680289862,10000,1,62
54,9112680299862,10000,1,64
55,9112680309862,10000,1,63
56,9112680319862,10000,1,63
57,9112680329862,10000,1,63
58,9112680339862,10000,1,63
59,9112680349862,10000,1,63
60,9112680359862,10000,1,63
61,9112680369862,10000,1,63
62,9112680379862,10000,1,63
63,9112680389862,10000,1,63
64,9112680399862,10000,1,63
65,9112680409862,10000,1,63
66,9112680419862,10000,1,63
67,9112680429862,10000,1,63
68,9112680439862,10000,1,62
69,9112680449862,10000,1,61
70,9112680459862,10000,1,62
71,9112680469862,10000,1,61
72,9112680479862,10000,1,63
73,9112680489862,10000,1,61
74,9112680499862,10000,1,61
75,9112680509862,10000,1,63
76,9112680519862,10000,1,63
77,9112680529862,10000,1,65
78,9112680539862,10000,1,67
79,9112680549862,10000,1,65
80,9112680559862,10000,1,65
81,9112680569862,10000,1,63
82,9112680579862,10000,1,63
83,9112680589862,10000,1,63
84,9112680599862,10000,1,63
85,9112680609862,10000,1,63
86,9112680619862,10000,1,63
87,9112680629862,10000,1,63
88,9112680639862,10000,1,63
89,9112680649862,10000,1,63
90,9112680659862,10000,1,63
91,9112680669862,10000,1,63
92,9112680679862,10000,1,63
93,9112680689862,10000,1,63
94,9112680699862,10000,1,63
95,9112680709862,10000,1,63
96,9112680719862,10000,1,63
97,9112680729862,10000,1,63
98,9112680739862,10000,1,63
99,9112680749862,10000,1,63
100,9112680759862,10000,1,63
101,9112680769862,10000,1,63
102,9112680779862,10000,1,63
103,9112680789862,10000,1,63
104,9112680799862,10000,1,63
105,9112680809862,10000,1,63
106,9112680819862,10000,1,63
107,9112680829862,10000,1,63
108,9112680839862,10000,1,63
109,9112680849862,10000,1,63
110,9112680859862,10000,1,63
111,9112680869862,10000,1,63
112,9112680879862,10000,1,63
113,9112680889862,10000,1,63
114,9112680899862,10000,1,63
115,9112680909862,10000,1,63
116,9112680919862,10000,1,63
117,9112680929862,10000,1,63
118,9112680939862,10000,1,62
119,9112680949862,10000,1,63
