Chunk Index,Relative Timestamp Difference (μs)
0,1613345
1,1583345
2,1553345
3,1523345
4,1493345
5,1463345
6,1433345
7,1403345
8,1373346
9,1343345
10,1313345
11,1283345
12,1253345
13,1223345
14,1193345
15,1163345
16,1133345
17,1103345
18,1073345
19,1043345
20,1013345
21,983345
22,953345
23,923345
24,893345
25,863345
26,833345
27,803345
28,773345
29,743345
30,713345
31,683345
32,653345
33,623345
34,593346
35,563345
36,533345
37,503345
38,473345
39,443345
40,413345
41,383345
42,353345
43,323345
44,293345
45,263345
46,233345
47,203345
48,173345
49,143345
50,113345
51,83345
52,53345
53,23345
54,63317
55,33317
56,3317
57,43343
58,13343
59,53354
60,23354
61,63276
62,33276
63,3276
64,43357
65,13356
66,53338
67,23338
68,63323
69,33323
70,3323
71,43352
72,13352
73,53337
74,23337
75,63336
76,33336
77,3336
78,43374
79,13374
80,53331
81,23331
82,63334
83,33334
84,3334
85,43318
86,13318
87,53321
88,23321
89,63325
90,33325
91,3325
92,43318
93,13318
94,53344
95,23344
96,63314
97,33314
98,3314
99,43305
100,13305
101,53361
102,23361
103,63324
104,33324
105,3324
106,43322
107,13322
108,53322
109,23322
110,63324
111,33325
112,3325
113,43319
114,13318
115,53578
116,23578
117,63314
118,33314
119,3314
120,43315
121,13315
122,55733
123,25733
124,63322
125,33322
126,3322
127,3322
128,3296
129,3322
130,3626
131,3541
132,6788
133,7039
134,3315
135,3305
136,3246
137,3298
138,3290
139,3274
140,1357
141,3269
142,3277
143,3274
144,3272
145,199930
146,169930
147,139930
148,109930
149,79930
150,49930
151,19930
152,3295
153,4851
154,4319
155,3249
156,3258
157,3220
158,3240
159,3233
160,3230
161,13
162,1285
163,3235
164,3229
165,3231
166,3226
167,3216
168,3570
169,3180
170,3186
171,3199
172,3198
173,3197
174,3201
175,3182
176,3191
177,367
178,1011
179,3167
180,3169
181,376
182,173147
183,143147
184,113147
185,83147
186,53147
187,23147
188,3168
189,354
190,3381
191,3888
192,4506
193,3142
194,3136
195,3132
196,3134
197,3134
198,3140
199,3141
200,134
201,3124
202,3052
203,3119
204,3122
205,3116
206,3371
207,4507
208,3098
209,3111
210,3096
211,3100
212,3093
213,3118
214,3083
215,3090
216,3
217,3084
218,3089
219,3089
220,3082
221,3077
222,3058
223,3633
224,3095
225,3010
226,3051
227,3008
228,3002
229,3005
230,2996
231,3005
232,159
233,3003
234,3015
235,3009
236,3001
237,3013
238,2988
239,2995
240,2993
241,7067
242,2991
243,3015
244,3001
245,2990
246,3004
247,3015
248,1743
249,2997
250,2988
251,2971
252,2996
253,2993
254,2985
255,3507
256,2946
257,2944
258,2954
259,3007
260,2952
261,2957
262,2935
263,2938
264,2944
265,2941
266,2929
267,2934
268,2920
269,2934
270,2925
271,3400
272,2901
273,2899
274,2892
275,2898
276,2912
277,2893
278,2903
279,2894
280,103
281,2879
282,2882
283,2885
284,2891
285,2874
286,2877
287,3231
288,3553
289,2869
290,2837
291,2854
292,2849
293,2852
294,2865
295,2866
296,48
297,2832
298,2843
299,2819
300,2827
301,2836
302,2848
303,2804
304,2799
305,2827
306,2811
307,2804
308,2815
309,2798
310,2818
311,2817
312,1303
313,2801
314,2787
315,2803
316,2798
317,2792
318,2781
319,3241
320,3479
321,2758
322,2773
323,2769
324,2746
325,2768
326,2739
327,2752
328,990
329,2757
330,2749
331,2735
332,2742
333,2750
334,2743
335,2764
336,2700
337,2873
338,2717
339,2712
340,2715
341,2707
342,2702
343,2703
344,2702
345,2700
346,2687
347,2694
348,2696
349,2698
350,2689
351,3367
352,3302
353,2650
354,2657
355,2663
356,2662
357,2688
358,2650
359,2689
360,1586
361,2647
362,2651
363,2648
364,2645
365,2653
366,2649
367,4850
368,2617
369,2607
370,2626
371,2603
372,2606
373,2621
374,2611
375,2600
376,2602
377,2575
378,2582
379,2592
380,2584
381,2588
382,2580
383,3262
384,4014
385,2576
386,2560
387,2572
388,2563
389,2554
390,2548
391,2560
392,2539
393,2559
394,2562
395,2567
396,2541
397,2545
398,2524
399,4699
400,3607
401,2521
402,2519
403,2511
404,2514
405,2526
406,2519
407,2520
408,483
409,2499
410,2502
411,2491
412,2503
413,2497
414,2581
415,4636
416,2537
417,2452
418,2468
419,2464
420,2470
421,2462
422,2456
423,2430
424,630
425,2467
426,2455
427,2459
428,2451
429,2459
430,2457
431,4012
432,3898
433,2423
434,2424
435,2416
436,2418
437,2416
438,2407
439,2421
440,57
441,2409
442,2417
443,2398
444,2410
445,2397
446,2405
447,3527
448,3212
449,2358
450,2364
451,2375
452,2386
453,2369
454,2348
455,2363
456,720
457,2357
458,2380
459,2353
460,2341
461,2356
462,2327
463,3426
464,4517
465,2328
466,2324
467,2321
468,2313
469,2308
470,2323
471,2306
472,142
473,2313
474,2315
475,2315
476,2341
477,2331
478,2282
479,3024
480,2298
481,2274
482,2290
483,2288
484,2276
485,2274
486,2265
487,2288
488,2251
489,2260
490,2258
491,2254
492,2261
493,2274
494,2264
495,3699
496,2228
497,2237
498,2238
499,2238
500,2218
501,2222
502,2229
503,2213
504,2215
505,2234
506,2207
507,2214
508,2220
509,2210
510,2218
511,2704
512,3489
513,2510
514,2171
515,2169
516,2170
517,2189
518,2171
519,2157
520,2188
521,2208
522,2164
523,2200
524,2153
525,2163
526,2171
527,2767
528,2137
529,2127
530,2144
531,2133
532,2136
533,2140
534,2131
535,2118
536,2114
537,2114
538,2505
539,2116
540,2116
541,2115
542,2090
543,2384
544,2635
545,2069
546,2085
547,2090
548,2092
549,2075
550,2063
551,2079
552,2077
553,350
554,2058
555,2075
556,2071
557,2070
558,2056
559,1993
560,2009
561,1989
562,1994
563,1999
564,2008
565,2014
566,2010
567,1998
568,2032
569,2002
570,2002
571,2027
572,2039
573,2024
574,2008
575,2047
576,2502
577,1928
578,1985
579,1985
580,1991
581,1999
582,1991
583,1999
584,1966
585,1981
586,1988
587,2004
588,2005
589,1969
590,1967
591,1952
592,1934
593,1937
594,1939
595,1944
596,1938
597,1935
598,1940
599,1942
600,1956
601,1933
602,1264
603,1922
604,1924
605,1923
606,1898
607,2987
608,3453
609,1897
610,1905
611,1892
612,1898
613,1904
614,1882
615,1889
616,1888
617,6569
618,1877
619,1879
620,1895
621,1872
622,1864
623,1986
624,3413
625,1851
626,1837
627,1851
628,1843
629,1834
630,1851
631,1848
632,1842
633,1839
634,1834
635,1825
636,1834
637,1822
638,1829
639,2101
640,2188
641,1811
642,1784
643,1787
644,1785
645,1790
646,1809
647,1803
648,1790
649,1776
650,1780
651,1773
652,1779
653,1785
654,1766
655,2013
656,2209
657,2323
658,1752
659,1751
660,1749
661,1745
662,1757
663,1743
664,2084
665,1743
666,1750
667,1748
668,1737
669,1729
670,1744
671,2015
672,2299
673,1727
674,1701
675,1697
676,1701
677,1693
678,1715
679,1699
680,1685
681,1697
682,1716
683,1691
684,1675
685,1680
686,1681
687,1883
688,2606
689,1657
690,1653
691,1665
692,1652
693,1654
694,1657
695,1655
696,1617
697,1655
698,1643
699,1626
700,1636
701,1630
702,1619
703,1607
704,2138
705,1603
706,1598
707,1600
708,1620
709,1596
710,1600
711,1571
712,1594
713,1595
714,1587
715,1587
716,1583
717,1588
718,1584
719,1562
720,3451
721,1556
722,1554
723,1561
724,1564
725,1537
726,1553
727,1566
728,1575
729,1554
730,1543
731,1541
732,1529
733,1542
734,1541
735,1529
736,2630
737,1481
738,1514
739,1517
740,1519
741,1501
742,1508
743,1487
744,1503
745,1495
746,1506
747,1490
748,1468
749,1488
750,1491
751,1485
752,1525
753,2068
754,1464
755,1452
756,1482
757,1458
758,1465
759,1457
760,1494
761,1461
762,1442
763,1454
764,1443
765,1457
766,1456
767,1450
768,2751
769,9971
770,1943
771,1428
772,1414
773,1423
774,1396
775,1401
776,1393
777,1392
778,1399
779,1432
780,1390
781,1389
782,1372
783,1376
