Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,9115219128755,16066603,9115203062152,6655
1,9115219128755,16099926,9115203062152,6655
2,9115219248755,16166575,9115203082180,26683
3,9115219248755,16199926,9115203082180,26683
4,9115219338755,16266601,9115203072154,16657
5,9115219338755,16299925,9115203072154,16657
6,9115219428755,16366612,9115203062143,6646
7,9115219428755,16401145,9115203062143,6646
8,9115219548754,16466534,9115203082220,26723
9,9115219548754,16499943,9115203082220,26723
10,9115219638755,16566614,9115203072141,16644
11,9115219638755,16599935,9115203072141,16644
12,9115219728755,16666596,9115203062159,6662
13,9115219728755,16699923,9115203062159,6662
14,9115219848755,16766581,9115203082174,26677
15,9115219848755,16799926,9115203082174,26677
16,9115219938755,16866610,9115203072145,16648
17,9115219938755,16899922,9115203072145,16648
18,9115220028755,16966595,9115203062160,6663
19,9115220028755,16999934,9115203062160,6663
20,9115220148755,17066594,9115203082161,26664
21,9115220148755,17099933,9115203082161,26664
22,9115220238755,17166632,9115203072123,16626
23,9115220238755,17199903,9115203072123,16626
24,9115220328755,17266589,9115203062166,6669
25,9115220328755,17299912,9115203062166,6669
26,9115220448755,17366592,9115203082163,26666
27,9115220448755,17399921,9115203082163,26666
28,9115220538755,17466576,9115203072179,16682
29,9115220538755,17499925,9115203072179,16682
30,9115220628755,17566579,9115203062176,6679
31,9115220628755,17599919,9115203062176,6679
32,9115220748755,17666583,9115203082172,26675
33,9115220748755,17699877,9115203082172,26675
34,9115220838755,17766576,9115203072179,16682
35,9115220838755,17799930,9115203072179,16682
36,9115220928755,17866602,9115203062153,6656
37,9115220928755,17899906,9115203062153,6656
38,9115221048755,17966572,9115203082183,26686
39,9115221048755,18001413,9115203082183,26686
40,9115221138755,18066563,9115203072192,16695
41,9115221138755,18099919,9115203072192,16695
42,9115221228755,18166619,9115203062136,6639
43,9115221228755,18199917,9115203062136,6639
44,9115221348755,18266582,9115203082173,26676
45,9115221348755,18299908,9115203082173,26676
46,9115221438755,18366580,9115203072175,16678
47,9115221438755,18399897,9115203072175,16678
48,9115221528755,18466580,9115203062175,6678
49,9115221528755,18499900,9115203062175,6678
50,9115221648754,18566582,9115203082172,26675
51,9115221648754,18599898,9115203082172,26675
52,9115221738755,18666576,9115203072179,16682
53,9115221738755,18699915,9115203072179,16682
54,9115221828755,18766836,9115203061919,6422
55,9115221828755,18799922,9115203061919,6422
56,9115221948755,18866572,9115203082183,26686
57,9115221948755,18899909,9115203082183,26686
58,9115222038755,18966573,9115203072182,16685
59,9115222038755,18999923,9115203072182,16685
60,9115222128755,19068991,9115203059764,4267
61,9115222128755,19099926,9115203059764,4267
