Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,1
51,2
52,3
53,4
54,5
55,6
56,7
57,8
58,9
59,10
60,11
61,12
62,13
63,14
64,15
65,16
66,17
67,18
68,19
69,20
70,21
71,22
72,23
73,24
74,25
75,26
76,27
77,28
78,29
79,30
80,31
81,32
82,33
83,34
84,35
85,36
86,37
87,38
88,39
89,40
90,41
91,42
92,43
93,44
94,45
95,46
96,47
97,48
98,49
99,50
100,51
101,52
102,53
103,54
104,55
105,56
106,57
107,58
108,59
109,60
110,61
111,62
112,63
113,64
114,65
115,66
116,67
117,68
118,69
119,70
120,71
121,72
122,73
123,74
124,75
125,76
126,77
127,78
128,79
129,80
130,81
131,82
132,83
133,84
134,85
135,86
136,87
137,88
138,89
139,90
140,91
141,92
142,93
143,91
144,92
145,93
146,94
147,95
148,96
149,97
150,95
151,96
152,97
153,98
154,99
155,97
156,98
157,99
158,100
159,101
160,99
161,100
162,101
163,102
164,103
165,104
166,102
167,103
168,104
169,105
170,106
171,104
172,105
173,106
174,107
175,108
176,106
177,107
178,108
179,109
180,110
181,111
182,109
183,110
184,111
185,112
186,113
187,111
188,112
189,113
190,114
191,115
192,113
193,114
194,115
195,116
196,117
197,118
198,119
199,117
200,118
201,119
202,120
203,121
204,119
205,120
206,121
207,122
208,120
209,121
210,122
211,123
212,124
213,125
214,126
215,124
216,125
217,126
218,127
219,128
220,126
221,127
222,128
223,129
224,127
225,128
226,129
227,130
228,131
229,132
230,133
231,131
232,132
233,133
234,134
235,135
236,133
237,134
238,135
239,136
240,137
241,135
242,136
243,137
244,138
245,139
246,140
247,138
248,139
249,140
250,141
251,142
252,140
253,141
254,142
255,143
256,144
257,142
258,143
259,144
260,145
261,146
262,147
263,148
264,146
265,147
266,148
267,149
268,147
269,148
270,149
271,150
272,151
273,149
274,150
275,151
276,152
277,153
278,154
279,155
280,153
281,154
282,155
283,156
284,157
285,155
286,156
287,157
288,158
289,156
290,157
291,158
292,159
293,160
294,161
295,162
296,160
297,161
298,162
299,163
300,164
301,162
302,163
303,164
304,165
305,166
306,164
307,165
308,166
309,167
310,168
311,169
312,166
313,166
314,166
315,167
316,167
317,168
318,168
319,168
320,169
321,170
322,170
323,171
324,171
325,172
326,172
327,172
328,173
329,173
330,173
331,174
332,174
333,175
334,175
335,175
336,176
337,177
338,178
339,178
340,178
341,179
342,179
343,179
344,180
345,180
346,181
347,181
348,181
349,182
350,182
351,183
352,183
353,184
354,185
355,185
356,186
357,186
358,186
359,187
360,187
361,187
362,188
363,188
364,189
365,189
366,189
367,190
368,190
369,191
370,192
371,192
372,193
373,193
374,193
375,194
376,194
377,195
378,195
379,195
380,196
381,196
382,196
383,197
384,197
385,198
386,199
387,199
388,200
389,200
390,201
391,201
392,201
393,202
394,202
395,203
396,203
397,203
398,204
399,204
400,204
401,205
402,206
403,207
404,207
405,207
406,208
407,208
408,209
409,209
410,209
411,210
412,210
413,210
414,211
415,211
416,212
417,212
418,213
419,214
420,214
421,214
422,215
423,215
424,216
425,216
426,216
427,217
428,217
429,217
430,218
431,218
432,219
433,219
434,220
435,221
436,221
437,222
438,222
439,222
440,223
441,223
442,223
443,224
444,224
445,225
446,225
447,226
448,226
449,226
450,227
451,228
452,228
453,229
454,229
455,230
456,230
457,230
458,231
459,231
460,231
461,232
462,232
463,233
464,233
465,233
466,234
467,235
468,235
469,236
470,236
471,237
472,237
473,237
474,238
475,238
476,238
477,239
478,239
479,240
480,240
481,240
482,241
483,242
484,243
485,243
486,243
487,244
488,244
489,245
490,245
491,245
492,246
493,246
494,246
495,247
496,247
497,248
498,248
499,249
500,250
501,250
502,251
503,251
504,251
505,252
506,252
507,252
508,253
509,253
510,254
511,254
512,254
513,255
514,255
515,256
516,257
517,257
518,258
519,258
520,258
521,259
522,259
523,260
524,260
525,260
526,261
527,261
528,262
529,262
