Time (s),Bitrate (Bps)
0,4441.47
1,4188.33
2,4220.75
3,4172.27
4,4128.93
5,4175.99
6,4167.19
7,4225.51
8,4179.41
9,4179.41
10,4241.87
11,4141.55
12,4170.91
13,4190.23
14,4165.63
15,4187.95
16,4183.67
17,4175.15
18,4229.44
19,4168.02
20,4152.59
21,4215.89
22,4178.98
23,4158.16
24,4186.28
25,4228.80
26,4163.45
27,4185.15
28,4160.90
29,4175.15
30,4133.40
31,4141.84
32,4179.41
33,4175.15
34,4234.52
35,4144.60
36,4215.89
37,4134.42
38,4142.71
39,4134.69
40,4187.95
41,4203.05
42,4216.90
43,4095.86
44,4134.42
45,4179.41
46,4170.91
47,4221.20
48,4194.27
49,4209.56
50,4170.56
51,4163.78
52,4179.04
53,4127.29
54,4148.26
55,4186.35
56,4185.71
57,4169.04
58,4196.95
59,4170.91
60,4175.15
61,4175.15
62,4191.87
63,4219.16
64,4216.77
65,4146.49
66,4204.06
67,4216.11
68,4139.51
69,4169.89
70,4227.08
71,4188.97
72,4187.95
73,4220.18
74,4173.96
75,4168.87
76,4175.15
77,4166.67
78,4137.61
79,4183.67
80,4181.45
81,4173.12
82,4204.06
83,4211.60
84,4134.42
85,4158.22
86,4227.08
87,4220.63
88,4157.30
89,4206.30
90,4212.61
91,4166.67
92,4166.84
93,4129.07
94,4154.55
95,4183.67
96,4146.49
97,4171.60
98,4253.31
99,4134.42
100,4215.89
101,4175.15
102,4176.72
103,4179.41
104,4183.67
105,4145.60
106,4199.80
107,4170.91
108,4170.91
109,4170.91
110,4148.80
111,4209.18
112,4139.51
113,4179.41
114,4218.72
115,4169.04
116,4207.32
117,4175.15
118,4181.06
119,4223.47
120,4172.94
121,4170.91
122,4163.45
123,4178.86
124,4193.29
125,4173.96
126,4136.46
127,4134.42
128,4187.95
129,4192.23
130,4204.06
131,4170.91
132,4186.99
133,4155.80
134,4180.02
135,4225.51
136,4206.54
137,4197.36
138,4212.61
139,4175.15
140,4170.23
141,4177.37
142,4126.02
143,4226.76
144,4175.03
145,4172.10
146,4234.52
147,4146.49
148,4201.22
149,4179.41
150,4170.91
151,4177.37
152,4141.69
153,4166.67
154,4231.94
155,4160.04
156,4188.39
157,4162.77
158,4196.88
159,4215.31
160,4183.67
161,4175.15
162,4195.54
163,4166.84
164,4138.49
165,4170.91
166,4222.68
167,4224.49
168,4184.69
169,4154.63
170,4215.67
171,4175.81
172,4137.20
173,4200.20
174,4133.40
175,4096.84
176,4198.16
177,4186.16
178,4198.78
179,4156.98
180,4173.12
181,4203.67
182,4149.85
183,4179.41
184,4175.15
185,4170.91
186,4200.00
187,4179.23
188,4175.15
189,4148.52
190,4206.25
191,4153.06
192,4168.02
193,4175.15
194,4253.31
195,4175.15
196,4168.38
197,4188.20
198,4204.99
199,4225.51
200,4192.23
201,4196.52
202,4160.77
203,4198.57
204,4175.15
205,4169.72
206,4142.56
207,4271.98
208,4142.86
209,4170.91
210,4204.06
211,4179.41
212,4211.60
213,4126.02
214,4133.40
215,4183.67
216,4211.60
217,4142.86
218,4253.31
219,4141.55
220,4172.10
221,4171.08
222,4180.87
223,4217.13
224,4175.15
225,4166.67
226,4249.24
227,4161.59
228,4180.06
229,4179.41
230,4172.38
231,4220.41
232,4184.51
233,4175.15
234,4216.90
235,4165.99
236,4171.57
237,4162.44
238,4181.06
239,4238.49
240,4200.82
241,4168.87
242,4213.63
243,4176.17
244,4138.63
245,4173.96
246,4177.94
247,4253.32
248,4168.54
249,4173.96
250,4212.18
251,4196.34
252,4141.40
253,4159.72
254,4198.96
255,4193.88
256,4193.68
257,4135.44
258,4252.29
259,4148.68
260,4187.18
261,4174.97
262,4191.67
263,4225.51
264,4173.65
265,4156.50
266,4188.45
267,4165.99
268,4170.91
269,4170.91
270,4222.68
271,4225.51
272,4175.15
273,4147.36
274,4240.57
275,4130.21
276,4215.89
277,4170.91
278,4130.84
279,4267.14
280,4150.56
281,4224.95
282,4163.45
283,4198.37
284,4188.39
285,4166.67
286,4139.44
287,4247.95
288,4219.39
289,4168.38
290,4204.06
291,4170.91
292,4179.41
293,4129.20
294,4231.49
295,4247.18
296,4173.12
297,4140.67
298,4212.61
299,4164.30
300,4172.10
301,4212.83
302,4143.75
303,4214.50
304,4197.96
305,4175.15
306,4167.68
307,4209.78
308,4144.75
309,4175.15
310,4185.42
311,4241.06
312,4196.14
313,4167.85
314,4211.38
315,4145.33
316,4177.19
317,4150.57
318,4196.52
319,4270.68
320,4136.46
321,4203.89
322,4201.83
323,4170.91
324,4168.02
325,4181.06
326,4237.46
327,4200.00
328,4134.28
329,4208.80
330,4223.01
331,4170.06
332,4161.91
333,4166.67
334,4227.08
335,4225.74
336,4190.18
337,4136.32
338,4200.81
339,4219.16
340,4134.42
341,4207.32
342,4181.06
343,4187.76
344,4225.74
345,4134.42
346,4250.25
347,4139.37
348,4160.57
349,4981.31
