Time (s),Bitrate (Bps)
0,167091.84
1,133835.76
2,136506.72
3,130093.56
4,101067.29
5,85859.21
6,97046.34
7,97698.23
8,97786.53
9,77671.50
10,37514.93
11,15892.00
12,10116.06
13,13564.77
14,14211.40
15,9197.30
16,13267.80
17,11146.27
18,13855.92
19,13786.31
20,13831.44
21,13720.77
22,14347.59
23,14221.99
24,13742.20
25,13527.53
26,13905.70
27,13962.49
28,13665.29
29,15853.41
30,13206.67
31,13108.00
32,13011.02
33,13503.12
34,13078.16
35,12806.22
36,12353.80
37,12565.35
38,13267.08
39,13016.11
40,42059.07
41,84871.64
42,171079.71
43,164625.65
44,81827.66
45,66892.34
46,43216.51
47,12728.41
48,13781.35
49,12047.67
50,6261.81
51,10415.80
52,10792.92
53,7565.50
54,14708.07
55,11928.65
56,12570.14
57,17446.52
58,14619.30
59,15277.61
60,12314.70
61,12851.70
62,16748.45
63,6449.53
64,6163.49
65,16636.93
66,9954.11
67,17015.03
68,18239.27
69,13174.41
70,13949.22
71,12578.13
72,15450.67
73,12200.83
74,13785.12
75,12087.90
76,31552.80
77,36179.94
78,20492.74
79,38943.01
80,49067.07
81,39254.92
82,30211.54
83,42489.63
84,43913.83
85,41325.51
86,31477.67
87,19198.34
88,42445.89
89,61508.04
90,53691.83
91,29579.74
92,26885.32
93,42282.16
94,38364.77
95,75518.56
96,39243.01
97,52376.51
98,66313.70
99,89608.43
100,60946.93
101,57714.29
102,14804.75
103,14909.66
104,13867.74
105,15566.81
106,16045.09
107,12600.00
108,13385.85
109,12991.73
110,12803.31
111,15404.40
112,18157.51
113,12844.72
114,16904.86
115,13078.59
116,13440.17
117,10505.53
118,9187.10
119,11316.95
120,18489.32
121,12248.25
122,10910.26
123,11373.97
124,14280.54
125,13063.08
126,12305.07
127,14283.80
128,13951.30
129,12886.89
130,12130.85
131,27532.16
132,80026.86
133,88348.86
134,75789.30
135,65962.58
136,114628.51
137,82258.58
138,48035.20
139,31751.50
140,42007.28
141,27017.13
142,39829.76
143,45436.46
144,81387.16
145,95582.26
146,101089.12
147,89198.20
148,66846.72
149,53559.36
150,33447.56
151,22172.20
152,40963.73
153,55022.77
154,65396.89
155,83506.51
156,64449.46
157,99640.71
158,64409.23
159,75665.59
160,31098.39
161,49880.95
162,79487.80
163,83356.11
164,35647.29
165,30578.16
166,45481.94
167,50571.88
168,53402.21
169,99898.45
170,119250.80
171,87797.21
172,63246.25
173,70173.06
174,103150.96
175,109536.79
176,111642.28
177,110743.54
178,111716.65
179,71467.43
180,145766.05
181,136548.09
182,79542.92
183,31060.10
184,20036.08
185,14635.23
186,17836.78
187,12745.34
188,13223.37
189,22169.77
190,10357.07
191,5434.78
192,14096.17
193,11913.99
194,13334.02
195,13382.93
196,11547.15
197,13270.19
198,7695.19
199,15898.80
200,12592.55
201,10330.13
202,21287.94
203,17208.42
204,16693.58
205,13295.82
206,14343.36
207,13529.29
208,10232.20
209,13259.94
210,13774.09
211,13429.29
212,14351.97
213,10658.03
214,10471.47
215,18813.25
216,20935.95
217,36685.30
218,28137.19
219,79000.00
220,100804.22
221,78442.03
222,47736.62
223,77440.76
224,23590.91
225,30535.75
226,87583.16
227,61815.45
228,33415.72
229,43661.14
230,41556.62
231,31796.78
232,29434.69
233,39310.93
234,44309.92
235,81442.03
236,110185.03
237,129799.17
238,142085.83
239,98616.42
240,110034.27
241,141551.76
242,102463.77
243,78600.20
244,44917.18
245,85570.20
246,128650.41
247,92760.80
248,62350.93
249,43498.45
250,60069.36
251,78595.63
252,85569.80
253,61200.83
254,92312.63
255,57401.86
256,66966.87
257,63741.47
258,44663.21
259,53529.47
260,71778.47
261,41972.11
262,50009.31
263,39622.86
264,140483.37
265,136547.55
266,137115.82
267,93121.12
268,72465.84
269,61221.53
270,84483.94
271,88757.03
272,96150.26
273,85699.04
274,78593.56
275,53362.98
276,52676.68
277,64416.75
278,46021.34
279,24392.71
280,25594.62
281,31976.26
282,38066.12
283,32997.93
284,21306.65
285,39716.27
286,82298.65
287,163525.00
288,127448.35
289,80123.70
290,50926.65
291,123702.51
292,97155.01
293,5480.41
294,88914.67
295,64623.25
296,83306.02
297,103012.89
298,88483.48
299,44096.27
300,63105.70
301,128870.73
302,69047.16
303,44440.99
304,84946.95
305,90991.70
306,136534.57
307,155237.01
308,113290.02
309,118281.12
310,107238.48
311,112217.84
312,138747.41
313,85284.97
314,186156.09
315,160045.26
316,49177.39
317,117141.48
318,96048.10
319,87372.67
320,111324.41
321,219994.96
322,117071.35
323,99979.25
324,81699.14
325,109236.47
326,97246.38
327,74716.36
328,74829.95
329,72196.18
330,101900.11
331,45139.28
332,18071.28
333,47950.46
334,45811.59
335,37197.72
336,111465.36
337,188365.42
338,186525.19
339,191306.92
340,168901.66
341,137791.93
342,156309.20
343,169658.03
344,183709.98
345,125318.51
346,139865.56
347,71361.28
348,80833.87
349,284656.86
