Chunk Index,Relative Timestamp Difference (μs)
0,346680
1,316680
2,286680
3,256680
4,226680
5,196680
6,166680
7,136680
8,106681
9,76680
10,46680
11,16680
12,24
13,2370
14,3326
15,21
16,3330
17,3325
18,3338
19,3337
20,3818
21,4145
22,3288
23,3319
24,3320
25,3299
26,3293
27,3290
28,3297
29,3033
30,3279
31,947
32,3282
33,3284
34,3295
35,3284
36,7050
37,3256
38,3267
39,10266
40,3247
41,3267
42,3246
43,3263
44,3261
45,1740
46,1357
47,3227
48,3235
49,3236
50,3227
51,3217
52,5356
53,3209
54,3189
55,3203
56,3209
57,3191
58,3206
59,3202
60,3191
61,2160
62,393
63,3173
64,3205
65,3198
66,3185
67,3153
68,4531
69,4440
70,3963
71,3147
72,3166
73,3144
74,3152
75,3151
76,3167
77,766
78,1763
79,3153
80,3138
81,3125
82,3134
83,3114
84,4099
85,3951
86,3113
87,3100
88,3096
89,3110
90,3108
91,3101
92,3107
93,2826
94,3085
95,3098
96,3094
97,3095
98,3095
99,3028
100,4051
101,3016
102,3025
103,3013
104,3027
105,3021
106,3041
107,3031
108,3026
109,1316
110,1690
111,879
112,3047
113,3046
114,3027
115,3023
116,3645
117,3016
118,3008
119,3026
120,3021
121,3014
122,3022
123,3023
124,3020
125,191
126,561
127,2992
128,2973
129,2989
130,2994
131,2980
132,3212
133,4143
134,2956
135,2945
136,2954
137,2963
138,2973
139,2957
140,2956
141,819
142,2950
143,882
144,2946
145,2931
146,2931
147,2939
148,3965
149,4532
150,3059
151,2910
152,2910
153,2922
154,2918
155,2907
156,2893
157,913
158,2904
159,2914
160,2897
161,2893
162,2876
163,2886
164,3916
165,2874
166,2866
167,2870
168,2866
169,2867
170,2873
171,2848
172,2878
173,2859
174,2879
175,2836
176,2839
177,2849
178,2835
179,2858
180,3225
181,2920
182,2829
183,2815
184,2828
185,2844
186,2812
187,2815
188,2820
189,2809
190,1825
191,2799
192,2807
193,2791
194,2797
195,2801
196,3450
197,3586
198,2741
199,2775
200,2794
201,2776
202,2767
203,2752
204,2773
205,2760
206,1402
207,2754
208,2747
209,2756
210,2760
211,2738
212,2879
213,2685
214,4151
215,2716
216,2726
217,2715
218,2717
219,2725
220,2733
221,2712
222,478
223,2696
224,2709
225,2707
226,2689
227,2694
228,2715
229,4111
230,2686
231,2681
232,2682
233,2683
234,2665
235,2682
236,2673
237,2681
238,2663
239,2654
240,2648
241,2667
242,2662
243,2652
244,3307
245,3613
246,2905
247,2629
248,2621
249,2624
250,2631
251,2622
252,2626
253,2615
254,221
255,2604
256,2610
257,2606
258,155
259,2611
260,2823
261,2856
262,2580
263,2585
264,2589
265,2573
266,2593
267,2582
268,2568
269,2566
270,2575
271,2576
272,2558
273,2557
274,2537
275,2556
276,2650
277,2547
278,2534
279,2533
280,2532
281,2528
282,2527
283,2541
284,2506
285,2517
286,1287
287,2510
288,2507
289,2505
290,2504
291,2511
292,2727
293,4232
294,3648
295,2479
296,2472
297,2485
298,2485
299,2491
300,2489
301,2456
302,2471
303,2471
304,2455
305,2459
306,2464
307,2449
308,2690
309,2884
310,2446
311,2424
312,2421
313,2431
314,2431
315,2429
316,2422
317,2440
318,2437
319,2432
320,4276
321,2419
322,2404
323,2421
324,2693
325,2885
326,2376
327,2380
328,2379
329,2370
330,2390
331,2390
332,2377
333,2376
334,2374
335,2365
336,2347
337,2370
338,2377
339,2352
340,2357
341,3635
342,2336
343,2344
344,2336
345,2321
346,2338
347,2350
348,2326
349,2337
350,801
351,2329
352,2318
353,2335
354,2308
355,2314
356,2308
357,2881
358,2286
359,2281
360,2289
361,2369
362,2293
363,2272
364,2283
365,2280
366,446
367,2256
368,2274
369,2275
370,2271
371,2266
372,2251
373,3099
374,2548
375,2232
376,2241
377,2243
378,2253
379,2246
380,2237
381,2233
382,1191
383,2225
384,2228
385,2243
386,2207
387,2238
388,2212
389,3930
390,2197
391,2193
392,2198
393,2197
394,2196
395,2201
396,2193
397,2187
398,2197
399,3477
400,2170
401,2171
402,2158
403,2178
404,2164
405,2260
406,3981
407,2139
408,2133
409,2158
410,2142
411,2130
412,2142
413,2143
414,2128
415,2137
416,2130
417,2127
418,2125
419,2126
420,2125
421,2736
422,2094
423,2091
424,2106
425,2099
426,2091
427,2096
428,2093
429,2120
430,2078
431,2095
432,2041
433,2044
434,2052
435,2042
436,2037
437,2852
438,2369
439,2029
440,2031
441,2020
442,2048
443,2039
444,2038
445,2039
446,935
447,28685
448,2041
449,2036
450,2039
451,2052
452,2032
453,2035
454,2816
455,2330
456,1994
457,1997
458,1989
459,1990
460,2011
461,2007
462,2021
463,1995
464,1989
465,1978
466,1993
467,1964
468,1974
469,1977
470,3047
471,1964
472,1948
473,1969
474,1953
475,1953
476,1968
477,1964
478,1948
479,58
480,1939
481,1934
482,1932
483,1921
484,1929
485,1927
486,2685
487,2557
488,1896
489,1912
490,1884
491,1900
492,1907
493,1907
494,1890
495,1892
496,51
497,1902
498,1896
499,1875
500,1890
501,1870
502,4355
503,1870
504,2560
505,1849
506,1852
507,1849
508,1849
509,1851
510,1875
511,2376
512,1861
513,1835
