Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,2
14,3
15,4
16,5
17,6
18,7
19,8
20,9
21,10
22,11
23,12
24,13
25,14
26,15
27,16
28,17
29,18
30,19
31,20
32,21
33,22
34,23
35,24
36,25
37,26
38,27
39,28
40,29
41,30
42,31
43,32
44,33
45,34
46,35
47,36
48,37
49,38
50,39
51,40
52,41
53,42
54,43
55,44
56,45
57,46
58,47
59,48
60,49
61,50
62,51
63,52
64,53
65,54
66,55
67,56
68,57
69,58
70,59
71,60
72,61
73,62
74,63
75,64
76,64
77,64
78,65
79,65
80,66
81,66
82,67
83,68
84,68
85,69
86,69
87,69
88,70
89,70
90,71
91,71
92,71
93,72
94,72
95,72
96,73
97,73
98,74
99,75
100,75
101,76
102,76
103,77
104,77
105,77
106,78
107,78
108,78
109,79
110,79
111,80
112,80
113,80
114,81
115,81
116,82
117,83
118,83
119,84
120,84
121,85
122,85
123,85
124,85
125,86
126,86
127,87
128,87
129,88
130,88
131,89
132,90
133,90
134,90
135,91
136,91
137,92
138,92
139,92
140,93
141,93
142,93
143,94
144,94
145,95
146,95
147,95
148,96
149,97
150,98
151,98
152,98
153,99
154,99
155,99
156,100
157,100
158,101
159,101
160,101
161,102
162,102
163,103
164,103
165,104
166,105
167,105
168,105
169,106
170,106
171,107
172,107
173,108
174,108
175,108
176,108
177,109
178,109
179,110
180,110
181,111
182,112
183,112
184,112
185,113
186,113
187,114
188,114
189,115
190,115
191,115
192,116
193,116
194,117
195,117
196,117
197,118
198,119
199,119
200,120
201,120
202,121
203,121
204,121
205,122
206,122
207,122
208,123
209,123
210,124
211,124
212,124
213,125
214,126
215,126
216,127
217,127
218,128
219,128
220,128
221,129
222,129
223,129
224,130
225,130
226,131
227,131
228,131
229,132
230,133
231,134
232,134
233,135
234,135
235,135
236,136
237,136
238,136
239,137
240,137
241,138
242,138
243,138
244,139
245,139
246,140
247,141
248,141
249,142
250,142
251,142
252,143
253,143
254,143
255,144
256,144
257,145
258,145
259,145
260,146
261,146
262,147
263,148
264,148
265,149
266,149
267,149
268,150
269,150
270,151
271,151
272,151
273,152
274,152
275,152
276,153
277,153
278,154
279,155
280,155
281,156
282,156
283,156
284,157
285,157
286,158
287,158
288,159
289,159
290,159
291,160
292,160
293,161
294,161
295,162
296,163
297,163
298,163
299,164
300,164
301,165
302,165
303,165
304,166
305,166
306,166
307,167
308,167
309,168
310,168
311,169
312,170
313,170
314,170
315,171
316,171
317,172
318,172
319,172
320,173
321,173
322,174
323,174
324,174
325,175
326,175
327,176
328,177
329,177
330,178
331,178
332,179
333,179
334,179
335,179
336,180
337,180
338,181
339,181
340,181
341,182
342,182
343,183
344,184
345,184
346,185
347,185
348,186
349,186
350,186
351,187
352,187
353,188
354,188
355,188
356,189
357,189
358,190
359,191
360,191
361,192
362,192
363,192
364,193
365,193
366,193
367,194
368,194
369,195
370,195
371,195
372,196
373,196
374,196
375,197
376,198
377,199
378,199
379,199
380,200
381,200
382,201
383,201
384,201
385,202
386,202
387,202
388,203
389,203
390,204
391,205
392,205
393,206
394,206
395,207
396,207
397,207
398,208
399,208
400,209
401,209
402,209
403,210
404,210
405,210
406,211
407,211
408,212
409,213
410,213
411,214
412,214
413,214
414,215
415,215
416,216
417,216
418,216
419,217
420,217
421,218
422,218
423,218
424,219
425,220
426,220
427,221
428,221
429,222
430,222
431,222
432,223
433,223
434,223
435,224
436,224
437,225
438,225
439,226
440,226
441,227
442,228
443,228
444,228
445,229
446,229
447,230
448,230
449,230
450,231
451,231
452,232
453,232
454,232
455,233
456,233
457,234
458,235
459,235
460,236
461,236
462,236
463,237
464,237
465,238
466,238
467,238
468,239
469,239
470,239
471,240
472,240
473,241
474,242
475,242
476,243
477,243
478,243
479,244
480,244
481,245
482,245
483,245
484,246
485,246
486,246
487,247
488,247
489,248
490,249
491,250
492,250
493,250
494,251
495,251
496,251
497,252
498,252
499,253
500,253
501,253
502,254
503,254
504,254
505,255
506,256
507,257
508,257
509,257
510,258
511,258
512,259
513,259
514,259
515,260
516,260
517,260
518,261
519,261
520,262
521,262
522,263
523,264
524,264
525,264
526,265
527,265
528,266
529,266
