Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9122093470714,0,1,66
1,9122093480714,10000,1,76
2,9122093490714,10000,1,63
3,9122093500714,10000,1,63
4,9122093510714,10000,1,63
5,9122093520714,10000,1,62
6,9122093530714,10000,1,62
7,9122093540714,10000,1,63
8,9122093550714,10000,1,65
9,9122093560714,10000,1,63
10,9122093570714,10000,1,63
11,9122093580714,10000,1,63
12,9122093590714,10000,1,63
13,9122093600714,10000,1,63
14,9122093610714,10000,1,63
15,9122093620714,10000,1,63
16,9122093630714,10000,1,63
17,9122093640714,10000,1,63
18,9122093650714,10000,1,63
19,9122093660714,10000,1,63
20,9122093670714,10000,1,63
21,9122093680714,10000,1,63
22,9122093690714,10000,1,63
23,9122093700714,10000,1,63
24,9122093710714,10000,1,63
25,9122093720714,10000,1,63
26,9122093730714,10000,1,63
27,9122093740714,10000,1,63
28,9122093750714,10000,1,63
29,9122093760714,10000,1,63
30,9122093770714,10000,1,63
31,9122093780714,10000,1,63
32,9122093790714,10000,1,63
33,9122093800714,10000,1,63
34,9122093810714,10000,1,63
35,9122093820714,10000,1,63
36,9122093830714,10000,1,63
37,9122093840714,10000,1,63
38,9122093850714,10000,1,63
39,9122093860714,10000,1,63
40,9122093870714,10000,1,63
41,9122093880714,10000,1,63
42,9122093890714,10000,1,63
43,9122093900714,10000,1,63
44,9122093910714,10000,1,63
45,9122093920714,10000,1,63
46,9122093930714,10000,1,63
47,9122093940714,10000,1,63
48,9122093950714,10000,1,62
49,9122093960714,10000,1,64
50,9122093970714,10000,1,63
51,9122093980714,10000,1,63
52,9122093990714,10000,1,63
53,9122094000714,10000,1,63
54,9122094010714,10000,1,63
55,9122094020714,10000,1,63
56,9122094030714,10000,1,63
57,9122094040714,10000,1,63
58,9122094050714,10000,1,63
59,9122094060714,10000,1,63
60,9122094070714,10000,1,63
61,9122094080714,10000,1,63
62,9122094090714,10000,1,63
63,9122094100714,10000,1,63
64,9122094110714,10000,1,63
65,9122094120714,10000,1,63
66,9122094130714,10000,1,63
67,9122094140714,10000,1,63
68,9122094150714,10000,1,62
69,9122094160714,10000,1,64
70,9122094170714,10000,1,63
71,9122094180714,10000,1,61
72,9122094190714,10000,1,63
73,9122094200714,10000,1,63
74,9122094210714,10000,1,61
75,9122094220714,10000,1,62
76,9122094230714,10000,1,63
77,9122094240714,10000,1,61
78,9122094250714,10000,1,61
79,9122094260714,10000,1,62
80,9122094270714,10000,1,59
81,9122094280714,10000,1,61
82,9122094290714,10000,1,60
83,9122094300714,10000,1,60
84,9122094310714,10000,1,59
85,9122094320714,10000,1,61
86,9122094330714,10000,1,60
87,9122094340714,10000,1,59
88,9122094350714,10000,1,60
89,9122094360714,10000,1,62
90,9122094370714,10000,1,62
91,9122094380714,10000,1,63
92,9122094390714,10000,1,63
93,9122094400714,10000,1,63
94,9122094410714,10000,1,63
95,9122094420714,10000,1,63
96,9122094430714,10000,1,63
97,9122094440714,10000,1,63
98,9122094450714,10000,1,63
99,9122094460714,10000,1,63
100,9122094470714,10000,1,63
101,9122094480714,10000,1,63
102,9122094490714,10000,1,63
103,9122094500714,10000,1,63
104,9122094510714,10000,1,63
105,9122094520714,10000,1,64
106,9122094530714,10000,1,63
107,9122094540714,10000,1,79
108,9122094550714,10000,1,62
109,9122094560714,10000,1,64
110,9122094570714,10000,1,65
111,9122094580714,10000,1,63
112,9122094590714,10000,1,65
113,9122094600714,10000,1,64
114,9122094610714,10000,1,67
115,9122094620714,10000,1,67
116,9122094630714,10000,1,65
117,9122094640714,10000,1,64
118,9122094650714,10000,1,70
119,9122094660714,10000,1,63
120,9122094670714,10000,1,63
121,9122094680714,10000,1,63
122,9122094690714,10000,1,63
123,9122094700714,10000,1,63
124,9122094710714,10000,1,62
125,9122094720714,10000,1,64
126,9122094730714,10000,1,61
127,9122094740714,10000,1,60
128,9122094750714,10000,1,61
129,9122094760714,10000,1,64
130,9122094770714,10000,1,63
131,9122094780714,10000,1,61
132,9122094790714,10000,1,62
133,9122094800714,10000,1,61
134,9122094810714,10000,1,63
135,9122094820714,10000,1,65
136,9122094830714,10000,1,65
137,9122094840714,10000,1,70
138,9122094850714,10000,1,63
139,9122094860714,10000,1,63
140,9122094870714,10000,1,63
141,9122094880714,10000,1,63
142,9122094890714,10000,1,63
143,9122094900714,10000,1,63
144,9122094910714,10000,1,63
145,9122094920714,10000,1,63
146,9122094930714,10000,1,63
147,9122094940714,10000,1,63
148,9122094950714,10000,1,63
149,9122094960714,10000,1,63
150,9122094970714,10000,1,63
151,9122094980714,10000,1,63
152,9122094990714,10000,1,63
153,9122095000714,10000,1,63
154,9122095010714,10000,1,63
155,9122095020714,10000,1,63
156,9122095030714,10000,1,63
157,9122095040714,10000,1,63
158,9122095050714,10000,1,63
159,9122095060714,10000,1,63
160,9122095070714,10000,1,63
161,9122095080714,10000,1,63
162,9122095090714,10000,1,63
163,9122095100714,10000,1,63
164,9122095110714,10000,1,63
165,9122095120714,10000,1,63
166,9122095130714,10000,1,63
167,9122095140714,10000,1,63
168,9122095150714,10000,1,63
169,9122095160714,10000,1,63
170,9122095170714,10000,1,63
171,9122095180714,10000,1,63
172,9122095190714,10000,1,63
173,9122095200714,10000,1,63
174,9122095210714,10000,1,63
175,9122095220714,10000,1,63
176,9122095230714,10000,1,63
177,9122095240714,10000,1,63
178,9122095250714,10000,1,63
179,9122095260714,10000,1,63
180,9122095270714,10000,1,63
181,9122095280714,10000,1,63
182,9122095290714,10000,1,63
183,9122095300714,10000,1,63
184,9122095310714,10000,1,63
185,9122095320714,10000,1,63
186,9122095330714,10000,1,63
187,9122095340714,10000,1,63
188,9122095350714,10000,1,63
189,9122095360714,10000,1,63
190,9122095370714,10000,1,63
191,9122095380714,10000,1,63
192,9122095390714,10000,1,63
193,9122095400714,10000,1,63
194,9122095410714,10000,1,63
195,9122095420714,10000,1,63
196,9122095430714,10000,1,63
197,9122095440714,10000,1,63
198,9122095450714,10000,1,63
199,9122095460714,10000,1,63
200,9122095470714,10000,1,63
201,9122095480714,10000,1,63
202,9122095490714,10000,1,63
203,9122095500714,10000,1,63
204,9122095510714,10000,1,63
205,9122095520714,10000,1,63
206,9122095530714,10000,1,63
207,9122095540714,10000,1,63
208,9122095550714,10000,1,63
209,9122095560714,10000,1,63
210,9122095570714,10000,1,63
211,9122095580714,10000,1,63
212,9122095590714,10000,1,63
213,9122095600714,10000,1,63
214,9122095610714,10000,1,63
215,9122095620714,10000,1,63
216,9122095630714,10000,1,63
217,9122095640714,10000,1,63
218,9122095650714,10000,1,63
219,9122095660714,10000,1,63
220,9122095670714,10000,1,62
221,9122095680714,10000,1,62
222,9122095690714,10000,1,63
223,9122095700714,10000,1,64
224,9122095710714,10000,1,63
225,9122095720714,10000,1,64
226,9122095730714,10000,1,62
227,9122095740714,10000,1,64
228,9122095750714,10000,1,63
229,9122095760714,10000,1,63
230,9122095770714,10000,1,63
231,9122095780714,10000,1,63
232,9122095790714,10000,1,63
233,9122095800714,10000,1,63
234,9122095810714,10000,1,63
235,9122095820714,10000,1,63
236,9122095830714,10000,1,63
237,9122095840714,10000,1,63
238,9122095850714,10000,1,63
239,9122095860714,10000,1,63
240,9122095870714,10000,1,63
241,9122095880714,10000,1,62
242,9122095890714,10000,1,61
243,9122095900714,10000,1,62
244,9122095910714,10000,1,61
245,9122095920714,10000,1,63
246,9122095930714,10000,1,61
247,9122095940714,10000,1,61
248,9122095950714,10000,1,63
249,9122095960714,10000,1,63
250,9122095970714,10000,1,65
251,9122095980714,10000,1,67
252,9122095990714,10000,1,65
253,9122096000714,10000,1,65
254,9122096010714,10000,1,63
255,9122096020714,10000,1,63
256,9122096030714,10000,1,63
257,9122096040714,10000,1,63
258,9122096050714,10000,1,63
259,9122096060714,10000,1,63
260,9122096070714,10000,1,63
261,9122096080714,10000,1,63
262,9122096090714,10000,1,63
263,9122096100714,10000,1,63
264,9122096110714,10000,1,63
265,9122096120714,10000,1,63
266,9122096130714,10000,1,63
267,9122096140714,10000,1,63
268,9122096150714,10000,1,63
269,9122096160714,10000,1,63
270,9122096170714,10000,1,63
271,9122096180714,10000,1,63
272,9122096190714,10000,1,63
273,9122096200714,10000,1,63
274,9122096210714,10000,1,63
275,9122096220714,10000,1,63
276,9122096230714,10000,1,63
277,9122096240714,10000,1,63
278,9122096250714,10000,1,63
279,9122096260714,10000,1,63
280,9122096270714,10000,1,63
281,9122096280714,10000,1,63
282,9122096290714,10000,1,63
283,9122096300714,10000,1,63
284,9122096310714,10000,1,63
285,9122096320714,10000,1,63
286,9122096330714,10000,1,63
287,9122096340714,10000,1,63
