Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,11699971,0,0,4288
1,11733324,33353,0,3630
2,11766629,33305,0,4291
3,11799971,33342,0,4222
4,11833350,33379,0,4109
5,11866656,33306,0,4336
6,11900008,33352,0,3613
7,11933322,33314,0,4002
8,11966963,33641,0,4243
9,12000006,33043,0,4071
10,12033303,33297,0,3756
11,12066651,33348,1,3882
12,12099992,33341,0,6672
13,12133301,33309,0,4610
14,12166637,33336,0,4727
15,12199995,33358,0,4825
16,12233312,33317,0,4543
17,12266623,33311,0,4833
18,12299961,33338,0,4699
19,12333304,33343,0,4588
20,12366642,33338,0,4331
21,12399989,33347,0,4226
22,12433318,33329,0,3397
23,12466631,33313,0,4383
24,12502341,35710,0,4314
25,12533324,30983,0,4162
26,12566853,33529,0,3806
27,12599996,33143,0,4157
28,12633304,33308,0,4303
29,12666725,33421,0,3546
30,12699972,33247,0,4161
31,12733295,33323,0,4452
32,12766625,33330,0,4381
33,12799942,33317,0,4042
34,12833297,33355,0,3898
35,12867542,34245,0,4275
36,12899996,32454,0,4137
37,12933305,33309,0,3768
38,12966643,33338,0,4320
39,12999971,33328,0,4248
40,13034616,34645,0,4328
41,13066628,32012,1,4130
42,13099992,33364,0,6965
43,13133316,33324,0,4548
44,13166635,33319,0,4425
45,13199992,33357,0,4617
46,13233306,33314,0,4911
47,13266615,33309,0,4438
48,13299953,33338,0,4406
49,13334616,34663,0,4421
50,13366649,32033,0,4527
51,13399963,33314,0,4545
52,13433301,33338,0,4816
53,13466637,33336,0,4369
54,13499988,33351,0,3826
55,13533301,33313,0,4302
56,13568869,35568,0,4504
57,13599971,31102,0,4448
58,13633303,33332,0,4482
59,13666640,33337,0,4450
60,13699968,33328,0,4053
61,13733296,33328,0,3808
62,13766627,33331,0,4066
63,13799966,33339,0,4391
64,13833320,33354,0,4518
65,13868858,35538,0,4420
66,13899994,31136,0,4477
67,13933276,33282,0,4686
68,13966604,33328,0,4098
69,13999959,33355,0,4027
70,14033309,33350,0,3795
71,14066595,33286,1,4503
72,14100487,33892,0,7140
73,14133288,32801,0,4404
74,14166623,33335,0,4312
75,14199963,33340,0,4466
76,14233307,33344,0,4218
77,14266638,33331,0,4223
78,14299966,33328,0,4183
79,14333308,33342,0,4123
80,14366624,33316,0,4205
81,14400193,33569,0,4166
82,14433296,33103,0,4012
83,14466620,33324,0,4212
84,14499963,33343,0,3993
85,14533301,33338,0,3914
86,14566634,33333,0,3844
87,14599954,33320,0,3703
88,14633789,33835,0,3500
89,14666618,32829,0,3558
90,14700296,33678,0,3696
91,14733289,32993,0,3845
92,14766614,33325,0,3638
93,14799951,33337,0,3691
94,14833283,33332,0,3614
95,14866595,33312,0,3600
96,14899956,33361,0,3590
97,14934116,34160,0,3540
98,14966622,32506,0,3288
99,14999949,33327,0,3508
100,15033284,33335,0,3358
101,15066607,33323,1,4604
102,15099942,33335,0,6921
103,15133276,33334,0,3318
104,15167193,33917,0,3254
105,15199942,32749,0,3372
106,15233259,33317,0,3173
107,15266616,33357,0,3351
108,15299954,33338,0,3040
109,15333299,33345,0,3283
110,15366617,33318,0,3043
111,15399965,33348,0,3062
112,15433293,33328,0,3048
113,15467805,34512,0,2963
114,15499953,32148,0,2902
115,15533290,33337,0,3144
116,15566617,33327,0,2692
117,15599935,33318,0,2826
118,15633281,33346,0,2725
119,15666617,33336,0,2624
120,15701992,35375,0,2660
121,15733293,31301,0,2489
122,15766619,33326,0,2441
123,15799954,33335,0,2618
124,15833290,33336,0,2179
125,15866600,33310,0,2242
126,15899935,33335,0,2220
127,15933256,33321,0,2134
128,15966597,33341,0,2047
129,16001420,34823,0,1867
130,16033289,31869,0,2008
131,16068137,34848,1,4664
132,16099935,31798,0,6691
133,16133270,33335,0,1807
134,16166567,33297,0,1336
135,16199939,33372,0,1088
136,16234953,35014,0,1302
137,16266624,31671,0,1146
