Time (s),Bitrate (Bps)
0,4338.87
1,4206.93
2,4159.02
3,4196.52
4,4170.91
5,3266.60
6,4112.46
7,4192.27
8,4162.24
9,4170.91
10,4189.33
11,4196.52
12,4149.39
13,4208.51
14,4165.48
15,4167.85
16,4211.81
17,4186.35
18,4181.08
19,4221.08
20,4140.67
21,4217.98
22,4148.52
23,4216.11
24,4130.21
25,4247.45
26,4161.55
27,4183.67
28,4129.20
29,4207.04
30,4165.82
31,4180.43
32,4206.30
33,4176.17
34,4189.60
35,4205.31
36,4143.44
37,4193.18
38,4166.67
39,4220.18
40,4133.27
41,4245.93
42,4138.63
43,4233.13
44,4134.42
45,4179.41
46,4134.42
47,4214.87
48,4179.41
49,4176.17
50,4233.13
51,4134.42
52,4166.67
53,4179.41
54,4169.89
55,4130.21
56,4185.71
57,4206.30
58,4179.41
59,4175.15
60,4170.91
61,4179.41
62,4176.35
63,4132.25
64,4183.49
65,4218.50
66,4182.19
67,4183.67
68,4215.89
69,4180.43
70,4176.72
71,4201.63
72,4165.99
73,4195.32
74,4187.95
75,4175.15
76,4175.15
77,4179.41
78,4182.65
79,4138.63
80,4179.41
81,4257.64
82,4172.66
83,4192.23
84,4185.98
85,4169.39
86,4142.57
87,4179.41
88,4189.41
89,4220.53
90,4209.45
91,4175.15
92,4175.15
93,4188.85
94,4126.90
95,4167.85
96,4181.63
97,4248.98
98,4192.46
99,4187.95
100,4175.15
101,4214.95
102,4162.44
103,4169.22
104,4192.86
105,4213.63
106,4170.91
107,4171.60
108,4155.49
109,4230.77
110,4180.24
111,4145.62
112,4154.00
113,4212.61
114,4215.89
115,4175.15
116,4170.91
117,4205.18
118,4180.43
119,4170.91
120,4144.75
121,4210.79
122,4228.80
123,4175.15
124,4175.15
125,4180.43
126,4120.81
127,4179.41
128,4186.35
129,4206.72
130,4165.65
131,4203.67
132,4146.64
133,4179.41
134,4147.66
135,4197.36
136,4174.13
137,4209.35
138,4180.80
139,4162.41
140,4191.25
141,4177.20
142,4215.89
143,4162.60
144,4134.28
145,4221.20
146,4224.49
147,4179.41
148,4157.68
149,4192.95
150,4173.47
151,4179.41
152,4220.18
153,4184.69
154,4207.32
155,4171.60
156,4150.71
157,4260.91
158,4179.41
159,4170.91
160,4175.15
161,4199.18
162,4164.97
163,4187.95
164,4207.32
165,4223.73
166,4165.14
167,4152.91
168,4186.35
169,4246.44
170,4134.42
171,4207.53
172,4179.23
173,4164.77
174,4166.67
175,4220.18
176,4146.64
177,4208.97
178,4196.52
179,4191.64
180,4195.12
181,4214.95
182,4179.41
183,4166.67
184,4133.06
185,4221.20
186,4187.95
187,4141.55
188,4169.72
189,4200.21
190,4183.67
191,4174.97
192,4216.11
193,4221.20
194,4159.18
195,4199.59
196,4175.15
197,4228.13
198,4179.41
199,4179.41
200,4148.68
201,4234.76
202,4171.08
203,4170.73
204,4130.21
205,4265.35
206,4142.86
207,4170.91
208,4179.41
209,4225.28
210,4203.67
211,4151.42
212,4153.61
213,4219.33
214,4215.89
215,4150.56
216,4182.74
217,4195.72
218,4181.26
219,4149.54
220,4166.67
221,4240.82
222,4131.23
223,4164.12
224,4215.89
225,4221.20
226,4192.23
227,4170.91
228,4170.91
229,4221.20
230,4137.61
231,4175.15
232,4187.95
233,4216.90
234,4174.13
235,4176.17
236,4160.90
237,4189.41
238,4133.40
239,4161.91
240,4196.94
241,4227.78
242,4144.90
243,4175.15
244,4166.67
245,4220.18
246,4101.02
247,4178.21
248,4183.67
249,4251.78
250,4175.87
251,4153.61
252,4215.89
253,4198.57
254,4160.04
255,4154.79
256,4200.00
257,4185.34
258,4219.39
259,4145.77
260,4213.05
261,4175.33
262,4100.92
263,4197.36
264,4158.86
265,4202.44
266,4198.57
267,4180.06
268,4200.41
269,4200.21
270,4189.60
271,4175.15
272,4174.13
273,4177.19
274,4170.91
275,4196.54
276,4149.54
277,4257.64
278,4102.96
279,4206.72
280,4139.51
281,4268.17
282,4179.23
283,4177.19
284,4141.55
285,4212.83
286,4222.68
287,4130.21
288,4175.15
289,4225.51
290,4183.67
291,4193.48
292,4206.12
293,4223.73
294,4174.31
295,4139.51
296,4209.78
297,4231.63
298,4168.20
299,4177.85
300,4138.63
301,4248.73
302,4151.89
303,4175.15
304,4095.77
305,4256.38
306,4158.32
307,4179.41
308,4170.91
309,4213.05
310,4136.60
311,4184.51
312,4173.96
313,4180.43
314,4195.92
315,4158.70
316,4175.15
317,4261.46
318,4150.87
319,4175.33
320,4182.28
321,4227.32
322,4168.02
323,4175.81
324,4193.29
325,4189.41
326,4126.40
327,4184.32
328,4165.99
329,4230.61
330,4161.59
331,4170.91
332,4224.49
333,4210.58
334,4128.93
335,4168.02
336,4179.41
337,4253.31
338,4134.42
339,4207.32
340,4167.85
341,4147.81
342,4172.27
343,4141.55
344,4217.35
345,4180.43
346,4200.64
