Time (s),Bitrate (Bps)
0,195380.43
1,125905.41
2,95413.04
3,88891.89
4,97176.29
5,69269.99
6,15718.56
7,13737.06
8,11279.92
9,15200.41
10,9381.84
11,15553.72
12,12399.38
13,8270.19
14,18132.99
15,11591.33
16,11805.18
17,13778.82
18,13480.37
19,13854.34
20,14195.45
21,13391.35
22,14446.17
23,13893.49
24,13337.82
25,13972.97
26,16827.62
27,12737.06
28,12939.36
29,69886.36
30,86664.59
31,78243.78
32,69277.72
33,63827.30
34,52232.75
35,61541.88
36,89421.65
37,88197.11
38,73385.57
39,97348.86
40,179583.08
41,152534.09
42,72344.36
43,67927.46
44,68295.76
45,73220.04
46,105542.36
47,81639.29
48,20834.71
49,41216.58
50,41357.96
51,25907.96
52,57129.99
53,47877.72
54,59339.18
55,56292.96
56,76547.05
57,97913.99
58,107473.20
59,87649.74
60,144054.64
61,30223.83
62,35808.69
63,33910.03
64,34776.40
65,83887.28
66,161499.48
67,130593.78
68,180970.07
69,185541.97
70,183745.87
71,150570.10
72,126928.72
73,93209.33
74,74407.68
75,34397.94
76,17847.11
77,41566.56
78,50471.50
79,37797.93
80,32751.03
81,41674.59
82,44182.67
83,39070.25
84,31645.66
85,22166.32
86,42579.55
87,62629.25
88,49808.88
89,28189.05
90,26917.18
91,43155.51
92,38278.93
93,77127.70
94,38126.29
95,56605.15
96,68550.62
97,90117.46
98,58582.73
99,67208.89
100,68876.03
101,67208.29
102,63229.42
103,85932.43
104,82844.95
105,61732.29
106,56720.50
107,84950.41
108,86357.73
109,78722.45
110,183867.42
111,147012.42
112,96743.51
113,96165.46
114,93603.52
115,45757.48
116,38782.74
117,49336.09
118,70618.11
119,83480.83
120,44240.91
121,44635.89
122,62258.57
123,59870.60
124,53525.88
125,66738.86
126,79925.31
127,77784.31
128,50512.93
129,74958.59
130,78282.90
131,89565.67
132,71271.41
133,70634.30
134,116240.45
135,70501.55
136,48950.26
137,41267.08
138,32342.00
139,25192.35
140,44291.32
141,45776.29
142,83284.68
143,96931.89
144,104305.79
145,78483.40
146,69687.69
147,48019.67
148,33487.58
149,26633.37
150,40358.55
151,56703.21
152,69161.49
153,84705.09
154,73364.48
155,93023.81
156,58698.97
157,69985.52
158,34935.75
159,47605.78
160,87073.35
161,73964.66
162,37156.15
163,29693.67
164,47277.21
165,51045.69
166,58628.10
167,102402.89
168,116787.78
169,81880.04
170,64477.77
171,70590.72
172,107282.92
173,111673.58
174,107011.34
175,108661.83
176,104052.74
177,84135.19
178,147792.53
179,136060.17
180,77185.49
181,19360.25
182,21553.94
183,56595.66
184,156642.71
185,100973.96
186,96663.90
187,165238.64
188,67538.38
189,31377.59
190,74977.08
191,62379.77
192,66372.29
193,60258.30
194,52851.66
195,48527.72
196,34597.11
197,74312.31
198,104425.91
199,44299.79
200,123390.90
201,149928.65
202,172289.86
203,155555.90
204,205037.11
205,108109.73
206,55020.70
207,64766.53
208,80070.76
209,86183.61
210,85076.60
211,52925.54
212,48285.42
213,17954.55
214,20549.69
215,36857.44
216,31813.02
217,90136.36
218,94784.90
219,72027.89
220,59174.95
221,65809.33
222,23182.66
223,31495.87
224,80353.00
225,61872.41
226,35221.30
227,39583.25
228,42958.59
229,29706.00
230,29217.98
231,40893.49
232,56568.61
233,73186.53
234,110641.24
235,145142.56
236,139218.43
237,100544.89
238,97880.83
239,154526.92
240,91446.74
241,73676.32
242,55358.84
243,82507.74
244,126601.03
245,87661.83
246,68038.26
247,33220.04
248,64067.43
249,79186.26
250,86666.32
251,62889.12
252,90431.39
253,59320.21
254,75334.37
255,54618.01
256,47270.27
257,55602.48
258,72011.35
259,41174.41
260,51774.09
261,55685.95
262,136863.78
263,137539.26
264,137088.84
265,82330.57
266,70786.53
267,67272.73
268,83337.82
269,87845.04
270,98312.63
271,87209.93
272,67863.64
273,58725.39
274,51317.81
275,68189.89
276,39074.61
277,23976.14
278,25675.62
279,33409.51
280,37687.69
281,32046.63
282,22949.28
283,46411.16
284,88278.18
285,161702.90
286,130819.88
287,70553.13
288,52484.97
289,131305.79
290,83258.03
291,19731.01
292,80851.97
293,65777.43
294,85034.16
295,103779.27
296,78960.70
297,45258.80
298,65842.65
299,140515.46
300,51577.20
301,45746.64
302,93510.90
303,84583.33
304,152639.75
305,155762.45
306,111692.31
307,116104.55
308,105687.76
309,114229.10
310,129922.44
311,102765.43
312,177452.65
313,145082.99
314,45619.29
315,127151.86
316,91339.90
317,85807.45
318,121843.91
319,224074.46
320,102531.12
321,104209.93
322,89623.83
323,100923.79
324,95272.54
325,84036.19
326,68469.62
327,68207.22
328,96912.19
329,41539.81
330,17343.65
331,50799.79
332,45280.54
333,36551.98
334,127389.29
335,186992.77
336,185940.93
337,193864.39
338,160602.90
339,138196.48
340,158268.67
341,172904.76
342,181673.58
343,116585.32
344,148117.22
345,57355.44
346,100243.27
