Chunk Index,Relative Timestamp Difference (μs)
0,180201
1,150201
2,120201
3,90201
4,60201
5,30201
6,201
7,39986
8,9985
9,49975
10,19975
11,59979
12,29979
13,69985
14,39985
15,9985
16,49996
17,19996
18,61747
19,31747
20,1747
21,39976
22,9976
23,49990
24,19990
25,59967
26,29966
27,70533
28,40533
29,10533
30,49983
31,19983
32,59995
33,29995
34,70720
35,40720
36,10720
37,49962
38,19962
39,5976
40,3278
41,3441
42,3271
43,3278
44,3297
45,3270
46,3282
47,3288
48,3178
49,1672
50,179935
51,149935
52,119935
53,89935
54,59935
55,29935
56,3247
57,3276
58,3280
59,3263
60,3249
61,3982
62,4972
63,3700
64,3252
65,3240
66,3237
67,3226
68,3228
69,3232
70,1655
71,1228
72,3203
73,3244
74,3212
75,3213
76,3221
77,4555
78,4050
79,3156
80,3164
81,3152
82,3159
83,3142
84,3171
85,3157
86,3176
87,3151
88,3163
89,3176
90,3142
91,3158
92,3158
93,4848
94,3151
95,3140
96,3155
97,3122
98,3137
99,3132
100,3145
101,3122
102,426
103,1269
104,223
105,3115
106,3108
107,3138
108,3115
109,3820
110,4927
111,4178
112,3083
113,3118
114,2754
115,3075
116,3108
117,3075
118,1359
119,3057
120,213
121,3054
122,3060
123,3061
124,3074
125,4027
126,3041
127,3057
128,3040
129,3047
130,3043
131,3048
132,3452
133,3044
134,3024
135,3030
136,3022
137,3030
138,3058
139,3031
140,4779
141,4368
142,3007
143,3005
144,2991
145,3003
146,2981
147,2980
148,2985
149,725
150,2983
151,2975
152,2987
153,2971
154,2972
155,2977
156,2947
157,3199
158,2892
159,2946
160,2940
161,2942
162,2947
163,2957
164,2942
165,2944
166,744
167,2936
168,2929
169,2932
170,2908
171,2918
172,3914
173,3925
174,2907
175,2899
176,2896
177,2907
178,2890
179,2842
180,2882
181,2888
182,2885
183,2888
184,2886
185,2868
186,2871
187,2867
188,2935
189,5039
190,3059
191,2844
192,2859
193,2854
194,2857
195,2815
196,2839
197,366
198,2833
199,2838
200,2829
201,4870
202,2816
203,2816
204,3251
205,2795
206,2795
207,2788
208,2792
209,2801
210,2804
211,2798
212,2806
213,2796
214,1059
215,2785
216,2775
217,2792
218,2769
219,2783
220,2710
221,5368
222,2745
223,2750
224,2772
225,2746
226,2752
227,2771
228,2743
229,2747
230,1064
231,1463
232,2744
233,2740
234,2739
235,2714
236,2820
237,2699
238,3478
239,2710
240,2698
241,2719
242,2704
243,2700
244,2701
245,2911
246,2707
247,2686
248,2684
249,2688
250,2679
251,2690
252,2675
253,2657
254,3074
255,2651
256,2670
257,2652
258,2661
259,2639
260,2648
261,2633
262,64
263,432
264,2660
265,2638
266,2627
267,2631
268,2884
269,2612
270,2609
271,2606
272,2605
273,2611
274,2606
275,2605
276,2613
277,2603
278,613
279,2595
280,2594
281,2586
282,2581
283,2590
284,2776
285,2949
286,2548
287,2563
288,2569
289,2562
290,2557
291,2564
292,2556
