Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,9123492968021,14066843,9123478901178,29799
1,9123492968021,14099959,9123478901178,29799
2,9123493058021,14166627,9123478891394,20015
3,9123493058021,14199943,9123478891394,20015
4,9123493148021,14266617,9123478881404,10025
5,9123493148021,14301294,9123478881404,10025
6,9123493238021,14366621,9123478871400,21
7,9123493238021,14399959,9123478871400,21
8,9123493358021,14466627,9123478891394,20015
9,9123493358021,14499951,9123478891394,20015
10,9123493448021,14566638,9123478881383,10004
11,9123493448021,14600363,9123478881383,10004
12,9123493568021,14668389,9123478899632,28253
13,9123493568021,14699957,9123478899632,28253
14,9123493658021,14766618,9123478891403,20024
15,9123493658021,14799966,9123478891403,20024
16,9123493748021,14866632,9123478881389,10010
17,9123493748021,14899959,9123478881389,10010
18,9123493838021,14966608,9123478871413,34
19,9123493838021,14999940,9123478871413,34
20,9123493958021,15067175,9123478890846,19467
21,9123493958021,15099939,9123478890846,19467
22,9123494048021,15166625,9123478881396,10017
23,9123494048021,15199947,9123478881396,10017
24,9123494138021,15266637,9123478871384,5
25,9123494138021,15299934,9123478871384,5
26,9123494258021,15367362,9123478890659,19280
27,9123494258021,15399956,9123478890659,19280
