Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,1
8,2
9,3
10,4
11,5
12,6
13,7
14,8
15,9
16,10
17,11
18,12
19,13
20,14
21,15
22,16
23,17
24,18
25,19
26,20
27,21
28,22
29,23
30,24
31,25
32,26
33,27
34,28
35,29
36,30
37,31
38,32
39,33
40,34
41,35
42,36
43,37
44,38
45,39
46,40
47,41
48,42
49,43
50,44
51,45
52,46
53,47
54,48
55,49
56,50
57,51
58,52
59,53
60,54
61,55
62,56
63,57
64,58
65,59
66,60
67,61
68,59
69,60
70,61
71,62
72,63
73,61
74,62
75,63
76,64
77,65
78,63
79,64
80,65
81,66
82,67
83,65
84,66
85,67
86,68
87,69
88,70
89,68
90,69
91,70
92,71
93,72
94,70
95,71
96,72
97,73
98,74
99,75
100,73
101,74
102,75
103,76
104,77
105,75
106,76
107,77
108,78
109,79
110,77
111,78
112,79
113,80
114,81
115,79
116,80
117,81
118,82
119,83
120,84
121,82
122,83
123,84
124,85
125,86
126,87
127,85
128,86
129,87
130,88
131,86
132,87
133,88
134,89
135,90
136,91
137,89
138,90
139,91
140,92
141,93
142,94
143,94
144,92
145,92
146,92
147,93
148,93
149,94
150,94
151,94
152,95
153,95
154,95
155,96
156,96
157,97
158,97
159,98
160,99
161,99
162,100
163,100
164,100
165,101
166,101
167,101
168,102
169,102
170,103
171,103
172,103
173,104
174,104
175,105
176,106
177,106
178,107
179,107
180,108
181,108
182,108
183,109
184,109
185,109
186,110
187,110
188,111
189,111
190,111
191,112
192,113
193,113
194,114
195,114
196,115
197,115
198,115
199,116
200,116
201,116
202,117
203,117
204,118
205,118
206,118
207,119
208,120
209,121
210,121
211,121
212,122
213,122
214,122
215,123
216,123
217,124
218,124
219,124
220,125
221,125
222,126
223,126
224,127
225,128
226,128
227,128
228,129
229,129
230,130
231,130
232,131
233,131
234,131
235,132
236,132
237,132
238,133
239,133
240,134
241,135
242,135
243,136
244,136
245,136
246,137
247,137
248,138
249,138
250,138
251,139
252,139
253,140
254,140
255,140
256,141
257,142
258,142
259,143
260,143
261,143
262,144
263,144
264,145
265,145
266,145
267,146
268,146
269,147
270,147
271,147
272,148
273,149
274,150
275,150
276,150
277,151
278,151
279,152
280,152
281,152
282,153
283,153
284,153
285,154
286,154
287,155
288,156
289,156
290,157
291,157
292,158
293,158
294,158
295,159
296,159
297,159
298,160
299,160
300,161
301,161
302,161
303,162
304,163
305,163
306,164
307,164
308,165
309,165
310,166
311,167
312,168
313,169
314,170
315,171
316,172
317,173
318,174
319,175
320,175
321,176
322,177
323,177
324,178
325,178
326,178
327,179
328,179
329,180
330,180
331,181
332,181
333,181
334,182
335,182
336,182
337,183
338,184
339,185
340,185
341,185
342,186
343,186
344,186
345,187
346,187
347,188
348,188
349,188
350,189
351,189
352,189
353,190
354,191
355,192
356,192
357,192
358,193
359,193
360,194
361,194
362,194
363,195
364,195
365,195
366,196
367,196
368,197
369,197
370,198
371,199
372,199
373,199
374,200
375,200
376,201
377,201
378,201
379,202
380,202
381,203
382,203
383,203
384,204
385,204
386,205
387,206
388,206
389,207
390,207
391,207
392,208
393,208
394,209
395,209
396,209
397,210
398,210
399,211
400,211
401,211
402,212
403,213
404,213
405,214
406,214
407,215
408,215
409,215
410,216
411,216
412,217
413,217
414,217
415,218
416,218
417,218
418,219
419,220
420,221
421,221
422,221
423,222
424,222
425,222
426,223
427,223
428,224
429,224
430,224
431,225
432,225
433,226
434,226
435,227
436,228
437,228
438,229
439,229
440,229
441,230
442,230
443,231
444,231
445,231
446,231
447,232
448,232
449,233
450,233
451,234
452,235
453,235
454,236
455,236
456,236
457,237
458,237
459,238
460,238
461,238
462,239
463,239
464,240
465,240
466,240
467,241
468,242
469,242
470,243
471,243
472,243
473,244
474,244
475,245
476,245
477,245
478,246
479,246
480,247
481,247
482,247
483,248
484,249
485,249
486,250
487,250
488,251
489,251
490,251
491,252
492,252
493,253
494,253
495,253
496,254
497,254
498,255
499,255
500,256
501,257
502,257
503,257
504,258
505,258
506,259
507,259
508,259
509,260
510,260
511,261
512,261
513,261
514,262
515,262
516,263
517,264
518,264
519,265
520,265
521,265
522,266
523,266
524,267
525,267
526,267
527,268
528,268
529,268
