Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9123492738021,0,1,63
1,9123492748021,10000,1,63
2,9123492758021,10000,1,63
3,9123492768021,10000,1,63
4,9123492778021,10000,1,63
5,9123492788021,10000,1,63
6,9123492798021,10000,1,63
7,9123492808021,10000,1,62
8,9123492818021,10000,1,62
9,9123492828021,10000,1,63
10,9123492838021,10000,1,64
11,9123492848021,10000,1,63
12,9123492858021,10000,1,64
13,9123492868021,10000,1,62
14,9123492878021,10000,1,64
15,9123492888021,10000,1,63
16,9123492898021,10000,1,63
17,9123492908021,10000,1,63
18,9123492918021,10000,1,63
19,9123492928021,10000,1,63
20,9123492938021,10000,1,63
21,9123492948021,10000,1,63
22,9123492958021,10000,1,63
23,9123492968021,10000,1,63
24,9123492978021,10000,1,63
25,9123492988021,10000,1,63
26,9123492998021,10000,1,63
27,9123493008021,10000,1,63
28,9123493018021,10000,1,62
29,9123493028021,10000,1,61
30,9123493038021,10000,1,62
31,9123493048021,10000,1,61
32,9123493058021,10000,1,63
33,9123493068021,10000,1,61
34,9123493078021,10000,1,61
35,9123493088021,10000,1,63
36,9123493098021,10000,1,63
37,9123493108021,10000,1,65
38,9123493118021,10000,1,67
39,9123493128021,10000,1,65
40,9123493138021,10000,1,65
41,9123493148021,10000,1,63
42,9123493158021,10000,1,63
43,9123493168021,10000,1,63
44,9123493178021,10000,1,63
45,9123493188021,10000,1,63
46,9123493198021,10000,1,63
47,9123493208021,10000,1,63
48,9123493218021,10000,1,63
49,9123493228021,10000,1,63
50,9123493238021,10000,1,63
51,9123493248021,10000,1,63
52,9123493258021,10000,1,63
53,9123493268021,10000,1,63
54,9123493278021,10000,1,63
55,9123493288021,10000,1,63
56,9123493298021,10000,1,63
57,9123493308021,10000,1,63
58,9123493318021,10000,1,63
59,9123493328021,10000,1,63
60,9123493338021,10000,1,63
61,9123493348021,10000,1,63
62,9123493358021,10000,1,63
63,9123493368021,10000,1,63
64,9123493378021,10000,1,63
65,9123493388021,10000,1,63
66,9123493398021,10000,1,63
67,9123493408021,10000,1,63
68,9123493418021,10000,1,63
69,9123493428021,10000,1,63
70,9123493438021,10000,1,63
71,9123493448021,10000,1,63
72,9123493458021,10000,1,63
73,9123493468021,10000,1,63
74,9123493478021,10000,1,63
75,9123493488021,10000,1,63
76,9123493498021,10000,1,63
77,9123493508021,10000,1,63
78,9123493518021,10000,1,62
79,9123493528021,10000,1,63
80,9123493538021,10000,1,61
81,9123493548021,10000,1,63
82,9123493558021,10000,1,64
83,9123493568021,10000,1,62
84,9123493578021,10000,1,61
85,9123493588021,10000,1,61
86,9123493598021,10000,1,63
87,9123493608021,10000,1,65
88,9123493618021,10000,1,63
89,9123493628021,10000,1,63
90,9123493638021,10000,1,64
91,9123493648021,10000,1,67
92,9123493658021,10000,1,63
93,9123493668021,10000,1,63
94,9123493678021,10000,1,63
95,9123493688021,10000,1,63
96,9123493698021,10000,1,63
97,9123493708021,10000,1,63
98,9123493718021,10000,1,63
99,9123493728021,10000,1,63
100,9123493738021,10000,1,63
101,9123493748021,10000,1,63
102,9123493758021,10000,1,63
103,9123493768021,10000,1,61
104,9123493778021,10000,1,63
105,9123493788021,10000,1,64
106,9123493798021,10000,1,62
107,9123493808021,10000,1,65
108,9123493818021,10000,1,63
109,9123493828021,10000,1,63
110,9123493838021,10000,1,62
111,9123493848021,10000,1,64
112,9123493858021,10000,1,63
113,9123493868021,10000,1,62
114,9123493878021,10000,1,61
115,9123493888021,10000,1,61
116,9123493898021,10000,1,64
117,9123493908021,10000,1,63
118,9123493918021,10000,1,63
119,9123493928021,10000,1,60
120,9123493938021,10000,1,60
121,9123493948021,10000,1,61
122,9123493958021,10000,1,65
123,9123493968021,10000,1,63
124,9123493978021,10000,1,64
125,9123493988021,10000,1,62
126,9123493998021,10000,1,61
127,9123494008021,10000,1,62
128,9123494018021,10000,1,60
129,9123494028021,10000,1,61
130,9123494038021,10000,1,62
131,9123494048021,10000,1,62
132,9123494058021,10000,1,63
133,9123494068021,10000,1,64
134,9123494078021,10000,1,61
135,9123494088021,10000,1,62
136,9123494098021,10000,1,61
137,9123494108021,10000,1,62
138,9123494118021,10000,1,63
139,9123494128021,10000,1,62
140,9123494138021,10000,1,62
141,9123494148021,10000,1,63
142,9123494158021,10000,1,62
143,9123494168021,10000,1,63
144,9123494178021,10000,1,62
145,9123494188021,10000,1,64
146,9123494198021,10000,1,59
147,9123494208021,10000,1,58
148,9123494218021,10000,1,60
149,9123494228021,10000,1,63
150,9123494238021,10000,1,63
151,9123494248021,10000,1,63
152,9123494258021,10000,1,63
153,9123494268021,10000,1,63
154,9123494278021,10000,1,63
155,9123494288021,10000,1,63
156,9123494298021,10000,1,63
157,9123494308021,10000,1,63
158,9123494318021,10000,1,63
159,9123494328021,10000,1,63
160,9123494338021,10000,1,63
