Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,13866642,0,0,4707
1,13899943,33301,0,4549
2,13933293,33350,0,4542
3,13966638,33345,0,4233
4,14001973,35335,0,4036
5,14033308,31335,0,3738
6,14066843,33535,1,4462
7,14099959,33116,0,7166
8,14133280,33321,0,4401
9,14166627,33347,0,4415
10,14199943,33316,0,4414
11,14233275,33332,0,4492
12,14266617,33342,0,4262
13,14301294,34677,0,4246
14,14333286,31992,0,4199
15,14366621,33335,0,4122
16,14399959,33338,0,4220
17,14433292,33333,0,4085
18,14466627,33335,0,4029
19,14499951,33324,0,4133
20,14535711,35760,0,3984
21,14566638,30927,0,3856
22,14600363,33725,0,3633
23,14633307,32944,0,3486
24,14668389,35082,0,3624
25,14699957,31568,0,3690
26,14733277,33320,0,3748
27,14766618,33341,0,3867
28,14799966,33348,0,3666
29,14834235,34269,0,3672
30,14866632,32397,0,3553
31,14899959,33327,0,3625
32,14933275,33316,0,3420
33,14966608,33333,0,3297
34,14999940,33332,0,3267
35,15033260,33320,0,3579
36,15067175,33915,1,4620
37,15099939,32764,0,6930
38,15134309,34370,0,3349
39,15166625,32316,0,3221
40,15199947,33322,0,3250
41,15233288,33341,0,3360
42,15266637,33349,0,3185
43,15299934,33297,0,3364
44,15333277,33343,0,3035
45,15367362,34085,0,3240
46,15399956,32594,0,3068
47,15433270,33314,0,3027
48,15466604,33334,0,3051
49,15499937,33333,0,2985
50,15533290,33353,0,2899
51,15566611,33321,0,3154
52,15602618,36007,0,2719
53,15633293,30675,0,2893
54,15666622,33329,0,2812
55,15699955,33333,0,2628
56,15733278,33323,0,2648
57,15766623,33345,0,2471
58,15799940,33317,0,2421
59,15833289,33349,0,2598
60,15866606,33317,0,2225
61,15899920,33314,0,2210
62,15933274,33354,0,2226
63,15966605,33331,0,2154
64,15999926,33321,0,2066
65,16033259,33333,0,1864
66,16066613,33354,1,4670
67,16099935,33322,0,6770
68,16133805,33870,0,1798
69,16166587,32782,0,1503
70,16200083,33496,0,1330
71,16233282,33199,0,1127
72,16266599,33317,0,1360
73,16299941,33342,0,1108
74,16333276,33335,0,1039
