Time (s),Bitrate (Bps)
0,4159.81
1,4179.41
2,4092.67
3,4170.91
4,4202.73
5,5006.60
6,4175.15
7,4137.61
8,4261.98
9,4101.02
10,4104.15
11,4149.80
12,4154.00
13,4212.61
14,4170.91
15,4117.90
16,4487.34
17,4140.67
18,4177.01
19,4209.99
20,4177.37
21,4157.04
22,4170.91
23,4189.22
24,4173.12
25,4125.51
26,4175.15
27,4162.44
28,4166.67
29,4199.80
30,4184.32
31,4157.52
32,4253.56
33,4175.18
34,4105.80
35,4164.30
36,4169.04
37,4225.05
38,4188.39
39,4153.77
40,4257.64
41,4166.84
42,4197.56
43,4126.02
44,4163.12
45,4216.33
46,4135.44
47,4259.94
48,4170.91
49,4101.02
50,4172.94
51,4213.85
52,4126.02
53,4210.53
54,4143.15
55,4220.18
56,3895.81
57,4753.83
58,4165.99
59,4146.34
60,4200.41
61,4180.43
62,4183.67
63,4146.96
64,4408.72
65,4201.48
66,4587.20
67,4170.91
68,4166.67
69,4256.62
70,4131.23
71,4158.22
72,4171.92
73,4111.45
74,4129.20
75,4179.41
76,4175.15
77,4221.20
78,4170.91
79,4175.15
80,4170.91
81,4146.07
82,4165.65
83,4164.10
84,4162.44
85,4212.61
86,4175.15
87,4215.89
88,4216.90
89,4152.40
90,4169.89
91,4166.67
92,4162.44
93,4208.33
94,4002.03
95,4321.06
96,4206.51
97,4122.57
98,4182.37
99,4158.22
100,4145.60
101,4208.33
102,4179.41
103,4170.91
104,4188.97
105,4198.54
106,4174.62
107,4199.39
108,4149.80
109,4176.29
110,3824.07
111,4722.69
112,4172.45
113,4089.96
114,4258.66
115,4207.32
116,4170.91
117,4208.33
118,4175.15
119,4170.91
120,4221.20
121,4156.74
122,4175.15
123,4149.80
124,4166.67
125,4257.64
126,4138.63
127,4175.15
128,4222.00
129,4226.28
130,4175.15
131,4117.65
132,4196.34
133,4187.18
134,4211.60
135,4177.55
136,4223.01
137,4185.42
138,4145.60
139,4126.02
140,4176.29
141,3753.29
142,4431.64
143,4223.12
144,7527.66
