Time (s),Bitrate (Bps)
0,9856.92
1,15570.39
2,13176.47
3,13340.91
4,18919.28
5,18324.50
6,14073.35
7,13640.50
8,14764.58
9,11161.32
10,13709.88
11,9008.24
12,17799.79
13,12182.57
14,8528.01
15,12534.73
16,13373.07
17,13907.58
18,14318.18
19,13555.79
20,14503.61
21,12186.92
22,14148.91
23,15432.71
24,13605.40
25,14040.29
26,13525.93
27,15835.90
28,13325.05
29,12891.86
30,13043.43
31,13273.01
32,13342.02
33,13159.26
34,11840.74
35,11582.90
36,14348.86
37,12949.33
38,13403.11
39,12636.36
40,17172.38
41,14028.96
42,13055.84
43,10816.03
44,14319.59
45,14031.15
46,13533.95
47,14369.61
48,12163.56
49,7144.49
50,10449.74
51,9501.56
52,7761.61
53,15009.28
54,12043.30
55,13044.84
56,20716.05
57,11663.39
58,14683.56
59,12778.70
60,13097.11
61,15310.17
62,8107.33
63,2769.31
64,18846.78
65,8687.70
66,22312.43
67,15347.15
68,14191.31
69,13478.31
70,12876.42
71,14916.49
72,12684.27
73,12843.14
74,13370.60
75,10427.24
76,9760.33
77,5588.84
78,12129.90
79,12877.59
80,8509.87
81,9244.31
82,11394.13
83,8855.10
84,12804.55
85,9699.07
86,9235.78
87,12298.03
88,13186.60
89,11864.11
90,9687.05
91,9632.89
92,13291.62
93,11116.06
94,20682.43
95,11297.74
96,18550.72
97,14765.87
98,16127.84
99,12898.04
100,16109.62
101,12698.97
102,14551.65
103,15552.58
104,13973.03
105,15824.20
106,12682.19
107,13146.69
108,13233.23
109,12149.38
110,20481.75
111,14168.42
112,12674.61
113,17754.39
114,12360.25
115,13462.41
116,10779.27
117,8997.94
118,12575.41
119,16045.60
120,12643.15
121,9172.38
122,14358.92
123,13324.72
124,11757.51
125,15240.95
126,11749.74
127,15523.86
128,13162.02
129,10250.26
130,16301.96
131,12855.96
132,13348.19
133,11387.56
134,16763.73
135,13616.89
136,10179.27
137,11734.50
138,14510.29
139,7491.23
140,5751.80
141,11198.16
142,15623.24
143,15539.72
144,14513.04
