Chunk Index,Relative Timestamp Difference (μs)
0,513315
1,483315
2,453315
3,423315
4,393315
5,363315
6,333315
7,303315
8,273316
9,243315
10,213315
11,183315
12,153315
13,123315
14,93315
15,63315
16,33315
17,3315
18,176663
19,146663
20,116663
21,86663
22,56663
23,26663
24,3321
25,3335
26,3339
27,3312
28,3383
29,3303
30,3773
31,3312
32,3303
33,3299
34,3301
35,3295
36,3287
37,3265
38,1911
39,2166
40,3288
41,3300
42,3285
43,3278
44,3274
45,5215
46,3190
47,3262
48,935
49,3263
50,3245
51,3267
52,3239
53,3231
54,1497
55,3243
56,3234
57,3202
58,3233
59,3215
60,3236
61,3797
62,3523
63,3200
64,3209
65,3221
66,3201
67,3184
68,3210
69,37
70,1249
71,2815
72,3196
73,3193
74,3183
75,3193
76,3177
77,3311
78,3155
79,3148
80,3176
81,3170
82,3166
83,3150
84,3162
85,5431
86,368
87,3134
88,3129
89,3140
90,3137
91,3130
92,3119
93,5759
94,3773
95,3131
96,3113
97,3106
98,3093
99,3102
100,3089
101,3088
102,194
103,3091
104,3081
105,3050
106,3073
107,3089
108,3057
109,3588
110,3049
111,3069
112,3051
113,3053
114,3065
115,3062
116,3093
117,3057
118,693
119,3043
120,3055
121,3043
122,3026
123,3047
124,3006
125,3511
126,3539
127,3009
128,3011
129,3016
130,2997
131,2997
132,3016
133,3013
134,3299
135,1368
136,113
137,2999
138,2979
139,2989
140,3564
141,3061
142,3048
143,2944
144,2965
145,2955
146,2951
147,2961
148,2957
149,2959
150,2945
151,2955
152,2948
153,2953
154,2938
155,2947
156,2923
157,3615
158,2872
159,2856
160,2906
161,2898
162,2919
163,2912
164,2914
165,2913
166,168
167,2901
168,2886
169,2896
170,2896
171,2883
172,2882
173,4529
174,2985
175,2905
176,2859
177,2854
178,2856
179,2866
180,2884
181,2885
182,1771
183,2847
184,2855
185,2858
186,2851
187,2834
188,2819
189,3685
190,2974
191,2816
192,2823
193,2839
194,2820
195,2804
196,2816
197,2818
198,2785
199,2801
200,2818
201,2818
202,2812
203,2797
204,2806
205,3558
206,2764
207,2755
208,2783
209,2767
210,2757
211,2773
212,2775
213,2755
214,318
215,2754
216,2739
217,2750
218,2752
219,2745
220,2749
221,3615
222,2807
223,2716
224,2710
225,2719
226,2712
227,2720
228,2709
229,2736
230,2688
231,2705
232,472
233,2708
234,2709
235,2689
236,2695
237,5269
238,2676
239,3079
240,2669
241,2667
242,6154
243,2679
244,2671
245,2673
246,2126
247,2635
248,2692
249,2666
250,2644
251,2643
252,2653
253,4579
254,2731
255,2623
256,2619
257,2626
258,2621
259,2635
260,2629
261,2635
262,2614
263,2620
264,2601
265,2615
266,2606
267,2611
268,2588
269,3202
270,2570
271,2603
272,2569
273,2572
274,2554
275,2577
276,2571
277,2574
278,315
279,2540
280,2557
281,2561
282,2553
283,2559
284,2540
285,5103
286,2536
287,2523
288,2527
289,2884
290,2516
291,2480
292,2486
293,2473
294,838
