Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,1
24,2
25,3
26,4
27,5
28,6
29,7
30,8
31,9
32,10
33,11
34,12
35,13
36,14
37,15
38,16
39,17
40,18
41,19
42,20
43,21
44,22
45,23
46,24
47,25
48,26
49,27
50,28
51,29
52,30
53,31
54,32
55,33
56,34
57,35
58,36
59,37
60,38
61,39
62,40
63,41
64,42
65,43
66,44
67,45
68,46
69,47
70,48
71,49
72,50
73,51
74,52
75,53
76,54
77,55
78,56
79,57
80,58
81,59
82,60
83,61
84,62
85,62
86,63
87,64
88,65
89,66
90,67
91,68
92,69
93,70
94,71
95,72
96,72
97,73
98,73
99,74
100,75
101,75
102,76
103,76
104,76
105,77
106,77
107,77
108,77
109,78
110,78
111,79
112,79
113,80
114,80
115,81
116,82
117,81
118,82
119,83
120,83
121,83
122,84
123,83
124,84
125,84
126,85
127,85
128,85
129,86
130,87
131,88
132,89
133,89
134,89
135,86
136,87
137,88
138,88
139,89
140,90
141,90
142,90
143,91
144,92
145,93
146,93
147,94
148,95
149,96
150,96
151,97
152,97
153,97
154,98
155,98
156,99
157,100
158,100
159,101
160,101
161,101
162,102
163,102
164,103
165,104
166,104
167,104
168,104
169,105
170,105
171,106
172,106
173,107
174,107
175,108
176,108
177,108
178,109
179,109
180,110
181,111
182,111
183,111
184,112
185,112
186,112
187,113
188,113
189,114
190,114
191,115
192,115
193,115
194,116
195,116
196,117
197,117
198,118
199,118
200,119
201,119
202,119
203,119
204,119
205,120
206,120
207,121
208,121
209,122
210,123
211,124
212,124
213,125
214,125
215,126
216,126
217,127
218,127
219,128
220,128
221,128
222,129
223,129
224,129
225,129
226,129
227,130
228,131
229,131
230,132
231,133
232,133
233,133
234,134
235,134
236,134
237,135
238,135
239,136
240,137
241,137
242,137
243,138
244,138
245,139
246,140
247,140
248,141
249,141
250,141
251,142
252,142
253,143
254,143
255,143
256,143
257,143
258,144
259,144
260,145
261,146
262,147
263,148
264,148
265,148
266,148
267,149
268,149
269,150
270,150
271,151
272,151
273,151
274,152
275,152
276,152
277,153
278,154
279,155
280,155
281,155
282,156
283,156
284,156
285,157
286,156
287,156
288,157
289,157
290,158
291,158
292,159
293,160
294,161
295,162
296,162
297,162
298,163
299,163
300,164
301,164
302,164
303,165
304,165
305,166
306,166
307,166
308,167
309,167
310,168
311,169
312,169
313,170
314,170
315,170
316,170
317,170
318,170
319,171
320,171
321,172
322,173
323,173
324,174
325,175
326,176
327,176
328,176
329,177
330,177
331,178
332,178
333,178
334,179
335,179
336,179
337,180
338,180
339,181
340,181
341,182
342,183
343,183
344,184
345,184
346,183
347,183
348,184
349,184
350,185
351,185
352,186
353,186
354,187
355,188
356,188
357,188
358,189
359,190
360,191
361,191
362,192
363,192
364,192
365,192
366,193
367,193
368,194
369,194
370,195
371,195
372,195
373,196
374,196
375,197
376,197
377,198
378,198
379,198
380,199
381,199
382,200
383,200
384,200
385,201
386,201
387,201
388,202
389,202
390,203
391,204
392,205
393,205
394,206
395,206
396,206
397,207
398,207
399,208
400,208
401,208
402,209
403,209
404,209
405,210
406,210
407,211
408,211
409,212
410,212
411,213
412,213
413,214
414,214
415,215
416,215
417,215
418,216
419,216
420,217
421,217
422,217
423,218
424,219
425,220
426,220
427,220
428,221
429,221
430,222
431,222
432,222
433,223
434,223
435,223
436,223
437,224
438,224
439,225
440,226
441,226
442,227
443,227
444,228
445,228
446,229
447,229
448,229
449,230
450,230
451,231
452,230
453,231
454,231
455,232
456,233
457,233
458,233
459,233
460,234
461,234
462,234
463,235
464,236
465,236
466,235
467,236
468,236
469,237
470,238
471,239
472,240
473,240
474,240
475,241
476,241
477,242
478,242
479,243
480,244
481,244
482,245
483,245
484,245
485,246
486,247
487,247
488,248
489,248
490,249
491,249
492,249
493,250
494,250
495,250
496,250
497,251
498,251
499,251
500,252
501,252
502,253
503,254
504,254
505,255
506,256
507,256
508,256
509,257
510,257
511,258
512,258
513,258
514,259
515,259
516,259
517,260
518,260
519,261
520,261
521,262
522,263
523,263
524,264
525,264
526,264
527,264
528,265
529,265
