Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,9099037975165,0,1,61
1,9099037985165,10000,1,60
2,9099037995165,10000,1,60
3,9099038005165,10000,1,59
4,9099038015165,10000,1,61
5,9099038025165,10000,1,60
6,9099038035165,10000,1,59
7,9099038045165,10000,1,60
8,9099038055165,10000,1,62
9,9099038065165,10000,1,62
10,9099038075165,10000,1,63
11,9099038085165,10000,1,63
12,9099038095165,10000,1,63
13,9099038105165,10000,1,63
14,9099038115165,10000,1,63
15,9099038125165,10000,1,63
16,9099038135165,10000,1,63
17,9099038145165,10000,1,63
18,9099038155165,10000,1,63
19,9099038165165,10000,1,63
20,9099038175165,10000,1,63
21,9099038185165,10000,1,63
22,9099038195165,10000,1,63
23,9099038205165,10000,1,63
24,9099038215165,10000,1,64
25,9099038225165,10000,1,63
26,9099038235165,10000,1,79
27,9099038245165,10000,1,62
28,9099038255165,10000,1,64
29,9099038265165,10000,1,65
30,9099038275165,10000,1,63
31,9099038285165,10000,1,65
32,9099038295165,10000,1,64
33,9099038305165,10000,1,67
34,9099038315165,10000,1,67
35,9099038325165,10000,1,65
36,9099038335165,10000,1,64
37,9099038345165,10000,1,70
38,9099038355165,10000,1,63
39,9099038365165,10000,1,63
40,9099038375165,10000,1,63
41,9099038385165,10000,1,63
42,9099038395165,10000,1,63
43,9099038405165,10000,1,62
44,9099038415165,10000,1,64
45,9099038425165,10000,1,61
46,9099038435165,10000,1,60
47,9099038445165,10000,1,61
48,9099038455165,10000,1,64
49,9099038465165,10000,1,63
50,9099038475165,10000,1,61
51,9099038485165,10000,1,62
52,9099038495165,10000,1,61
53,9099038505165,10000,1,63
54,9099038515165,10000,1,65
55,9099038525165,10000,1,65
56,9099038535165,10000,1,70
57,9099038545165,10000,1,63
58,9099038555165,10000,1,63
59,9099038565165,10000,1,63
60,9099038575165,10000,1,63
61,9099038585165,10000,1,63
62,9099038595165,10000,1,63
63,9099038605165,10000,1,63
64,9099038615165,10000,1,63
65,9099038625165,10000,1,63
66,9099038635165,10000,1,63
67,9099038645165,10000,1,63
68,9099038655165,10000,1,63
69,9099038665165,10000,1,63
70,9099038675165,10000,1,63
71,9099038685165,10000,1,63
72,9099038695165,10000,1,63
73,9099038705165,10000,1,63
74,9099038715165,10000,1,63
75,9099038725165,10000,1,63
76,9099038735165,10000,1,63
77,9099038745165,10000,1,63
78,9099038755165,10000,1,63
79,9099038765165,10000,1,63
80,9099038775165,10000,1,63
81,9099038785165,10000,1,63
82,9099038795165,10000,1,63
83,9099038805165,10000,1,63
84,9099038815165,10000,1,63
85,9099038825165,10000,1,63
86,9099038835165,10000,1,63
87,9099038845165,10000,1,63
88,9099038855165,10000,1,63
89,9099038865165,10000,1,63
90,9099038875165,10000,1,63
91,9099038885165,10000,1,63
92,9099038895165,10000,1,63
93,9099038905165,10000,1,63
94,9099038915165,10000,1,63
95,9099038925165,10000,1,63
96,9099038935165,10000,1,63
97,9099038945165,10000,1,63
98,9099038955165,10000,1,63
99,9099038965165,10000,1,63
100,9099038975165,10000,1,63
101,9099038985165,10000,1,63
102,9099038995165,10000,1,63
103,9099039005165,10000,1,63
104,9099039015165,10000,1,63
105,9099039025165,10000,1,63
106,9099039035165,10000,1,63
107,9099039045165,10000,1,63
108,9099039055165,10000,1,63
109,9099039065165,10000,1,63
110,9099039075165,10000,1,63
111,9099039085165,10000,1,63
112,9099039095165,10000,1,63
113,9099039105165,10000,1,63
114,9099039115165,10000,1,63
115,9099039125165,10000,1,63
116,9099039135165,10000,1,63
117,9099039145165,10000,1,63
118,9099039155165,10000,1,63
119,9099039165165,10000,1,63
120,9099039175165,10000,1,63
121,9099039185165,10000,1,63
122,9099039195165,10000,1,63
123,9099039205165,10000,1,63
124,9099039215165,10000,1,63
125,9099039225165,10000,1,63
126,9099039235165,10000,1,63
127,9099039245165,10000,1,63
128,9099039255165,10000,1,63
129,9099039265165,10000,1,63
130,9099039275165,10000,1,63
131,9099039285165,10000,1,63
132,9099039295165,10000,1,63
133,9099039305165,10000,1,63
134,9099039315165,10000,1,63
135,9099039325165,10000,1,63
136,9099039335165,10000,1,63
137,9099039345165,10000,1,63
138,9099039355165,10000,1,63
139,9099039365165,10000,1,62
140,9099039375165,10000,1,62
141,9099039385165,10000,1,63
142,9099039395165,10000,1,64
143,9099039405165,10000,1,63
144,9099039415165,10000,1,64
145,9099039425165,10000,1,62
146,9099039435165,10000,1,64
147,9099039445165,10000,1,63
148,9099039455165,10000,1,63
149,9099039465165,10000,1,63
150,9099039475165,10000,1,63
151,9099039485165,10000,1,63
152,9099039495165,10000,1,63
153,9099039505165,10000,1,63
154,9099039515165,10000,1,63
155,9099039525165,10000,1,63
156,9099039535165,10000,1,63
157,9099039545165,10000,1,63
