Time (s),Bitrate (Bps)
0,5333.33
1,4251.27
2,4207.18
3,4179.41
4,4126.02
5,4129.20
6,4192.23
7,4205.13
8,4187.95
9,4199.80
10,4203.05
11,4134.42
12,4170.91
13,4135.30
14,4181.82
15,4205.13
16,4187.95
17,4202.84
18,4172.10
19,4126.52
20,4180.90
21,4192.91
22,4247.18
23,4092.67
24,4188.58
25,4193.32
26,4177.37
27,4165.99
28,4166.67
29,4125.00
30,4196.52
31,4205.13
32,4166.67
33,4208.12
34,4198.98
35,4155.49
36,4154.08
37,4160.24
38,4152.51
39,4141.84
40,4177.85
41,4214.29
42,4207.32
43,4173.12
44,4168.70
45,4084.35
46,4200.82
47,4183.67
48,4162.44
49,4248.98
50,4170.91
51,4150.71
52,4154.63
53,4165.65
54,4151.33
55,4191.25
56,4184.62
57,4242.64
58,4149.13
59,4206.30
60,4148.37
61,4174.14
62,4277.66
63,4126.02
64,4170.91
65,4211.17
66,4163.78
67,4206.72
68,4130.96
69,4133.40
70,4179.41
71,4235.66
72,4136.32
73,4210.15
74,4173.29
75,4166.67
76,4178.86
77,4168.57
78,4238.49
79,4196.52
80,4187.95
81,4199.80
82,4170.91
83,4166.67
84,4203.05
85,4135.14
86,4225.51
87,4175.15
88,4257.47
89,4214.43
90,4175.15
91,4130.21
92,4211.60
93,4176.72
94,4238.49
95,4222.45
96,4174.49
97,4174.62
98,4182.93
99,4152.59
100,4211.60
101,4198.54
102,4192.23
103,4187.95
104,4179.41
105,4208.33
106,4130.21
107,4166.67
108,4173.78
109,4211.02
110,4238.49
111,4108.98
112,4212.24
113,4197.77
114,4169.89
115,4133.27
116,4162.44
117,4222.68
118,4242.83
119,4192.23
120,4175.15
121,4199.80
122,4175.15
123,4126.02
124,4166.67
125,4190.43
126,4224.95
127,4227.78
128,4143.88
129,4204.06
130,4166.67
131,4207.32
132,4166.67
133,4183.52
134,4195.10
135,4179.41
136,4224.49
137,4181.54
138,4189.22
139,4170.91
140,4162.44
141,4139.44
142,4248.72
143,4177.73
144,4183.67
145,4240.37
146,4153.46
147,4143.44
148,4169.72
149,4196.88
150,4273.85
151,4159.51
152,4211.22
153,4181.26
154,4170.91
155,4184.21
156,4140.53
157,4227.08
158,4210.47
159,4133.40
160,4211.60
161,4208.33
162,4175.15
163,4121.83
164,4174.62
165,4112.80
166,4153.46
167,4182.65
168,4175.15
169,4190.67
170,4180.06
171,4162.77
172,4166.67
173,4183.33
174,4233.23
175,4193.95
176,4164.63
177,4188.20
178,4201.63
179,4151.33
180,4170.91
181,4189.78
182,4192.23
183,4228.80
184,4179.41
185,4204.06
186,4174.13
187,4180.43
188,4158.22
189,4185.42
190,4181.36
191,4145.53
192,4170.91
193,4212.61
194,4175.15
195,4166.67
196,4198.78
197,4139.44
198,4279.43
199,4192.23
200,4179.41
201,4199.80
202,4170.91
203,4125.89
204,4176.29
205,4147.66
206,4141.28
207,4164.58
208,4154.47
209,4208.33
210,4175.15
211,4162.44
212,4154.00
213,4222.68
214,4193.25
215,4133.40
216,4184.32
217,4235.53
218,4119.55
219,4200.41
220,4165.48
221,4174.45
222,4193.25
223,4179.41
224,4215.89
225,4167.68
226,4210.79
227,4171.75
228,4158.22
229,4185.42
230,4235.71
231,4170.30
232,4181.45
233,4207.32
234,4176.17
235,4187.95
236,4162.44
237,4195.32
238,4196.74
239,4144.79
240,4214.87
241,4212.61
242,4142.71
243,4207.53
244,4169.89
245,4136.17
246,4233.23
247,4176.90
248,4213.85
249,4208.33
250,4146.49
251,4195.32
252,4153.30
253,4190.43
254,4194.39
255,4219.56
256,4135.30
257,4239.59
258,4166.84
259,4177.19
260,4118.66
261,4195.12
262,4145.38
263,4232.11
264,4131.23
265,4225.61
266,4198.57
267,4138.63
268,4166.67
269,4128.93
270,4182.36
271,4181.06
272,4191.25
273,4224.37
274,4175.15
275,4126.02
276,4211.60
277,4135.14
278,4255.79
279,4173.60
280,4211.60
281,4150.81
282,4211.60
283,4144.31
284,4186.99
285,4180.02
286,4192.03
287,4189.60
288,4164.97
289,4235.06
290,4127.03
291,4175.15
292,4175.15
293,4221.20
294,4224.49
295,4185.42
296,4149.54
297,4227.87
298,4171.75
299,4139.65
300,4190.48
301,4225.28
302,4134.42
303,4181.54
304,4186.99
305,4215.45
306,4164.97
307,4185.34
308,4117.65
309,4212.61
310,4175.15
311,4185.42
312,4215.89
313,4172.59
314,4194.30
315,4179.04
316,4166.67
317,4163.45
318,4175.15
319,4201.04
320,4115.07
321,4200.40
322,4161.75
323,4206.51
324,4154.31
325,4185.88
326,4193.25
327,4178.39
328,4151.89
329,4206.51
330,4179.88
331,4146.34
332,4116.63
333,4167.35
334,4238.49
335,4248.46
336,4177.19
337,4194.73
338,4126.90
339,4170.91
340,4198.78
341,4125.00
342,4179.41
343,4176.72
344,4095.63
345,4237.56
346,4168.87
347,4150.71
348,4139.82
349,4231.10
