Time (s),Bitrate (Bps)
0,136191.66
1,133647.79
2,137977.39
3,124846.47
4,93109.52
5,88920.70
6,97784.23
7,97452.28
8,39719.79
9,14820.25
10,11430.74
11,14928.72
12,9252.07
13,15667.36
14,12335.41
15,8302.59
16,18324.66
17,11607.03
18,11740.39
19,13924.90
20,13537.27
21,14232.99
22,14324.72
23,13527.89
24,13913.99
25,14435.87
26,13440.63
27,14272.16
28,16637.77
29,11917.09
30,13031.15
31,12933.88
32,13008.26
33,13149.53
34,13520.70
35,13061.33
36,12749.74
37,12902.46
38,12652.53
39,12786.75
40,12887.97
41,15148.19
42,14426.04
43,13753.88
44,10932.64
45,13737.47
46,14022.44
47,14678.02
48,12892.23
49,11546.31
50,5837.14
51,11503.63
52,10307.29
53,7045.22
54,14694.47
55,11327.33
56,13172.75
57,16720.66
58,15175.92
59,14408.67
60,12773.29
61,12769.77
62,17040.60
63,4976.19
64,13309.84
65,9615.54
66,10975.18
67,14731.40
68,19526.80
69,12265.91
70,13378.52
71,12879.14
72,13611.40
73,12946.23
74,13755.69
75,12566.12
76,11179.57
77,9912.55
78,5620.33
79,11457.17
80,12387.80
81,10299.79
82,9167.70
83,11583.51
84,14028.84
85,8653.96
86,9626.29
87,8710.17
88,11934.72
89,14795.22
90,11942.03
91,9359.21
92,10300.00
93,16540.21
94,10952.43
95,20963.88
96,12156.48
97,16503.62
98,13853.73
99,61263.65
100,58075.18
101,68671.83
102,67708.20
103,66985.57
104,64664.26
105,85596.89
106,82200.62
107,60682.15
108,56996.90
109,85864.67
110,85619.83
111,82044.61
112,186511.39
113,143951.35
114,97031.09
115,93529.41
116,93719.59
117,44413.90
118,39226.94
119,50019.65
120,70943.12
121,81504.63
122,43580.31
123,46645.79
124,60139.92
125,57996.89
126,54034.09
127,66497.93
128,81120.21
129,76847.51
130,51210.08
131,75776.86
132,77506.71
133,90369.57
134,68259.57
135,72239.67
136,117475.65
137,67399.38
138,48626.17
139,43289.99
140,29885.68
141,24577.75
142,45291.62
143,47187.63
144,79979.21
145,98393.15
146,104285.57
147,75590.49
148,70743.80
149,45937.95
150,33378.49
151,27594.43
152,40695.65
153,55931.25
154,71389.64
155,81712.67
156,75526.86
157,92150.83
158,59102.91
159,66624.22
160,36245.34
161,47311.27
162,88905.24
163,70744.91
164,38175.62
165,29618.41
166,47816.12
167,49726.45
168,60100.85
169,103614.75
170,115697.72
171,80765.25
172,64855.37
173,70437.88
174,109117.34
175,114884.24
176,106490.18
177,102632.02
178,99993.87
179,87750.52
180,146913.40
181,132359.88
182,70769.39
183,19097.21
184,21649.79
185,62915.89
186,150099.07
187,97387.46
188,92818.18
189,165382.63
190,60549.22
191,32552.90
192,70702.67
193,62274.43
194,64289.56
195,52000.00
196,51946.72
197,48276.29
198,33288.38
199,73493.80
200,97425.03
201,43405.57
202,123364.67
203,134410.82
204,163284.19
205,150247.14
206,190516.55
207,96141.48
208,52554.52
209,61251.04
210,79066.52
211,86482.33
212,78890.38
213,50173.52
214,47195.63
215,18796.76
216,20291.49
217,36247.99
218,32534.19
219,88682.05
220,89970.09
221,67310.31
222,56508.04
223,58290.58
224,22643.39
225,30936.39
226,77931.75
227,57791.93
228,35930.48
229,36282.28
230,40730.77
231,28093.45
232,29128.26
233,39493.49
234,58983.42
235,69583.85
236,108424.43
237,148794.62
238,128607.88
239,108245.49
240,91416.49
241,154635.23
242,91105.85
243,66713.25
244,62725.96
245,83101.50
246,127218.20
247,84007.25
248,63950.46
249,34162.36
250,62989.69
251,78682.19
252,86685.57
253,56333.67
254,91266.74
255,59742.50
256,78401.87
257,51709.64
258,43714.58
259,54576.73
260,70910.46
261,41697.85
262,52920.29
263,62432.71
264,136347.51
265,138435.10
266,136552.10
267,75369.50
268,68839.04
269,69553.11
270,82286.16
271,91400.00
272,98933.19
273,87958.79
274,67142.56
275,54265.01
276,51402.07
277,69581.95
278,34890.16
279,22873.53
280,26048.13
281,35666.33
282,36808.62
283,30585.32
284,24834.71
285,52533.75
286,95417.18
287,159939.91
288,128794.82
289,61483.94
290,56858.92
291,133152.17
292,74210.80
293,30161.66
294,76046.58
295,66974.28
296,85640.12
297,105879.52
298,75731.63
299,46644.87
300,67991.43
301,137037.07
302,50441.24
303,47117.46
304,95597.94
305,82323.53
306,150138.42
307,161181.82
308,106288.52
309,115804.37
310,105565.49
311,118034.45
312,124569.34
313,121254.03
314,166755.69
315,139283.88
316,45849.40
317,133796.68
318,98109.72
319,80322.51
320,129509.84
321,223312.17
322,96709.84
323,101690.95
324,100964.93
325,93024.97
326,94878.79
327,83120.21
328,72231.51
329,66445.78
330,93445.60
331,38845.66
332,17472.95
333,54567.43
334,43798.55
335,36230.61
336,145022.53
337,184794.24
338,187346.42
339,195963.79
340,155590.36
341,138774.09
342,159792.14
343,176036.23
344,178543.22
345,109233.40
346,151774.79
347,47944.16
348,112768.70
