Chunk Index,Relative Timestamp Difference (μs)
0,946645
1,916645
2,886645
3,856645
4,826645
5,796645
6,766645
7,736645
8,706646
9,676645
10,646645
11,616645
12,586645
13,556645
14,526645
15,496645
16,466645
17,436645
18,406645
19,376645
20,346645
21,316645
22,286645
23,256645
24,226645
25,196645
26,166645
27,136645
28,106645
29,76645
30,46645
31,16645
32,56618
33,26619
34,67263
35,37263
36,7263
37,46640
38,16640
39,56640
40,26640
41,68528
42,38528
43,8528
44,46632
45,16632
46,56635
47,26635
48,68456
49,38456
50,8456
51,46613
52,16613
53,56633
54,26633
55,66655
56,36655
57,6656
58,46565
59,16565
60,56633
61,26633
62,66626
63,36626
64,6626
65,46628
66,16628
67,56641
68,26641
69,66639
70,36639
71,6639
72,47066
73,17066
74,56650
75,26650
76,66581
77,36581
78,6581
79,49265
80,19265
81,56611
82,26611
83,66626
84,36626
85,6626
86,48418
87,18418
88,56598
89,26598
90,7040
91,3886
92,5058
93,3835
94,3267
95,3254
96,3281
97,3278
98,3254
99,3243
100,176
101,630
102,1029
103,3251
104,3254
105,3251
106,3220
107,3854
108,4019
109,3209
110,3224
111,3229
112,3217
113,3226
114,3199
115,3220
116,290
117,1819
118,1774
119,3199
120,3190
121,3198
122,3197
123,3500
124,4845
125,3579
126,3111
127,3168
128,3162
129,3149
130,3151
131,3155
132,3162
133,1600
134,654
135,3152
136,3143
137,3195
138,3125
139,3410
140,3978
141,4247
142,3350
143,3104
144,3118
145,391
146,33133
147,3133
148,3113
149,3112
150,289
151,2985
152,3094
153,197
154,3101
155,3076
156,3110
157,3555
158,5173
159,4127
160,3068
161,3076
162,3058
163,3086
164,3077
165,3071
166,3055
167,664
168,616
169,217
170,3042
171,3051
172,3054
173,3051
174,3988
175,4925
176,3016
177,3007
178,3010
179,3020
180,3020
181,3031
182,3010
183,407
184,2993
185,3025
186,122
187,2984
188,3004
189,2989
190,6064
191,2954
192,3169
193,2712
194,2977
195,2966
196,2972
197,2954
198,2965
199,2656
200,2955
201,2959
202,2954
203,2955
204,2947
205,2927
206,3647
207,2918
208,2903
209,2915
210,2932
211,2930
212,2911
213,2915
214,2918
215,2259
216,452
217,1120
218,2902
219,2904
220,2879
221,2907
222,3699
223,2858
224,2877
225,2883
226,2870
227,2882
228,2871
229,3374
230,2871
231,2506
232,751
233,32
234,2853
235,2834
236,2845
237,2846
238,4377
239,3870
240,3207
241,2819
242,2806
243,2807
244,2850
245,2818
246,2826
247,1400
248,2847
249,2799
250,2793
251,2794
252,2800
253,2796
254,4604
255,3764
256,2769
257,2787
258,2764
259,2784
260,2779
261,2750
262,2783
263,609
264,823
265,2773
266,2761
267,2743
268,2755
269,2760
270,3726
271,3421
272,3528
273,3337
274,2712
275,2732
276,2728
277,2722
278,2724
279,178
280,2722
281,2733
282,2724
283,2711
284,2713
285,2700
286,3618
287,13196
288,2637
289,2676
290,2688
291,2669
292,2686
293,2665
294,2678
295,382
296,2657
297,2665
298,2669
299,2675
300,2650
301,2658
302,3469
303,2626
304,2632
305,2635
306,2648
307,2647
308,2614
309,2627
310,2567
311,2640
312,771
313,2634
314,219
315,2579
316,2578
317,2551
318,5305
319,3648
320,2660
321,2574
322,2582
323,2578
324,2574
325,2574
326,2575
327,2568
328,485
329,2573
330,2571
331,2577
332,2582
333,2592
334,5046
335,938
336,2587
337,2558
338,2530
339,2554
340,2563
341,2534
342,2563
343,1001
344,697
345,2522
346,434
347,2531
348,2512
349,2523
350,3940
351,4101
352,3831
353,2525
354,2488
355,2497
356,2491
357,2484
358,2483
359,299
360,1291
361,2502
362,2476
363,2470
364,2477
365,2468
366,3997
367,3710
368,2376
369,2451
370,2458
371,2438
372,2427
373,2441
374,2435
375,1079
376,790
377,5
378,2434
379,2422
380,2418
381,2404
382,4068
383,3980
384,2869
385,2404
386,2400
387,2397
388,5152
389,2396
390,2394
391,627
392,529
393,2391
394,2384
395,2378
396,2365
397,2375
398,3941
399,4165
400,3576
401,2316
402,2352
403,2351
404,2345
405,2348
406,2334
407,2331
408,2338
409,322
410,1425
411,2332
412,2313
413,2416
414,3798
415,3491
416,2768
417,2317
418,2314
419,2280
420,2310
421,2294
422,2305
423,2293
424,942
425,2292
426,2286
427,2282
428,2278
429,2281
430,2497
431,4083
432,2249
433,2263
434,2259
435,2253
436,2264
437,2240
438,2244
439,25
440,1372
441,2235
442,2244
443,2237
444,2224
445,2233
446,2608
447,4852
448,2197
449,2208
450,2208
451,2227
452,2200
453,2187
454,2198
455,2201
456,1490
457,2190
458,665
459,2185
460,2182
461,2170
462,2482
463,3731
464,2803
465,2135
466,2160
467,2158
468,2168
469,2161
470,2152
471,2151
472,700
473,2147
474,2152
475,2144
476,2148
477,2121
478,2481
479,3736
480,2893
481,2110
482,2125
483,2109
484,2115
485,2113
486,2097
487,2105
488,243
489,420
490,764
491,2084
492,2088
493,2083
494,2509
495,4477
496,2974
497,2050
498,2071
499,2061
500,2059
501,2065
502,2052
503,2042
504,1070
505,2053
506,50
507,2032
508,2060
509,2038
510,2496
511,4050
512,2993
513,2018
514,2004
515,2017
516,2016
517,2002
518,1999
519,2005
520,488
521,2026
522,1997
523,1979
524,1987
525,1988
526,2438
527,3940
528,2913
529,1963
530,1984
531,1982
532,1959
533,1960
534,1959
535,1955
536,1312
537,1959
538,1952
539,1952
540,1947
541,1934
542,2525
543,4735
544,2925
545,1860
546,1913
547,1915
548,1906
549,1918
550,1907
551,2903
552,609
553,468
554,1905
555,1895
556,1894
557,1893
558,2136
559,4008
560,2900
561,1878
562,1886
563,1871
564,1876
565,1883
566,1884
567,1857
568,1214
569,41
570,1864
571,1866
572,1859
573,1844
574,2162
575,3709
576,2300
577,2339
578,1825
579,1828
580,1831
581,1817
582,1822
583,1823
584,1000
585,1810
586,981
587,1799
588,1802
589,1806
590,1787
591,4271
592,1754
593,1761
594,1757
595,1779
596,1775
597,1770
598,1762
599,1737
600,574
601,1721
602,1763
603,1744
604,1747
605,1718
606,2012
607,4030
608,1708
609,1719
610,1735
611,1720
612,1721
613,1706
614,1709
615,1720
616,1705
617,1706
618,1685
619,1697
620,1711
621,1665
622,1687
623,2903
624,1670
625,1656
626,1680
627,1680
628,1658
629,1678
630,1670
631,1668
632,1661
633,1670
634,1662
635,1649
636,1652
637,1644
638,2661
639,2561
640,1608
641,1609
642,1553
643,1617
644,1618
645,1572
646,1575
647,1580
648,1571
649,1625
650,1582
651,1588
652,1607
653,3197
654,1560
655,1743
656,2279
657,1569
658,1568
659,1577
660,1572
661,1582
662,1594
663,1560
664,1545
665,1571
666,1562
667,1547
668,1549
669,1551
670,1552
671,3645
672,1815
673,1529
674,1524
675,1525
676,1511
677,1512
678,1527
679,1551
680,1518
681,1525
682,1489
683,1510
684,1515
685,1498
686,1494
687,3322
688,1481
689,1477
690,1493
691,2285
692,1494
693,1499
694,1442
695,1489
696,194
697,1468
698,680
699,1446
700,1463
701,1460
702,1432
703,3343
704,1426
705,2233
706,1429
707,1418
708,1431
709,1439
710,1432
711,1417
712,1417
713,1401
714,1412
715,1417
716,1401
717,1377
718,1380
719,3099
720,1466
721,1382
722,1382
723,1379
724,1376
725,1376
726,1368
727,1368
728,1363
729,1384
730,1777
731,1371
732,1355
733,1376
734,1339
735,4840
736,1338
737,1335
738,1356
739,1328
