Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,7890447520231,12066662,7890435453569,13355
1,7890447520231,12099987,7890435453569,13355
2,7890447610231,12166635,7890435443596,3382
3,7890447610231,12199973,7890435443596,3382
4,7890447730231,12267280,7890435462951,22737
5,7890447730231,12299990,7890435462951,22737
6,7890447820231,12366657,7890435453574,13360
7,7890447820231,12400264,7890435453574,13360
8,7890447910231,12466657,7890435443574,3360
9,7890447910231,12499978,7890435443574,3360
10,7890448030231,12568545,7890435461686,21472
11,7890448030231,12600024,7890435461686,21472
12,7890448120231,12666649,7890435453582,13368
13,7890448120231,12699974,7890435453582,13368
14,7890448210231,12766652,7890435443579,3365
15,7890448210231,12800541,7890435443579,3365
16,7890448330231,12868473,7890435461758,21544
17,7890448330231,12899986,7890435461758,21544
18,7890448420231,12966630,7890435453601,13387
19,7890448420231,12999969,7890435453601,13387
20,7890448510231,13066650,7890435443581,3367
21,7890448510231,13100323,7890435443581,3367
22,7890448630230,13166672,7890435463558,23344
23,7890448630230,13199989,7890435463558,23344
24,7890448720231,13266582,7890435453649,13435
25,7890448720231,13299973,7890435453649,13435
26,7890448810231,13366650,7890435443581,3367
27,7890448810231,13399963,7890435443581,3367
28,7890448930231,13466643,7890435463588,23374
29,7890448930231,13499980,7890435463588,23374
30,7890449020231,13566645,7890435453586,13372
31,7890449020231,13599968,7890435453586,13372
32,7890449110231,13666658,7890435443573,3359
33,7890449110231,13700401,7890435443573,3359
34,7890449230231,13766656,7890435463575,23361
35,7890449230231,13799956,7890435463575,23361
36,7890449320231,13867083,7890435453148,12934
37,7890449320231,13899974,7890435453148,12934
38,7890449410231,13966667,7890435443564,3350
39,7890449410231,14000377,7890435443564,3350
40,7890449530231,14066598,7890435463633,23419
41,7890449530231,14099965,7890435463633,23419
42,7890449620231,14169282,7890435450949,10735
43,7890449620231,14199965,7890435450949,10735
44,7890449710231,14266628,7890435443603,3389
45,7890449710231,14299966,7890435443603,3389
46,7890449830231,14366643,7890435463588,23374
47,7890449830231,14400797,7890435463588,23374
48,7890449920231,14468435,7890435451796,11582
49,7890449920231,14499972,7890435451796,11582
50,7890466510231,31033145,7890435477086,36872
51,7890466510231,31066466,7890435477086,36872
