Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,1
31,2
32,3
33,4
34,5
35,6
36,7
37,8
38,9
39,10
40,11
41,12
42,13
43,14
44,15
45,16
46,17
47,18
48,19
49,20
50,21
51,22
52,23
53,24
54,25
55,26
56,27
57,28
58,29
59,30
60,31
61,32
62,33
63,34
64,35
65,36
66,37
67,38
68,39
69,40
70,41
71,42
72,43
73,44
74,45
75,46
76,47
77,48
78,49
79,50
80,51
81,52
82,53
83,54
84,55
85,56
86,57
87,58
88,59
89,60
90,61
91,62
92,63
93,64
94,65
95,66
96,67
97,68
98,69
99,70
100,71
101,72
102,73
103,74
104,75
105,76
106,77
107,78
108,79
109,80
110,81
111,82
112,83
113,84
114,85
115,83
116,84
117,85
118,86
119,84
120,85
121,86
122,87
123,88
124,89
125,90
126,88
127,89
128,90
129,91
130,92
131,90
132,91
133,92
134,93
135,94
136,92
137,93
138,94
139,95
140,96
141,97
142,95
143,96
144,97
145,98
146,99
147,97
148,98
149,99
150,100
151,101
152,99
153,100
154,101
155,102
156,103
157,104
158,105
159,103
160,104
161,105
162,106
163,104
164,105
165,106
166,107
167,108
168,106
169,107
170,108
171,109
172,110
173,111
174,112
175,110
176,111
177,112
178,113
179,111
180,112
181,113
182,114
183,115
184,116
185,114
186,115
187,116
188,117
189,118
190,119
191,117
192,118
193,119
194,120
195,121
196,119
197,120
198,121
199,122
200,123
201,121
202,122
203,123
204,124
205,125
206,126
207,124
208,125
209,126
210,127
211,128
212,126
213,127
214,128
215,129
216,130
217,128
218,129
219,130
220,131
221,132
222,133
223,134
224,132
225,133
226,134
227,135
228,133
229,134
230,135
231,136
232,137
233,135
234,136
235,137
236,138
237,139
238,140
239,141
240,139
241,140
242,141
243,142
244,143
245,141
246,142
247,143
248,144
249,144
250,145
251,145
252,146
253,147
254,147
255,148
256,148
257,149
258,149
259,149
260,150
261,150
262,150
263,151
264,151
265,152
266,152
267,153
268,153
269,154
270,154
271,155
272,155
273,156
274,156
275,157
276,157
277,157
278,158
279,158
280,158
281,159
282,159
283,160
284,160
285,161
286,162
287,162
288,162
289,163
290,163
291,164
292,164
293,164
294,165
295,165
296,166
297,166
298,166
299,167
300,167
301,168
302,169
303,169
304,170
305,170
306,170
307,171
308,171
309,171
310,172
311,172
312,173
313,173
314,173
315,174
316,174
317,175
318,176
319,176
320,177
321,177
322,177
323,178
324,178
325,179
326,179
327,180
328,180
329,180
330,180
331,181
332,181
333,182
334,183
335,184
336,184
337,184
338,185
339,185
340,185
341,186
342,186
343,187
344,187
345,187
346,188
347,188
348,188
349,189
350,190
351,191
352,191
353,191
354,192
355,192
356,193
357,193
358,193
359,194
360,194
361,194
362,195
363,195
364,196
365,196
366,197
367,198
368,198
369,198
370,199
371,199
372,200
373,200
374,200
375,201
376,201
377,202
378,202
379,202
380,203
381,203
382,204
383,205
384,205
385,206
386,206
387,206
388,207
389,207
390,208
391,208
392,208
393,209
394,209
395,210
396,210
397,210
398,211
399,212
400,212
401,213
402,213
403,214
404,214
405,214
406,215
407,215
408,215
409,216
410,216
411,217
412,217
413,218
414,219
415,219
416,220
417,220
418,220
419,221
420,221
421,221
422,222
423,222
424,223
425,223
426,223
427,224
428,224
429,225
430,226
431,226
432,227
433,227
434,228
435,228
436,228
437,228
438,229
439,229
440,230
441,230
442,230
443,231
444,231
445,232
446,233
447,233
448,234
449,234
450,235
451,235
452,235
453,236
454,236
455,236
456,237
457,237
458,238
459,238
460,238
461,239
462,239
463,240
464,241
465,241
466,242
467,242
468,242
469,243
470,243
471,244
472,244
473,244
474,245
475,245
476,245
477,246
478,246
479,247
480,248
481,248
482,249
483,249
484,250
485,250
486,250
487,251
488,251
489,251
490,252
491,252
492,253
493,253
494,254
495,254
496,255
497,256
498,256
499,256
500,257
501,257
502,258
503,258
504,258
505,259
506,259
507,260
508,260
509,260
510,261
511,261
512,262
513,263
514,263
515,264
516,264
517,264
518,265
519,265
520,265
521,266
522,266
523,267
524,267
525,267
526,268
527,268
528,269
529,270
