Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,7890446540231,0,1,63
1,7890446550231,10000,1,64
2,7890446560231,10000,1,64
3,7890446570231,10000,1,65
4,7890446580231,10000,1,64
5,7890446590231,10000,1,64
6,7890446600231,10000,1,63
7,7890446610231,10000,1,62
8,7890446620231,10000,1,61
9,7890446630231,10000,1,63
10,7890446640231,10000,1,61
11,7890446650231,10000,1,63
12,7890446660231,10000,1,62
13,7890446670231,10000,1,63
14,7890446680231,10000,1,63
15,7890446690231,10000,1,63
16,7890446700231,10000,1,63
17,7890446710231,10000,1,63
18,7890446720231,10000,1,63
19,7890446730231,10000,1,63
20,7890446740231,10000,1,64
21,7890446750231,10000,1,64
22,7890446760231,10000,1,64
23,7890446770231,10000,1,63
24,7890446780231,10000,1,63
25,7890446790231,10000,1,61
26,7890446800231,10000,1,62
27,7890446810231,10000,1,63
28,7890446820231,10000,1,63
29,7890446830231,10000,1,63
30,7890446840231,10000,1,63
31,7890446850231,10000,1,63
32,7890446860231,10000,1,63
33,7890446870231,10000,1,63
34,7890446880231,10000,1,63
35,7890446890231,10000,1,64
36,7890446900231,10000,1,63
37,7890446910231,10000,1,62
38,7890446920231,10000,1,64
39,7890446930231,10000,1,63
40,7890446940231,10000,1,64
41,7890446950231,10000,1,81
42,7890446960231,10000,1,66
43,7890446970231,10000,1,64
44,7890446980231,10000,1,66
45,7890446990231,10000,1,76
46,7890447000231,10000,1,63
47,7890447010231,10000,1,63
48,7890447020231,10000,1,63
49,7890447030231,10000,1,62
50,7890447040231,10000,1,62
51,7890447050231,10000,1,63
52,7890447060231,10000,1,65
53,7890447070231,10000,1,63
54,7890447080231,10000,1,63
55,7890447090231,10000,1,63
56,7890447100231,10000,1,63
57,7890447110231,10000,1,63
58,7890447120231,10000,1,63
59,7890447130231,10000,1,63
60,7890447140231,10000,1,63
61,7890447150231,10000,1,63
62,7890447160231,10000,1,63
63,7890447170231,10000,1,63
64,7890447180231,10000,1,63
65,7890447190231,10000,1,63
66,7890447200231,10000,1,63
67,7890447210231,10000,1,63
68,7890447220231,10000,1,63
69,7890447230231,10000,1,63
70,7890447240231,10000,1,63
71,7890447250231,10000,1,63
72,7890447260231,10000,1,63
73,7890447270231,10000,1,63
74,7890447280231,10000,1,63
75,7890447290231,10000,1,63
76,7890447300231,10000,1,63
77,7890447310231,10000,1,63
78,7890447320231,10000,1,63
79,7890447330231,10000,1,63
80,7890447340231,10000,1,63
81,7890447350231,10000,1,63
82,7890447360231,10000,1,63
83,7890447370231,10000,1,63
84,7890447380231,10000,1,63
85,7890447390231,10000,1,63
86,7890447400231,10000,1,63
87,7890447410231,10000,1,63
88,7890447420231,10000,1,63
89,7890447440231,20000,1,63
90,7890447430231,-10000,1,63
91,7890447450231,20000,1,63
92,7890447460231,10000,1,62
93,7890447470231,10000,1,64
94,7890447480231,10000,1,63
95,7890447490231,10000,1,63
96,7890447500231,10000,1,63
97,7890447510231,10000,1,63
98,7890447520231,10000,1,63
99,7890447530231,10000,1,63
100,7890447540231,10000,1,63
101,7890447550231,10000,1,63
102,7890447560231,10000,1,63
103,7890447570231,10000,1,63
104,7890447580231,10000,1,63
105,7890447590231,10000,1,63
106,7890447600231,10000,1,63
107,7890447610231,10000,1,63
108,7890447620231,10000,1,63
109,7890447630231,10000,1,63
110,7890447640231,10000,1,63
111,7890447650231,10000,1,63
112,7890447660231,10000,1,62
113,7890447670231,10000,1,64
114,7890447680231,10000,1,63
115,7890447690231,10000,1,61
116,7890447700231,10000,1,63
117,7890447710231,10000,1,63
118,7890447720231,10000,1,61
119,7890447730231,10000,1,62
120,7890447740231,10000,1,63
121,7890447750231,10000,1,61
122,7890447760231,10000,1,61
123,7890447770231,10000,1,62
124,7890447780231,10000,1,59
125,7890447790231,10000,1,61
126,7890447800231,10000,1,60
127,7890447810231,10000,1,60
128,7890447820231,10000,1,59
129,7890447830231,10000,1,61
130,7890447840231,10000,1,60
131,7890447850231,10000,1,59
132,7890447860231,10000,1,60
133,7890447870231,10000,1,62
134,7890447880231,10000,1,62
135,7890447890231,10000,1,63
136,7890447900231,10000,1,63
137,7890447910231,10000,1,63
138,7890447920231,10000,1,63
139,7890447930231,10000,1,63
140,7890447940231,10000,1,63
141,7890447950231,10000,1,63
142,7890447960231,10000,1,63
143,7890447970231,10000,1,63
144,7890447980231,10000,1,63
145,7890447990231,10000,1,63
146,7890448000231,10000,1,63
147,7890448010231,10000,1,63
148,7890448020231,10000,1,63
149,7890448030231,10000,1,64
150,7890448040231,10000,1,63
151,7890448050231,10000,1,79
152,7890448060231,10000,1,62
153,7890448070231,10000,1,64
154,7890448080231,10000,1,65
155,7890448090231,10000,1,63
156,7890448100231,10000,1,65
157,7890448110231,10000,1,64
158,7890448120231,10000,1,67
159,7890448130231,10000,1,67
160,7890448140231,10000,1,65
161,7890448150231,10000,1,64
162,7890448160231,10000,1,70
163,7890448170231,10000,1,63
164,7890448180231,10000,1,63
165,7890448190231,10000,1,63
166,7890448200231,10000,1,63
167,7890448210231,10000,1,63
168,7890448220231,10000,1,62
169,7890448230231,10000,1,64
170,7890448240231,10000,1,61
171,7890448250231,10000,1,60
172,7890448260231,10000,1,61
173,7890448270231,10000,1,64
174,7890448280231,10000,1,63
175,7890448290231,10000,1,61
176,7890448300231,10000,1,62
177,7890448310231,10000,1,61
178,7890448320231,10000,1,63
179,7890448330231,10000,1,65
180,7890448340231,10000,1,65
181,7890448350231,10000,1,70
182,7890448360231,10000,1,63
183,7890448370231,10000,1,63
184,7890448380231,10000,1,63
185,7890448390231,10000,1,63
186,7890448400231,10000,1,63
187,7890448410231,10000,1,63
188,7890448420231,10000,1,63
189,7890448430231,10000,1,63
190,7890448440231,10000,1,63
191,7890448450231,10000,1,63
192,7890448460231,10000,1,63
193,7890448470231,10000,1,63
194,7890448480231,10000,1,63
195,7890448490231,10000,1,63
196,7890448500231,10000,1,63
197,7890448510231,10000,1,63
198,7890448520231,10000,1,63
199,7890448530231,10000,1,63
200,7890448540231,10000,1,63
201,7890448550231,10000,1,63
202,7890448560231,10000,1,63
203,7890448570231,10000,1,63
204,7890448580231,10000,1,63
205,7890448590231,10000,1,63
206,7890448600231,10000,1,63
207,7890448610231,10000,1,63
208,7890448620231,10000,1,63
209,7890448630231,10000,1,63
210,7890448640231,10000,1,63
211,7890448650231,10000,1,63
212,7890448660231,10000,1,63
213,7890448670231,10000,1,63
214,7890448680231,10000,1,63
215,7890448690231,10000,1,63
216,7890448700231,10000,1,63
217,7890448710231,10000,1,63
218,7890448720231,10000,1,63
219,7890448730231,10000,1,63
220,7890448740231,10000,1,63
221,7890448750231,10000,1,63
222,7890448760231,10000,1,63
223,7890448770231,10000,1,63
224,7890448780231,10000,1,63
225,7890448790231,10000,1,63
226,7890448800231,10000,1,63
227,7890448810231,10000,1,63
228,7890448820231,10000,1,63
229,7890448830231,10000,1,63
230,7890448840231,10000,1,63
231,7890448850231,10000,1,63
232,7890448860231,10000,1,63
233,7890448870231,10000,1,63
234,7890448880231,10000,1,63
235,7890448890231,10000,1,63
236,7890448900231,10000,1,63
237,7890448910231,10000,1,63
238,7890448920231,10000,1,63
239,7890448930231,10000,1,63
240,7890448940231,10000,1,63
241,7890448950231,10000,1,63
242,7890448960231,10000,1,63
243,7890448970231,10000,1,63
244,7890448980231,10000,1,63
245,7890448990231,10000,1,63
246,7890449000231,10000,1,63
247,7890449010231,10000,1,63
248,7890449020231,10000,1,63
