Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,11100017,0,0,6319
1,11133356,33339,0,4770
2,11166666,33310,0,5004
3,11200641,33975,0,4478
4,11233341,32700,0,4820
5,11268671,35330,0,4692
6,11300018,31347,0,4601
7,11333320,33302,0,4816
8,11366661,33341,0,4205
9,11399996,33335,0,3561
10,11433341,33345,0,4743
11,11466665,33324,0,3962
12,11503472,36807,0,4049
13,11533343,29871,0,4650
14,11566652,33309,0,4086
15,11600008,33356,0,4198
16,11633325,33317,0,3239
17,11666689,33364,0,4128
18,11699998,33309,0,4141
19,11733410,33412,0,3781
20,11766644,33234,0,4361
21,11800000,33356,0,4292
22,11833351,33351,0,4109
23,11866648,33297,0,4369
24,11899985,33337,0,3532
25,11933319,33334,0,4034
26,11966663,33344,0,4249
27,12000013,33350,0,4005
28,12033949,33936,0,3892
29,12066662,32713,1,3902
30,12099987,33325,0,6688
31,12133310,33323,0,4582
32,12166635,33325,0,4772
33,12199973,33338,0,4788
34,12233335,33362,0,4510
35,12267280,33945,0,4487
36,12299990,32710,0,5114
37,12334690,34700,0,4566
38,12366657,31967,0,4350
39,12400264,33607,0,4242
40,12433330,33066,0,3508
41,12466657,33327,0,4378
42,12499978,33321,0,4277
43,12533325,33347,0,4300
44,12568545,35220,0,3770
45,12600024,31479,0,4289
46,12633310,33286,0,4268
47,12666649,33339,0,3473
48,12699974,33325,0,4147
49,12733315,33341,0,4365
50,12766652,33337,0,4526
51,12800541,33889,0,4067
52,12833336,32795,0,3983
53,12868473,35137,0,4316
54,12899986,31513,0,4146
55,12933323,33337,0,3909
56,12966630,33307,0,4181
57,12999969,33339,0,4396
58,13033310,33341,0,4388
59,13066650,33340,1,4182
60,13100323,33673,0,6925
61,13133321,32998,0,4553
62,13166672,33351,0,4471
63,13199989,33317,0,4404
64,13233288,33299,0,5077
65,13266582,33294,0,4558
66,13299973,33391,0,4430
67,13333582,33609,0,4429
68,13366650,33068,0,4448
69,13399963,33313,0,4710
70,13433303,33340,0,4685
71,13466643,33340,0,4462
72,13499980,33337,0,3896
73,13533300,33320,0,4379
74,13566645,33345,0,4367
75,13599968,33323,0,4474
76,13635060,35092,0,4424
77,13666658,31598,0,4395
78,13700401,33743,0,4186
79,13733324,32923,0,3790
80,13766656,33332,0,4118
81,13799956,33300,0,4367
82,13833286,33330,0,4487
83,13867083,33797,0,4707
84,13899974,32891,0,4549
85,13933300,33326,0,4542
86,13966667,33367,0,4233
87,14000377,33710,0,4036
88,14033313,32936,0,3738
89,14066598,33285,1,4462
90,14099965,33367,0,7166
91,14133305,33340,0,4401
92,14169282,35977,0,4415
93,14199965,30683,0,4414
94,14233274,33309,0,4492
95,14266628,33354,0,4262
96,14299966,33338,0,4246
97,14333310,33344,0,4199
98,14366643,33333,0,4122
99,14400797,34154,0,4220
100,14433315,32518,0,4085
101,14468435,35120,0,4029
102,14499972,31537,0,4133
103,14533305,33333,0,3984
104,14566615,33310,0,3856
105,14599971,33356,0,3633
106,14637057,37086,0,3486
107,14666594,29537,0,3624
108,14701904,35310,0,3690
109,14733323,31419,0,3748
110,14766607,33284,0,3867
111,14799968,33361,0,3666
112,14833300,33332,0,3672
113,14866579,33279,0,3553
114,14899945,33366,0,3625
115,14933903,33958,0,3420
116,14966583,32680,0,3297
117,15001442,34859,0,3267
118,15033309,31867,0,3579
119,15066595,33286,1,4620
120,15099963,33368,0,6930
121,15133293,33330,0,3349
122,15166579,33286,0,3221
123,15199958,33379,0,3250
124,15235074,35116,0,3360
125,15266599,31525,0,3185
126,15299995,33396,0,3364
127,15333315,33320,0,3035
128,15366593,33278,0,3240
129,15399949,33356,0,3068
130,15433289,33340,0,3027
131,15467017,33728,0,3051
132,15499956,32939,0,2985
133,15533852,33896,0,2899
134,15566623,32771,0,3154
135,15600249,33626,0,2719
136,15633299,33050,0,2893
137,15666596,33297,0,2812
138,15700058,33462,0,2628
139,15733300,33242,0,2648
140,15768677,35377,0,2471
141,15799960,31283,0,2421
142,15833284,33324,0,2598
143,15866581,33297,0,2225
144,15899949,33368,0,2210
145,15933287,33338,0,2226
146,15966601,33314,0,2154
147,16000373,33772,0,2066
148,16033961,33588,0,1864
149,16068722,34761,1,4670
150,16099950,31228,0,6770
151,16133271,33321,0,1798
152,16166593,33322,0,1503
153,16199949,33356,0,1330
154,16233267,33318,0,1127
155,16266593,33326,0,1360
156,16301897,35304,0,1108
157,16333283,31386,0,1039
158,16366580,33297,0,1069
159,16399945,33365,0,1181
160,16433298,33353,0,621
161,16466612,33314,0,14941
162,16499942,33330,0,4239
163,16533808,33866,0,2993
164,16566594,32786,0,2719
165,16601675,35081,0,2541
166,16633297,31622,0,2721
167,16666618,33321,0,2616
168,16699978,33360,0,2963
169,16733295,33317,0,2648
170,16766597,33302,0,2728
171,16799946,33349,0,2927
172,16835340,35394,0,2828
173,16866599,31259,0,2808
