Time (s),Bitrate (Bps)
0,4350.15
1,3890.80
2,4049.65
3,4211.38
4,4145.77
5,4175.68
6,4051.99
7,4162.44
8,4204.27
9,4132.73
10,4143.00
11,4172.38
12,4239.96
13,4185.42
14,4137.61
15,4211.60
16,4172.94
17,4157.20
18,4184.77
19,4207.53
20,4164.12
21,4178.98
22,4143.73
23,4173.29
24,4209.35
25,4144.59
26,4197.36
27,4222.56
28,4138.63
29,4213.54
30,4149.85
31,4183.67
32,4168.70
33,4196.34
34,4149.69
35,4208.33
36,4166.67
37,4175.15
38,4172.38
39,4120.81
40,4253.31
41,4121.83
42,4179.41
43,4227.87
44,4155.65
45,4187.95
46,4202.93
47,4203.05
48,4167.34
49,4194.92
50,4138.63
51,4240.08
52,4147.66
53,4202.25
54,4170.83
55,4224.49
56,4187.18
57,4147.21
58,4220.18
59,4171.92
60,4175.15
61,4179.41
62,4244.77
63,4117.65
64,4199.80
65,4162.44
66,4170.91
67,4162.44
68,4183.67
69,4137.61
70,4174.13
71,4130.21
72,4210.15
73,4160.57
74,4179.41
75,4212.61
76,4219.16
77,4102.04
78,4176.72
79,4196.52
80,4213.56
81,4115.04
82,4172.94
83,4170.30
84,4257.06
85,4183.67
86,4224.43
87,4137.20
88,4208.33
89,4190.28
90,4134.42
91,4204.06
92,4183.67
93,4133.40
94,4178.39
95,4130.21
96,4225.05
97,4203.46
98,4170.91
99,4208.33
100,4175.15
101,4179.41
102,4135.14
103,4176.83
104,4198.17
105,4186.80
106,4195.72
107,4158.22
108,4175.15
109,4146.07
110,4194.15
111,4146.19
112,4201.02
113,4163.80
114,4163.45
115,4184.77
116,4182.47
117,4190.58
118,4152.44
119,4135.16
120,4204.06
121,4162.44
122,4215.89
123,4199.80
124,4175.15
125,4140.82
126,4142.86
127,4170.91
128,4167.51
129,4183.86
130,4208.76
131,4201.83
132,4175.99
133,4148.07
134,4129.20
135,4145.60
136,4233.03
137,4146.76
138,4127.92
139,4240.08
140,4147.66
141,4205.82
142,4132.25
143,4175.15
144,4183.01
145,4153.85
146,4138.07
147,4216.02
148,4146.79
149,4152.04
150,4080.45
151,4127.03
152,4212.98
153,4135.63
154,4211.60
155,4212.61
156,4146.64
157,4197.10
158,4134.42
159,4179.41
160,4248.98
161,4109.31
162,4162.44
163,4231.24
164,4143.58
165,4182.65
166,4133.40
167,4170.91
168,4183.38
169,4136.78
170,4172.45
171,4216.90
172,4211.60
173,4180.80
174,4151.93
175,4178.57
176,4199.80
177,4202.03
178,4127.03
179,4195.63
180,4287.59
181,4175.38
182,4187.04
183,4194.53
184,4159.23
185,4179.41
186,4170.91
187,4180.06
188,4217.35
189,4196.52
190,4202.93
191,4170.91
192,4204.06
193,4170.91
194,4175.15
195,4169.20
196,4165.14
197,4179.41
198,4211.74
199,4170.56
200,4200.40
201,4168.86
202,4121.83
203,4253.31
204,4175.15
205,4179.41
206,4189.78
207,4158.22
208,4149.19
209,4186.80
210,4177.75
211,4239.96
212,4130.21
213,4181.63
214,4165.45
215,4170.91
216,4208.33
217,4196.75
218,4175.15
219,4189.22
220,4164.12
221,4187.95
222,4231.49
223,4132.99
224,4223.91
225,4158.70
226,4179.23
227,4185.34
228,4175.15
229,4214.07
230,4157.29
231,4168.02
232,4236.07
233,4175.15
234,4183.67
235,4204.06
236,4179.41
237,4175.15
238,4195.40
239,4173.96
240,4212.61
241,4170.91
242,4177.37
243,4214.65
244,4147.66
245,4206.93
246,4181.06
247,4144.46
248,4230.46
249,4171.08
250,4142.71
251,4225.51
252,4175.15
253,4215.89
254,4143.75
255,4182.28
256,4203.85
257,4183.30
258,4179.41
259,4184.77
260,4215.89
261,4162.93
262,4145.62
263,4152.44
264,4196.97
265,4151.58
266,4203.06
267,4165.48
268,4217.35
269,4112.13
270,4123.22
271,4198.17
272,4196.74
273,4155.33
274,4183.67
275,4274.31
276,4183.49
277,4165.63
278,4194.08
279,4146.64
280,4211.38
281,4145.62
282,4169.22
283,4221.54
284,4160.90
285,4220.18
286,4139.44
287,4165.65
288,4165.31
289,4201.63
290,4181.26
291,4205.28
292,4146.64
293,4171.08
294,4221.06
295,4128.93
296,4225.51
297,4162.44
298,4175.15
299,4261.98
300,4179.41
301,4179.41
302,4183.52
303,4136.32
304,4221.88
305,4189.41
306,4170.91
307,4214.87
308,4140.67
309,4204.99
310,4201.02
311,4162.44
312,4176.35
313,4249.75
314,4155.10
315,4208.33
316,4179.41
317,4182.65
318,4121.30
319,4190.43
320,4173.56
321,4123.73
322,4170.91
323,4216.90
324,4175.15
325,4153.37
326,4186.46
327,4174.97
328,4190.48
329,4189.80
330,4187.37
331,4192.07
332,4218.14
333,4096.84
334,4172.38
335,4175.99
336,4198.98
337,4170.91
338,4179.41
339,4208.33
340,4224.72
341,4183.49
342,4105.21
343,4162.44
344,4216.90
345,4207.32
346,4136.46
347,4246.95
348,4173.12
349,4140.67
350,4231.49
351,4150.10
352,4216.46
353,4144.60
354,4264.46
