Time (s),Bitrate (Bps)
0,29879.70
1,37587.14
2,54647.55
3,79627.33
4,96977.32
5,118739.78
6,62175.58
7,15772.02
8,12659.04
9,16053.83
10,11439.13
11,21578.56
12,11682.15
13,16560.37
14,11343.01
15,15203.24
16,10542.36
17,17395.85
18,7047.72
19,14181.63
20,12668.72
21,9309.28
22,11759.59
23,11459.40
24,12055.79
25,15475.70
26,13246.90
27,15871.64
28,12530.99
29,14572.16
30,12767.56
31,16064.18
32,11542.27
33,14956.52
34,12758.30
35,14487.55
36,12319.92
37,14175.98
38,12226.47
39,14175.44
40,11880.95
41,13760.08
42,10945.47
43,13635.43
44,12702.56
45,14054.47
46,11987.63
47,16490.91
48,12192.54
49,14431.54
50,11078.84
51,15741.36
52,11943.18
53,14274.79
54,12640.21
55,13477.63
56,4596.07
57,11482.83
58,10850.00
59,6772.59
60,11858.92
61,12421.05
62,11055.04
63,20184.27
64,12500.00
65,16189.25
66,11297.41
67,13753.89
68,17836.25
69,7476.29
70,3487.10
71,16367.49
72,6028.10
73,16007.23
74,25341.29
75,14027.00
76,13039.30
77,13510.35
78,12752.31
79,14575.29
80,12192.58
81,13171.16
82,12288.98
83,10691.68
84,2964.73
85,14007.20
86,9989.70
87,11615.94
88,5993.81
89,14050.72
90,8360.91
91,12773.66
92,6063.85
93,6777.78
94,10682.47
95,16506.20
96,12542.27
97,10484.94
98,7757.80
99,15556.71
100,9303.63
101,22790.89
102,7686.98
103,17481.87
104,13479.83
105,22773.25
106,14069.86
107,16791.93
108,15891.17
109,15311.34
110,12919.96
111,18008.26
112,15595.24
113,13033.99
114,11813.54
115,15958.51
116,11972.11
117,16486.57
118,17973.08
119,14988.61
120,16913.04
121,13253.36
122,12983.40
123,10182.47
124,8510.37
125,11139.92
126,17456.14
127,13871.90
128,8898.04
129,10873.05
130,12545.36
131,14711.78
132,9193.18
133,15364.20
134,13129.90
135,14535.20
136,9932.50
137,15927.84
138,12427.39
139,15368.26
140,10948.56
141,15307.61
142,15056.82
143,11791.93
144,10228.87
145,9450.31
146,11279.96
147,8570.69
148,10444.80
149,13730.65
150,16681.49
151,95311.53
152,88718.69
153,90775.03
154,50949.22
155,53858.92
156,21935.88
157,21771.28
158,30627.25
159,55036.27
160,54992.75
161,85093.46
162,60045.64
163,99574.97
164,53506.20
165,73398.15
166,25028.99
167,50274.79
168,68554.87
169,83491.16
170,27566.98
171,30572.91
172,40443.42
173,50480.33
174,48024.84
175,98624.48
176,108320.95
177,89022.99
178,55197.92
179,69417.79
180,101341.94
181,107775.59
182,98497.43
183,109828.34
184,101284.98
185,70844.49
186,142804.15
187,135948.35
188,79210.69
189,32660.82
190,9733.95
191,40718.72
192,159209.76
193,104578.40
194,88740.89
195,165267.36
196,78473.58
197,29036.27
198,72127.20
199,57251.04
200,50267.63
201,73467.91
202,41022.94
203,51003.12
204,25133.61
205,62935.58
206,99898.86
207,46087.72
208,105345.72
209,153962.73
210,163004.15
211,154481.37
212,205438.14
213,124260.87
214,50956.57
215,66801.45
216,67678.05
217,80525.83
218,86112.38
219,55725.96
220,45871.77
221,18366.08
222,11041.32
223,36679.09
224,13914.17
225,79346.79
226,98797.92
227,79569.80
228,38766.77
229,79372.67
230,11662.20
231,30456.52
232,78220.85
233,61880.33
234,23970.20
235,44888.20
236,32555.21
237,31804.53
238,20861.43
239,39994.82
240,31930.64
241,83789.20
242,99092.04
243,136022.77
244,135532.85
245,97680.74
246,106394.03
247,139726.06
248,96646.57
249,80497.41
250,34694.79
251,81991.73
252,125553.48
253,94033.26
254,50192.98
255,45605.81
256,50591.75
257,79190.67
258,75416.84
259,65822.98
260,78800.21
261,56626.42
262,58090.72
263,65738.64
264,45829.37
265,54327.80
266,61896.27
267,42330.23
268,38821.36
269,39784.09
270,129352.58
271,135803.70
272,126853.43
273,95197.10
274,59824.51
275,58619.44
276,75662.54
277,87077.32
278,84882.23
279,86248.45
280,71683.18
281,51072.69
282,51508.83
283,62917.53
284,44070.18
285,24832.82
286,14312.69
287,31169.09
288,26757.48
289,33336.46
290,10407.10
291,39137.68
292,73831.38
293,158883.42
294,120250.26
295,88607.03
296,38142.26
297,124872.01
298,91708.38
299,5531.74
300,83227.60
301,64497.41
302,72875.52
303,102212.88
304,79428.42
305,43844.72
306,51767.63
307,126340.60
308,57662.87
309,44163.05
310,71775.59
311,91413.65
312,136658.39
313,154415.54
314,111746.90
315,117972.05
316,105659.09
317,110693.50
318,133072.39
319,79780.08
320,184475.16
321,162348.96
322,32337.49
323,112889.80
324,85004.13
325,87518.10
326,97168.56
327,220162.36
328,119858.18
329,100788.82
330,66655.64
331,108646.69
332,86034.02
333,75389.46
334,65883.14
335,72316.44
336,90341.26
337,44465.36
338,7722.85
339,46246.66
340,33048.35
341,36897.94
342,93389.00
343,187847.58
344,182819.50
345,192411.64
346,171030.11
347,137777.66
348,152642.49
349,169209.11
350,182875.90
351,128834.88
352,129821.76
353,73535.27
354,31966.36
