Chunk Index,Relative Timestamp Difference (μs)
0,346389
1,316389
2,286389
3,256389
4,226389
5,196389
6,166389
7,136389
8,106390
9,76389
10,46389
11,16389
12,57733
13,27733
14,66405
15,36405
16,6405
17,46384
18,16384
19,56389
20,26389
21,66365
22,36365
23,6365
24,46389
25,16389
26,56387
27,26388
28,67787
29,37787
30,7787
31,46397
32,16397
33,56389
34,26389
35,68308
36,38308
37,8308
38,46385
39,16385
40,56383
41,26383
42,66597
43,36597
44,6597
45,46381
46,16381
47,56353
48,26353
49,66351
50,36351
51,6352
52,996
53,3055
54,3033
55,3029
56,3028
57,4290
58,3991
59,3562
60,3015
61,3020
62,3009
63,3003
64,2995
65,3002
66,2708
67,886
68,3012
69,3013
70,3005
71,3003
72,2974
73,5008
74,4610
75,3808
76,2984
77,2958
78,2944
79,135
80,2967
81,2945
82,2215
83,2026
84,292
85,2945
86,2936
87,2949
88,2913
89,4340
90,3913
91,2924
92,2944
93,2932
94,2928
95,2895
96,2921
97,2926
98,728
99,1278
100,2910
101,2889
102,2860
103,2890
104,2911
105,3672
106,4476
107,3972
108,3569
109,2840
110,2873
111,2854
112,2850
113,2858
114,1932
115,2828
116,546
117,2847
118,2859
119,2856
120,2854
121,3793
122,4097
123,5058
124,2837
125,2795
126,2814
127,2826
128,2790
129,2831
130,957
131,2802
132,2801
133,2839
134,2818
135,2778
136,2788
137,4701
138,3271
139,4167
140,2791
141,2754
142,2765
143,2770
144,2770
145,2752
146,1118
147,894
148,2750
149,2733
150,2754
151,2741
152,2736
153,4648
154,3387
155,2712
156,2710
157,2725
158,2718
159,2711
160,2714
161,2728
162,748
163,2701
164,2709
165,2696
166,2701
167,2712
168,2679
169,5081
170,4971
171,3795
172,3089
173,2670
174,2675
175,2672
176,2666
177,2656
178,84
179,2635
180,2648
181,2664
182,2652
183,2645
184,2636
185,3908
186,3426
187,3485
188,2621
189,2618
190,2620
191,2597
192,2624
193,2605
194,2637
195,1289
196,2593
197,2601
198,2626
199,2593
200,2589
201,4440
202,4421
203,2969
204,2526
205,2552
206,2581
207,2533
208,2547
209,2545
210,2536
211,1999
212,2547
213,2544
214,2534
215,2555
216,2541
217,3021
218,3913
219,2522
220,2544
221,2537
222,2554
223,2511
224,2522
225,2511
226,821
227,81
228,2529
229,2513
230,2533
231,2490
232,2499
233,3653
234,3577
235,3281
236,2479
237,2468
238,2460
239,2459
240,2472
241,2476
242,2464
243,2446
244,2463
245,2465
246,2446
247,2468
248,2424
249,3209
250,4189
251,2461
252,2490
253,2436
254,2433
255,2429
256,2435
257,2431
258,2433
259,1895
260,2389
261,2407
262,2402
263,2411
264,2408
265,3002
266,3622
267,2688
268,2384
269,3598
270,2361
271,2390
272,2364
273,2374
274,2395
275,2373
276,2371
277,2376
278,2359
279,2369
280,2369
281,2734
282,4353
283,3316
284,2344
285,2343
286,2334
287,2308
288,2335
289,2332
290,2326
291,1555
292,2331
293,2306
294,2296
295,2306
296,2392
297,3088
298,2280
299,9390
300,2294
301,2279
302,2267
303,2296
304,2269
305,2278
306,2298
307,2269
308,2279
309,2256
310,2270
311,2256
312,2267
313,2914
314,3907
315,2629
316,2460
317,2239
318,2252
319,2220
320,2247
321,2223
322,2233
323,1074
324,2217
325,2174
326,2231
327,2246
328,2230
329,2284
330,3822
331,9580
332,2214
333,2191
334,2180
335,2177
336,2178
337,2185
338,2196
339,1286
340,81
341,2179
342,2137
343,2742
344,2171
