Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,7894637102806,6300043,7894630802763,13611
1,7894637102806,6334735,7894630802763,13611
2,7894637192806,6401387,7894630791419,2267
3,7894637192806,6433407,7894630791419,2267
4,7894637312806,6500059,7894630812747,23595
5,7894637312806,6533401,7894630812747,23595
6,7894637402806,6600038,7894630802768,13616
7,7894637402806,6633365,7894630802768,13616
8,7894637492806,6700043,7894630792763,3611
9,7894637492806,6733351,7894630792763,3611
10,7894637612806,6800019,7894630812787,23635
11,7894637612806,6833368,7894630812787,23635
12,7894637702806,6900043,7894630802763,13611
13,7894637702806,6933378,7894630802763,13611
14,7894637792806,7000041,7894630792765,3613
15,7894637792806,7033374,7894630792765,3613
16,7894637912806,7101441,7894630811365,22213
17,7894637912806,7133384,7894630811365,22213
18,7894638002806,7200051,7894630802755,13603
19,7894638002806,7233359,7894630802755,13603
20,7894638092806,7300043,7894630792763,3611
21,7894638092806,7333366,7894630792763,3611
22,7894638212806,7401962,7894630810844,21692
23,7894638212806,7433378,7894630810844,21692
24,7894638302806,7500039,7894630802767,13615
25,7894638302806,7533375,7894630802767,13615
26,7894638392806,7600037,7894630792769,3617
27,7894638392806,7634631,7894630792769,3617
28,7894638512806,7700251,7894630812555,23403
29,7894638512806,7733368,7894630812555,23403
30,7894638602806,7800035,7894630802771,13619
31,7894638602806,7833367,7894630802771,13619
32,7894638692806,7900007,7894630792799,3647
33,7894638692806,7935636,7894630792799,3647
