Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,1
13,2
14,3
15,4
16,5
17,6
18,7
19,8
20,9
21,10
22,11
23,12
24,13
25,14
26,15
27,16
28,17
29,18
30,19
31,20
32,21
33,22
34,23
35,24
36,25
37,26
38,27
39,28
40,29
41,30
42,31
43,32
44,33
45,34
46,35
47,36
48,37
49,38
50,39
51,40
52,41
53,42
54,43
55,44
56,45
57,46
58,47
59,48
60,49
61,50
62,51
63,52
64,53
65,54
66,55
67,56
68,57
69,58
70,59
71,60
72,61
73,62
74,63
75,64
76,65
77,66
78,67
79,68
80,69
81,70
82,68
83,69
84,70
85,71
86,72
87,70
88,71
89,72
90,73
91,74
92,75
93,73
94,74
95,75
96,76
97,77
98,75
99,76
100,77
101,78
102,79
103,77
104,78
105,79
106,80
107,81
108,82
109,80
110,81
111,82
112,83
113,84
114,82
115,83
116,84
117,85
118,86
119,84
120,85
121,86
122,87
123,88
124,89
125,87
126,88
127,89
128,90
129,91
130,89
131,90
132,91
133,92
134,93
135,91
136,92
137,93
138,94
139,95
140,96
141,97
142,95
143,96
144,97
145,98
146,99
147,97
148,98
149,99
150,100
151,98
152,99
153,100
154,101
155,102
156,103
157,104
158,102
159,103
160,104
161,105
162,106
163,104
164,105
165,106
166,107
167,108
168,106
169,107
170,108
171,109
172,110
173,111
174,111
175,112
176,112
177,112
178,113
179,113
180,114
181,114
182,114
183,115
184,115
185,116
186,117
187,117
188,118
189,118
190,119
191,119
192,119
193,120
194,120
195,120
196,121
197,121
198,122
199,122
200,122
201,123
202,123
203,124
204,125
205,125
206,126
207,126
208,126
209,127
210,127
211,127
212,128
213,128
214,129
215,129
216,130
217,130
218,130
219,131
220,132
221,132
222,133
223,133
224,134
225,134
226,134
227,135
228,135
229,135
230,136
231,136
232,137
233,137
234,137
235,138
236,139
237,140
238,140
239,140
240,141
241,141
242,141
243,142
244,142
245,143
246,143
247,143
248,144
249,144
250,144
251,145
252,146
253,147
254,147
255,147
256,148
257,148
258,149
259,149
260,149
261,150
262,150
263,150
264,151
265,151
266,152
267,152
268,153
269,154
270,154
271,155
272,155
273,155
274,156
275,156
276,157
277,157
278,157
279,158
280,158
281,158
282,159
283,159
284,160
285,161
286,161
287,162
288,162
289,162
290,163
291,163
292,164
293,164
294,164
295,165
296,165
297,166
298,166
299,166
300,167
301,168
302,168
303,169
304,169
305,170
306,170
307,170
308,171
309,171
310,171
311,172
312,172
313,173
314,173
315,174
316,174
317,175
318,176
319,176
320,177
321,177
322,178
323,178
324,178
325,179
326,179
327,179
328,180
329,180
330,180
331,181
332,181
333,182
334,183
335,183
336,184
337,184
338,185
339,185
340,185
341,186
342,186
343,186
344,187
345,187
346,188
347,188
348,188
349,189
350,190
351,191
352,191
353,191
354,192
355,192
356,193
357,193
358,193
359,194
360,194
361,194
362,195
363,195
364,196
365,196
366,197
367,198
368,198
369,198
370,199
371,199
372,200
373,200
374,200
375,201
376,201
377,202
378,202
379,202
380,203
381,203
382,204
383,205
384,205
385,206
386,206
387,206
388,207
389,207
390,208
391,208
392,208
393,209
394,209
395,209
396,210
397,210
398,211
399,212
400,212
401,213
402,213
403,213
404,214
405,214
406,215
407,215
408,215
409,216
410,216
411,217
412,217
413,218
414,219
415,219
416,220
417,220
418,220
419,221
420,221
421,222
422,222
423,222
424,223
425,223
426,223
427,224
428,224
429,225
430,226
431,226
432,227
433,227
434,227
435,228
436,228
437,229
438,229
439,229
440,230
441,230
442,230
443,231
444,231
445,232
446,232
447,233
448,234
449,234
450,235
451,235
452,235
453,236
454,236
455,236
456,237
457,237
458,238
459,238
460,238
461,239
462,239
463,240
464,241
465,242
466,242
467,242
468,243
469,243
470,244
471,244
472,244
473,245
474,245
475,245
476,246
477,246
478,247
479,247
480,248
481,249
482,249
483,249
484,250
485,250
486,251
487,251
488,251
489,252
490,252
491,253
492,253
493,253
494,254
495,254
496,255
497,256
498,256
499,257
500,257
501,258
502,258
503,258
504,259
505,259
506,259
507,260
508,260
509,261
510,261
511,261
512,262
513,263
514,264
515,264
516,264
517,265
518,265
519,265
520,266
521,266
522,266
523,267
524,267
525,268
526,268
527,268
528,269
529,270
