Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,7894636722806,0,1,59
1,7894636732806,10000,1,62
2,7894636742806,10000,1,61
3,7894636752806,10000,1,59
4,7894636762806,10000,1,64
5,7894636772806,10000,1,62
6,7894636782806,10000,1,60
7,7894636792806,10000,1,58
8,7894636802806,10000,1,56
9,7894636812806,10000,1,58
10,7894636822806,10000,1,64
11,7894636832806,10000,1,59
12,7894636842806,10000,1,56
13,7894636852806,10000,1,59
14,7894636862806,10000,1,57
15,7894636872806,10000,1,58
16,7894636882806,10000,1,59
17,7894636892806,10000,1,60
18,7894636902806,10000,1,59
19,7894636912806,10000,1,62
20,7894636922806,10000,1,65
21,7894636932806,10000,1,65
22,7894636942806,10000,1,64
23,7894636952806,10000,1,65
24,7894636962806,10000,1,68
25,7894636972806,10000,1,69
26,7894636982806,10000,1,65
27,7894636992806,10000,1,70
28,7894637002806,10000,1,69
29,7894637012806,10000,1,60
30,7894637022806,10000,1,63
31,7894637032806,10000,1,60
32,7894637042806,10000,1,56
33,7894637052806,10000,1,63
34,7894637062806,10000,1,61
35,7894637072806,10000,1,63
36,7894637082806,10000,1,62
37,7894637092806,10000,1,64
38,7894637102806,10000,1,66
39,7894637112806,10000,1,65
40,7894637122806,10000,1,63
41,7894637132806,10000,1,66
42,7894637142806,10000,1,67
43,7894637152806,10000,1,65
44,7894637162806,10000,1,55
45,7894637172806,10000,1,58
46,7894637182806,10000,1,57
47,7894637192806,10000,1,56
48,7894637202806,10000,1,56
49,7894637212806,10000,1,59
50,7894637222806,10000,1,55
51,7894637232806,10000,1,56
52,7894637242806,10000,1,55
53,7894637252806,10000,1,57
54,7894637262806,10000,1,56
55,7894637272806,10000,1,58
56,7894637282806,10000,1,58
57,7894637292806,10000,1,53
58,7894637302806,10000,1,56
59,7894637312806,10000,1,59
60,7894637322806,10000,1,58
61,7894637332806,10000,1,57
62,7894637342806,10000,1,57
63,7894637352806,10000,1,67
64,7894637362806,10000,1,56
65,7894637372806,10000,1,54
66,7894637382806,10000,1,56
67,7894637392806,10000,1,52
68,7894637402806,10000,1,55
69,7894637412806,10000,1,59
70,7894637422806,10000,1,55
71,7894637432806,10000,1,58
72,7894637442806,10000,1,57
73,7894637452806,10000,1,58
74,7894637462806,10000,1,57
75,7894637472806,10000,1,59
76,7894637482806,10000,1,65
77,7894637492806,10000,1,58
78,7894637502806,10000,1,58
79,7894637512806,10000,1,58
80,7894637522806,10000,1,57
81,7894637532806,10000,1,56
82,7894637542806,10000,1,54
83,7894637552806,10000,1,58
84,7894637562806,10000,1,59
85,7894637572806,10000,1,56
86,7894637582806,10000,1,53
87,7894637592806,10000,1,56
88,7894637602806,10000,1,62
89,7894637612806,10000,1,63
90,7894637622806,10000,1,65
91,7894637632806,10000,1,66
92,7894637642806,10000,1,63
93,7894637652806,10000,1,65
94,7894637662806,10000,1,62
95,7894637672806,10000,1,64
96,7894637682806,10000,1,65
97,7894637692806,10000,1,68
98,7894637702806,10000,1,65
99,7894637712806,10000,1,62
100,7894637722806,10000,1,63
101,7894637732806,10000,1,62
102,7894637742806,10000,1,65
103,7894637752806,10000,1,65
104,7894637762806,10000,1,56
105,7894637772806,10000,1,61
106,7894637782806,10000,1,60
107,7894637792806,10000,1,58
108,7894637802806,10000,1,63
109,7894637812806,10000,1,61
110,7894637822806,10000,1,65
111,7894637832806,10000,1,60
112,7894637842806,10000,1,62
113,7894637852806,10000,1,65
114,7894637862806,10000,1,64
115,7894637872806,10000,1,61
116,7894637882806,10000,1,62
117,7894637892806,10000,1,63
118,7894637902806,10000,1,62
119,7894637912806,10000,1,57
120,7894637922806,10000,1,59
121,7894637932806,10000,1,60
122,7894637942806,10000,1,55
123,7894637952806,10000,1,60
124,7894637962806,10000,1,64
125,7894637972806,10000,1,66
126,7894637982806,10000,1,66
127,7894637992806,10000,1,66
128,7894638002806,10000,1,65
129,7894638012806,10000,1,63
130,7894638022806,10000,1,59
131,7894638032806,10000,1,68
132,7894638042806,10000,1,67
133,7894638052806,10000,1,65
134,7894638062806,10000,1,64
135,7894638072806,10000,1,66
136,7894638082806,10000,1,67
137,7894638092806,10000,1,67
