Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,5933654,0,0,680
1,5966712,33058,0,819
2,6000046,33334,0,785
3,6034564,34518,0,845
4,6066711,32147,0,915
5,6101200,34489,0,890
6,6133403,32203,0,917
7,6166696,33293,0,839
8,6200035,33339,0,914
9,6233372,33337,0,1094
10,6266714,33342,0,1006
11,6300043,33329,1,1281
12,6334735,34692,0,2524
13,6366710,31975,0,1215
14,6401387,34677,0,1060
15,6433407,32020,0,1146
16,6466707,33300,0,1112
17,6500059,33352,0,1117
18,6533401,33342,0,1256
19,6567966,34565,0,1137
20,6600038,32072,0,1239
21,6633365,33327,0,1286
22,6666727,33362,0,1190
23,6700043,33316,0,1197
24,6733351,33308,0,1245
25,6766686,33335,0,1235
26,6800019,33333,0,1255
27,6833368,33349,0,1431
28,6866875,33507,0,1284
29,6900043,33168,0,1231
30,6933378,33335,0,1258
31,6966709,33331,0,1269
32,7000041,33332,0,1492
33,7033374,33333,0,1274
34,7066707,33333,0,1260
35,7101441,34734,0,1502
36,7133384,31943,0,1381
37,7167895,34511,0,1349
38,7200051,32156,0,1482
39,7233359,33308,0,1519
40,7266706,33347,0,1397
41,7300043,33337,0,1525
42,7333366,33323,0,1645
43,7366703,33337,0,1615
44,7401962,35259,0,1494
45,7433378,31416,0,1671
46,7466786,33408,0,1700
47,7500039,33253,0,1568
48,7533375,33336,0,1775
49,7566712,33337,0,1703
50,7600037,33325,0,1767
51,7634631,34594,0,1629
52,7666700,32069,0,1902
53,7700251,33551,0,1782
54,7733368,33117,0,1878
55,7766701,33333,0,1974
56,7800035,33334,0,1970
57,7833367,33332,0,1993
58,7866687,33320,0,1969
59,7900007,33320,0,2072
60,7935636,35629,0,1953
61,7966694,31058,0,2161
62,8000005,33311,0,2178
63,8033335,33330,0,2204
64,8066680,33345,0,2069
65,8100028,33348,0,2140
66,8133358,33330,0,2190
67,8168217,34859,0,2232
68,8200042,31825,0,2294
69,8234650,34608,0,2300
70,8266709,32059,0,2688
71,8300032,33323,1,1768
72,8333361,33329,0,3507
73,8366693,33332,0,2495
74,8400038,33345,0,2487
75,8433371,33333,0,2551
76,8467404,34033,0,2542
77,8500019,32615,0,2716
78,8533361,33342,0,2557
79,8566709,33348,0,2626
80,8600034,33325,0,2093
81,8633357,33323,0,2669
82,8666694,33337,0,2407
83,8699979,33285,0,2745
84,8733340,33361,0,2636
85,8767094,33754,0,2714
86,8800034,32940,0,2865
87,8833364,33330,0,2488
88,8866687,33323,0,2914
89,8900017,33330,0,2670
90,8933359,33342,0,2948
91,8966691,33332,0,3023
92,9001639,34948,0,2879
93,9033365,31726,0,2795
94,9066671,33306,0,2401
95,9100018,33347,0,2967
96,9133346,33328,0,2606
97,9166683,33337,0,2992
98,9200019,33336,0,3100
99,9235648,35629,0,3038
100,9266676,31028,0,3012
101,9299982,33306,0,2543
102,9333352,33370,0,3102
103,9366697,33345,0,2778
104,9400016,33319,0,3244
105,9433363,33347,0,3136
106,9466682,33319,0,3336
107,9499999,33317,0,3228
108,9533336,33337,0,2699
109,9566675,33339,0,3364
110,9600009,33334,0,2922
111,9633339,33330,0,3410
112,9666676,33337,0,3353
113,9700026,33350,0,3410
114,9733349,33323,0,3457
115,9767944,34595,0,2816
116,9800002,32058,0,3469
117,9833338,33336,0,3049
118,9866688,33350,0,3381
119,9900026,33338,0,3345
120,9933344,33318,0,3540
121,9966656,33312,0,3468
122,10000014,33358,0,3049
123,10033337,33323,0,3589
124,10067644,34307,0,3085
125,10100021,32377,0,3488
126,10133346,33325,0,3371
127,10166683,33337,0,3722
128,10200021,33338,0,3429
129,10233352,33331,0,2802
130,10266659,33307,0,3745
131,10302578,35919,1,3082
132,10333351,30773,0,5565
133,10367216,33865,0,4189
134,10400025,32809,0,4009
135,10433341,33316,0,4061
136,10466669,33328,0,4020
137,10499993,33324,0,4288
138,10533333,33340,0,4171
139,10566671,33338,0,4158
140,10601392,34721,0,3055
141,10633347,31955,0,4098
142,10666669,33322,0,3352
143,10700000,33331,0,3890
144,10733324,33324,0,3730
145,10766660,33336,0,4104
146,10799982,33322,0,3894
147,10835713,35731,0,3186
148,10866673,30960,0,4007
149,10900328,33655,0,3650
150,10933353,33025,0,3669
151,10966674,33321,0,4038
152,11000022,33348,0,3831
