Time (s),Bitrate (Bps)
0,5165.35
1,4158.22
2,4177.30
3,4159.76
4,4242.83
5,4121.83
6,4175.15
7,4179.41
8,4209.45
9,4141.84
10,4154.00
11,4165.32
12,4150.51
13,4189.41
14,4160.90
15,4187.95
16,4260.29
17,4185.42
18,4142.71
19,4140.55
20,4196.16
21,4202.65
22,4179.23
23,4116.87
24,4118.24
25,4133.40
26,4164.13
27,4179.70
28,4163.80
29,4165.82
30,4179.41
31,4175.15
32,4223.73
33,4179.41
34,4174.44
35,4195.32
36,4207.53
37,4147.96
38,4170.91
39,4183.67
40,4251.28
41,4168.22
42,4211.60
43,4158.22
44,4187.06
45,4166.67
46,4121.83
47,4184.32
48,4209.98
49,4175.15
50,4198.78
51,4141.70
52,4157.58
53,4174.31
54,4208.16
55,4138.95
56,4277.49
57,4143.30
58,4208.55
59,4104.04
60,4231.00
61,4139.51
62,4209.99
63,4193.88
64,4165.31
65,4117.23
66,4179.23
67,4169.04
68,4248.98
69,4140.97
70,4160.20
71,4176.17
72,4246.67
73,4128.44
74,4119.68
75,4196.54
76,4196.74
77,4209.78
78,4169.04
79,4150.87
80,4229.83
81,4185.42
82,4162.44
83,4166.67
84,4220.98
85,4207.53
86,4134.42
87,4199.59
88,4222.56
89,4218.30
90,4170.91
91,4158.22
92,4191.30
93,4175.15
94,4183.67
95,4170.91
96,4242.83
97,4151.77
98,4129.42
99,4193.71
100,4190.48
101,4174.13
102,4186.35
103,4175.15
104,4213.77
105,4137.61
106,4149.80
107,4153.92
108,4214.87
109,4194.11
110,4179.41
111,4187.95
112,4208.76
113,4158.49
114,4125.00
115,4170.91
116,4171.92
117,4166.67
118,4211.60
119,4175.15
120,4210.47
121,4227.08
122,4162.44
123,4158.22
124,4166.33
125,4159.55
126,4175.15
127,4179.41
128,4231.01
129,4112.02
130,4162.44
131,4149.80
132,4231.78
133,4175.15
134,4166.67
135,4130.21
136,4200.82
137,4142.42
138,4140.83
139,4190.28
140,4195.54
141,4167.85
142,4151.42
143,4156.98
144,4200.82
145,4133.40
146,4207.32
147,4118.66
148,4186.05
149,4170.91
150,4175.15
151,4220.18
152,4176.59
153,4155.80
154,4123.61
155,4170.21
156,4179.33
157,4175.15
158,4187.18
159,4158.86
160,4205.13
161,4169.89
162,4145.60
163,4149.80
164,4156.03
165,4174.13
166,4166.67
167,4184.32
168,4236.92
169,4123.22
170,4140.83
171,4134.62
172,4219.64
173,4180.06
174,4142.57
175,4216.33
176,4238.00
177,4154.63
178,4144.88
179,4138.80
180,4195.54
181,4170.91
182,4120.81
183,4162.81
184,4236.44
185,4133.40
186,4141.41
187,4162.44
188,4204.06
189,4175.15
190,4170.91
191,4167.18
192,4214.14
193,4152.40
194,4145.60
195,4084.34
196,4232.63
197,4176.83
198,4162.93
199,4191.64
200,4213.77
201,4129.20
202,4137.24
203,4149.80
204,4165.15
205,4209.99
206,4170.91
207,4180.80
208,4171.28
209,4125.00
210,4149.80
211,4149.80
212,4199.59
213,4166.84
214,4203.67
215,4155.10
216,4209.45
217,4164.97
218,4146.32
219,4111.34
220,4237.32
221,4164.80
222,4186.54
223,4151.33
224,4205.13
225,4171.43
226,4116.28
227,4207.32
228,4204.06
229,4166.67
230,4175.15
231,4193.45
232,4203.89
233,4141.84
234,4137.24
235,4154.00
236,4204.06
237,4183.67
238,4165.31
239,4210.63
240,4197.96
241,4209.16
242,4162.44
243,4145.92
244,4250.25
245,4175.15
246,4142.86
247,4196.52
248,4216.90
249,4209.54
250,4137.24
251,4133.74
252,4215.81
253,4162.93
254,4187.37
255,4142.86
256,4283.81
257,4108.74
258,4161.78
259,4149.95
260,4203.85
261,4170.91
262,4149.69
263,4191.42
264,4257.90
265,4168.38
266,4181.82
267,4141.41
268,4155.02
269,4170.91
270,4204.68
271,4166.84
272,4258.69
273,4130.21
274,4160.24
275,4177.48
276,4164.47
277,4214.87
278,4128.05
279,4181.63
280,4223.93
281,4146.79
282,4101.01
283,4196.75
284,4168.36
285,4206.72
286,4171.08
287,4157.46
288,4204.92
289,4117.77
290,4180.81
291,4126.02
292,4187.06
293,4170.91
294,4175.15
295,4237.46
296,4196.52
297,4100.61
298,4149.65
299,4174.62
300,4186.35
301,4196.54
302,4196.74
303,4138.63
304,4231.16
305,4190.87
306,4170.73
307,4130.21
308,4206.24
309,4139.96
310,4165.47
311,4191.64
312,4208.97
313,4205.39
314,4105.05
315,4183.57
316,4219.29
317,4170.91
318,4138.63
319,4185.71
320,4272.54
321,4150.26
322,4156.50
323,4125.00
324,4261.98
325,4144.75
326,4211.01
327,4150.87
328,4261.49
329,4128.57
330,4101.73
331,4174.97
332,4221.43
333,4175.15
334,4179.41
335,4179.41
336,4261.49
337,4160.12
338,4138.63
339,4170.91
340,4213.63
341,4214.87
342,4147.09
343,4228.80
344,4212.61
345,4114.08
346,4174.62
347,4140.53
348,4209.56
349,4179.41
350,4208.61
