Time (s),Bitrate (Bps)
0,122393.33
1,130767.15
2,131358.84
3,134538.38
4,119229.73
5,91069.14
6,85286.89
7,97003.08
8,87221.41
9,98255.91
10,59378.88
11,46095.44
12,55103.31
13,30489.69
14,69135.94
15,52816.58
16,6136.36
17,16604.96
18,11605.32
19,15899.08
20,12356.99
21,16786.68
22,11465.02
23,16191.31
24,11902.49
25,15891.06
26,11909.75
27,16144.93
28,12366.74
29,17495.33
30,11668.38
31,14470.95
32,11751.03
33,14102.59
34,11572.32
35,14727.74
36,10900.10
37,12794.00
38,11886.60
39,14736.73
40,11178.61
41,14870.33
42,15660.81
43,16682.29
44,11575.88
45,13814.12
46,10929.16
47,15991.73
48,12137.86
49,14128.76
50,8587.14
51,7064.45
52,10802.48
53,10131.42
54,6051.60
55,17296.49
56,8675.98
57,15224.17
58,15182.47
59,17625.00
60,12402.28
61,12628.22
62,11739.22
63,17032.92
64,4157.19
65,13296.07
66,7482.40
67,13114.79
68,16116.26
69,21728.50
70,10625.13
71,14241.49
72,11647.36
73,16424.30
74,11610.19
75,13709.24
76,12611.63
77,12274.69
78,7180.41
79,5290.29
80,10496.39
81,13834.88
82,6810.42
83,9723.89
84,10148.45
85,11139.61
86,7435.82
87,9497.41
88,7615.78
89,12659.77
90,14611.80
91,13183.99
92,8802.92
93,8220.50
94,12794.63
95,12820.14
96,17530.02
97,13378.74
98,13520.17
99,15243.52
100,21152.33
101,15817.71
102,17025.85
103,15770.42
104,14198.96
105,17211.62
106,12969.10
107,18108.58
108,11071.21
109,15331.26
110,13224.28
111,13878.88
112,19230.37
113,18216.94
114,10187.37
115,19704.66
116,10757.42
117,14786.38
118,7641.53
119,12033.95
120,10229.81
121,19228.69
122,11391.30
123,12947.92
124,8611.91
125,14126.29
126,10649.74
127,14649.07
128,11456.23
129,15694.93
130,11601.66
131,14102.91
132,12292.78
133,14459.24
134,12985.49
135,14286.89
136,13263.49
137,14579.44
138,9441.57
139,13598.55
140,9474.17
141,7048.55
142,5827.34
143,15349.22
144,12235.48
145,15335.75
146,12507.28
147,19111.11
148,10826.45
149,16506.75
150,10484.04
151,9816.77
152,8016.01
153,11870.71
154,10179.09
155,18995.83
156,12506.21
157,19703.51
158,12385.96
159,14480.33
160,12521.74
161,8887.05
162,16663.56
163,17579.00
164,10709.24
165,12109.39
166,7695.47
167,12502.59
168,9522.68
169,16085.92
170,19302.81
171,16786.90
172,10172.84
173,13274.51
174,15685.95
175,19168.91
176,12410.12
177,14096.47
178,12005.20
179,13987.56
180,16255.14
181,15182.85
182,13835.91
183,13649.38
184,3074.38
185,5931.75
186,18352.33
187,16857.44
188,11904.96
189,13821.65
190,21134.91
191,10266.53
192,24691.12
193,65901.55
194,58239.92
195,75123.44
196,41249.48
197,51935.12
198,38492.26
199,34286.16
200,80567.74
201,101859.21
202,43769.71
203,134637.97
204,145614.43
205,170831.79
206,158889.58
207,206056.99
208,84899.59
209,51514.49
210,56224.07
211,78387.97
212,90021.58
213,71157.22
214,47887.40
215,42589.08
216,10821.47
217,18010.34
218,29297.72
219,34561.53
220,92958.72
221,92158.60
222,57950.26
223,67351.85
224,44667.01
225,20369.95
226,32797.30
227,80584.20
228,54522.58
229,37341.05
230,28361.20
231,43368.04
232,20919.34
233,29401.03
234,32609.78
235,67501.55
236,66555.32
237,109405.35
238,143095.88
239,127929.61
240,105896.27
241,94962.77
242,147410.79
243,89123.06
244,54921.57
245,56907.31
246,85340.58
247,126416.75
248,77849.17
249,53818.37
250,28248.70
251,70891.53
252,69820.62
253,84668.39
254,44358.10
255,78708.98
256,54514.93
257,84601.04
258,51327.08
259,43721.82
260,44205.97
261,70119.71
262,32656.31
263,52215.18
264,64064.18
265,130700.41
266,130262.94
267,132546.96
268,61865.70
269,65763.43
270,64601.24
271,76060.70
272,86972.05
273,95497.41
274,81168.91
275,57457.56
276,51533.40
277,50715.02
278,66102.88
279,38343.65
280,12805.38
281,23367.01
282,29184.27
283,33084.89
284,21268.87
285,23681.44
286,45773.76
287,95128.87
288,152441.69
289,132279.17
290,45526.26
291,56385.33
292,126033.06
293,62459.79
294,36306.90
295,78729.06
296,58440.29
297,85794.24
298,97121.75
299,69858.77
300,38692.55
301,67815.93
302,129005.17
303,47803.52
304,36315.08
305,94944.27
306,83961.54
307,153433.88
308,148019.67
309,107591.56
310,114275.65
311,110382.47
312,111059.98
313,114785.27
314,125746.41
315,165542.83
316,125417.88
317,40212.31
318,124223.48
319,96144.78
320,67371.52
321,134561.53
322,217262.23
323,92926.27
324,88571.58
325,102810.56
326,82821.28
327,90374.35
328,73381.35
329,71231.88
330,58866.04
331,95319.63
332,27151.23
333,15781.63
334,45962.81
335,41361.20
336,24527.40
337,146223.96
338,184266.60
339,185709.41
340,197766.60
341,152918.22
342,136790.51
343,158896.69
344,175351.60
345,189634.76
346,97779.73
347,151033.16
348,37220.16
349,106247.51
