Chunk Index,Relative Timestamp Difference (μs)
0,1847294
1,1817294
2,1787294
3,1757294
4,1727294
5,1697294
6,1667294
7,1637294
8,1607295
9,1577294
10,1547294
11,1517294
12,1487294
13,1457294
14,1427294
15,1397294
16,1367294
17,1337294
18,1307294
19,1277294
20,1247294
21,1217294
22,1187294
23,1157294
24,1127294
25,1097294
26,1067294
27,1037294
28,1007294
29,977294
30,947294
31,917294
32,887294
33,857294
34,827295
35,797294
36,767294
37,737294
38,707294
39,677294
40,647294
41,617294
42,587294
43,557294
44,527294
45,497294
46,467294
47,437294
48,407294
49,377294
50,347294
51,317294
52,287294
53,257294
54,227294
55,197294
56,167294
57,137294
58,107294
59,77294
60,47294
61,17294
62,56637
63,26637
64,66631
65,36631
66,6632
67,49058
68,19058
69,56646
70,26646
71,66661
72,36661
73,6661
74,46617
75,16617
76,56594
77,26594
78,66635
79,36635
80,6635
81,46630
82,16630
83,56629
84,26629
85,66625
86,36625
87,6625
88,46618
89,16618
90,56615
91,26615
92,66628
93,36628
94,6628
95,46621
96,16621
97,57538
98,27538
99,66636
100,36636
101,6636
102,46610
103,16610
104,59280
105,29280
106,66619
107,36619
108,6619
109,46613
110,16613
111,56612
112,26612
113,66605
114,36605
115,6605
116,46613
117,16613
118,56606
119,26606
120,66650
121,36650
122,6650
123,46611
124,16611
125,56630
126,26630
127,66603
128,36603
129,6603
130,46624
131,16624
132,56609
133,26609
134,67733
135,37733
136,7733
137,46608
138,16608
139,56606
140,26606
141,69108
142,39108
143,9108
144,46617
145,16617
146,56606
147,26606
148,68108
149,38108
150,8108
151,46605
152,16605
153,56594
154,26594
155,66588
156,36588
157,6588
158,46607
159,16607
160,56608
161,26608
162,66606
163,36606
164,6606
165,46585
166,16585
167,56584
168,26584
169,66590
170,36590
171,6590
172,47097
173,17097
174,3260
175,3246
176,3260
177,4035
178,7638
179,4340
180,3247
181,3213
182,3186
183,3228
184,3227
185,3229
186,578
187,1986
188,1322
189,1287
190,3210
191,3209
192,3143
193,3662
194,6226
195,4273
196,3254
197,3150
198,3177
199,3160
200,3159
201,3146
202,202
203,2527
204,3168
205,3163
206,3163
207,3172
208,3156
209,3133
210,5181
211,3595
212,3264
213,3154
214,3156
215,3158
216,3147
217,3133
218,303
219,2220
220,231
221,3135
222,3133
223,3091
224,3133
225,3107
226,5787
227,3089
228,3062
229,3098
230,3089
231,3076
232,103
233,3086
234,132
235,2712
236,940
237,635
238,3066
239,3065
240,3080
241,3060
242,5627
243,3026
244,3576
245,3033
246,10708
247,3038
248,3035
249,3021
250,3001
251,298
252,919
253,3009
254,3012
255,3002
256,3012
257,2994
258,5703
259,4353
260,2988
261,3011
262,2992
263,2985
264,2973
265,2985
266,2980
267,332
268,2958
269,2962
270,2964
271,2977
272,2958
273,2886
274,4934
275,2930
276,2914
277,2965
278,2930
279,2937
280,2934
281,4990
282,2936
283,668
284,2931
285,2928
286,2929
287,2909
288,2932
289,2918
290,4394
291,3156
292,2884
293,2903
294,2897
295,2892
296,2889
297,2889
298,2883
299,2427
300,2880
301,2879
302,2870
303,2874
304,2860
305,2829
306,6299
307,2821
308,2844
309,2854
310,3741
311,2837
312,2858
313,2837
314,2838
315,2664
316,957
317,2819
318,2834
319,2821
320,2916
321,2808
322,4088
323,4082
324,2932
325,4521
326,2790
327,2800
328,2824
329,2779
330,2801
331,2048
332,781
333,1193
334,2771
335,2765
336,2763
337,2771
338,5174
339,3491
340,3099
341,2742
342,2739
343,2742
344,2753
345,2725
346,2735
347,2017
348,293
349,1486
350,2734
351,2719
352,2736
353,2726
354,4503
355,3450
356,2685
357,2703
358,2693
359,2697
360,2709
361,2697
362,2712
363,1006
364,1053
365,1522
366,2668
367,2672
368,2676
369,2680
370,3486
371,3159
372,2639
373,2654
374,3190
375,2672
376,2636
377,2654
378,2643
379,602
380,2609
381,2601
382,2642
383,2647
384,2634
385,2627
386,4072
387,3070
388,2911
389,2593
390,2587
391,2585
392,2602
393,2597
394,2597
395,653
396,2596
397,1559
398,2589
399,2581
400,2585
401,2586
402,4609
403,2502
404,2567
405,2550
406,2537
407,2545
408,2536
409,2548
410,2553
411,728
412,2533
413,2011
414,2543
415,308
416,2544
417,2563
418,4103
419,4545
420,2494
421,2489
