Chunk Index,audioTimestamp,droppedFrameTimestamp,currentTimestampDiff,Relative Timestamp Difference (μs)
0,7892824707574,12067313,7892812640261,12706
1,7892824707574,12099969,7892812640261,12706
2,7892824797574,12166656,7892812630918,3363
3,7892824797574,12200126,7892812630918,3363
4,7892824917573,12266650,7892812650923,23368
5,7892824917573,12299980,7892812650923,23368
6,7892825007574,12369077,7892812638497,10942
7,7892825007574,12400032,7892812638497,10942
8,7892825097574,12466665,7892812630909,3354
9,7892825097574,12499981,7892812630909,3354
10,7892825217574,12566680,7892812650894,23339
11,7892825217574,12600418,7892812650894,23339
12,7892825307574,12666636,7892812640938,13383
13,7892825307574,12699958,7892812640938,13383
14,7892825397574,12766613,7892812630961,3406
15,7892825397574,12799965,7892812630961,3406
16,7892825517574,12866654,7892812650920,23365
17,7892825517574,12902291,7892812650920,23365
18,7892825607574,12966649,7892812640925,13370
19,7892825607574,12999990,7892812640925,13370
20,7892825697574,13066648,7892812630926,3371
21,7892825697574,13099982,7892812630926,3371
22,7892825817574,13166644,7892812650930,23375
23,7892825817574,13201168,7892812650930,23375
24,7892825907574,13266637,7892812640937,13382
25,7892825907574,13299957,7892812640937,13382
26,7892825997574,13366634,7892812630940,3385
27,7892825997574,13399956,7892812630940,3385
28,7892826117574,13466647,7892812650927,23372
29,7892826117574,13501114,7892812650927,23372
30,7892826207574,13566640,7892812640934,13379
31,7892826207574,13599981,7892812640934,13379
32,7892826297574,13667557,7892812630017,2462
33,7892826297574,13699976,7892812630017,2462
34,7892826417574,13766655,7892812650919,23364
35,7892826417574,13799978,7892812650919,23364
36,7892826507574,13866629,7892812640945,13390
37,7892826507574,13899964,7892812640945,13390
38,7892826597574,13969299,7892812628275,720
39,7892826597574,13999982,7892812628275,720
40,7892826717574,14066638,7892812650936,23381
41,7892826717574,14099975,7892812650936,23381
42,7892826807574,14166632,7892812640942,13387
43,7892826807574,14200090,7892812640942,13387
44,7892826897574,14266631,7892812630943,3388
45,7892826897574,14299966,7892812630943,3388
46,7892827017573,14366623,7892812650950,23395
47,7892827017573,14399950,7892812650950,23395
48,7892827107574,14466632,7892812640942,13387
49,7892827107574,14501911,7892812640942,13387
50,7892827197574,14566625,7892812630949,3394
51,7892827197574,14599976,7892812630949,3394
52,7892827317574,14666669,7892812650905,23350
53,7892827317574,14699974,7892812650905,23350
54,7892827407574,14766630,7892812640944,13389
55,7892827407574,14800664,7892812640944,13389
56,7892827497574,14866649,7892812630925,3370
57,7892827497574,14899982,7892812630925,3370
58,7892827617574,14966622,7892812650952,23397
59,7892827617574,14999958,7892812650952,23397
60,7892827707574,15066643,7892812640931,13376
61,7892827707574,15100081,7892812640931,13376
62,7892827797574,15166628,7892812630946,3391
63,7892827797574,15199963,7892812630946,3391
64,7892827917574,15267752,7892812649822,22267
65,7892827917574,15299961,7892812649822,22267
66,7892828007574,15366627,7892812640947,13392
67,7892828007574,15399966,7892812640947,13392
68,7892828097574,15466625,7892812630949,3394
69,7892828097574,15499968,7892812630949,3394
70,7892828217574,15569127,7892812648447,20892
71,7892828217574,15599976,7892812648447,20892
72,7892828307574,15666636,7892812640938,13383
73,7892828307574,15699968,7892812640938,13383
74,7892828397574,15766625,7892812630949,3394
75,7892828397574,15800553,7892812630949,3394
76,7892828517574,15868127,7892812649447,21892
77,7892828517574,15899964,7892812649447,21892
78,7892828607574,15966624,7892812640950,13395
79,7892828607574,15999954,7892812640950,13395
80,7892828697574,16066613,7892812630961,3406
81,7892828697574,16101960,7892812630961,3406
82,7892828817574,16166607,7892812650967,23412
83,7892828817574,16199952,7892812650967,23412
84,7892828907574,16266626,7892812640948,13393
85,7892828907574,16299939,7892812640948,13393
86,7892828997574,16366627,7892812630947,3392
87,7892828997574,16400431,7892812630947,3392
88,7892829117574,16466625,7892812650949,23394
89,7892829117574,16499947,7892812650949,23394
90,7892829207574,16566604,7892812640970,13415
91,7892829207574,16599944,7892812640970,13415
92,7892829297574,16666603,7892812630971,3416
93,7892829297574,16701603,7892812630971,3416
94,7892829417574,16766609,7892812650965,23410
95,7892829417574,16799952,7892812650965,23410
