Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,0
18,0
19,0
20,0
21,0
22,0
23,0
24,0
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,1
58,2
59,3
60,4
61,5
62,6
63,7
64,8
65,9
66,10
67,11
68,12
69,13
70,14
71,15
72,16
73,17
74,18
75,19
76,20
77,21
78,22
79,23
80,24
81,25
82,26
83,27
84,28
85,29
86,30
87,31
88,32
89,33
90,34
91,35
92,36
93,37
94,38
95,39
96,40
97,41
98,42
99,43
100,44
101,45
102,46
103,47
104,48
105,49
106,50
107,51
108,52
109,53
110,54
111,55
112,56
113,57
114,58
115,59
116,60
117,61
118,62
119,63
120,64
121,65
122,66
123,67
124,68
125,69
126,70
127,71
128,72
129,73
130,74
131,75
132,76
133,77
134,78
135,79
136,80
137,81
138,82
139,83
140,84
141,85
142,86
143,87
144,88
145,89
146,90
147,91
148,92
149,93
150,94
151,95
152,96
153,97
154,98
155,99
156,100
157,101
158,102
159,103
160,104
161,105
162,106
163,107
164,108
165,109
166,110
167,111
168,112
169,113
170,114
171,115
172,116
173,117
174,118
175,119
176,120
177,121
178,122
179,123
180,124
181,125
182,126
183,127
184,128
185,129
186,130
187,131
188,132
189,133
190,134
191,135
192,136
193,137
194,138
195,139
196,140
197,141
198,142
199,143
200,144
201,145
202,146
203,147
204,148
205,149
206,150
207,151
208,152
209,153
210,154
211,155
212,156
213,157
214,158
215,159
216,160
217,161
218,162
219,163
220,164
221,165
222,163
223,164
224,165
225,166
226,167
227,165
228,166
229,167
230,168
231,169
232,170
233,171
234,169
235,170
236,171
237,172
238,173
239,171
240,172
241,173
242,174
243,175
244,173
245,174
246,175
247,176
248,177
249,178
250,176
251,177
252,178
253,179
254,177
255,178
256,179
257,180
258,181
259,182
260,180
261,181
262,182
263,183
264,184
265,185
266,183
267,184
268,185
269,186
270,187
271,185
272,186
273,187
274,188
275,189
276,187
277,188
278,189
279,190
280,191
281,192
282,190
283,191
284,192
285,193
286,194
287,192
288,193
289,194
290,195
291,196
292,194
293,195
294,196
295,197
296,198
297,199
298,200
299,198
300,199
301,200
302,201
303,199
304,200
305,201
306,202
307,203
308,204
309,202
310,203
311,204
312,205
313,206
314,207
315,205
316,206
317,207
318,208
319,209
320,207
321,208
322,209
323,210
324,211
325,209
326,210
327,211
328,212
329,213
330,214
331,212
332,213
333,214
334,215
335,216
336,214
337,215
338,216
339,217
340,218
341,216
342,217
343,218
344,219
345,220
346,221
347,222
348,220
349,221
350,222
351,223
352,221
353,222
354,223
355,224
356,225
357,223
358,224
359,225
360,226
361,227
362,228
363,229
364,227
365,228
366,229
367,230
368,231
369,229
370,230
371,231
372,232
373,230
374,231
375,232
376,233
377,234
378,235
379,236
380,234
381,235
382,236
383,237
384,238
385,236
386,237
387,238
388,239
389,240
390,238
391,239
392,240
393,241
394,242
395,243
396,241
397,242
398,243
399,244
400,245
401,243
402,244
403,245
404,246
405,247
406,245
407,246
408,247
409,248
410,249
411,250
412,248
413,249
414,250
415,251
416,252
417,250
418,251
419,252
420,253
421,254
422,252
423,253
424,254
425,255
426,256
427,257
428,258
429,256
430,257
431,258
432,259
433,257
434,258
435,259
436,260
437,261
438,259
439,260
440,261
441,262
442,263
443,264
444,265
445,263
446,264
447,265
448,266
449,267
450,265
451,266
452,267
453,268
454,269
455,267
456,268
457,269
458,270
459,271
460,272
461,270
462,271
463,272
464,273
465,274
466,272
467,273
468,274
469,275
470,276
471,274
472,275
473,276
474,277
475,278
476,279
477,277
478,278
479,279
480,280
481,281
482,281
483,282
484,282
485,282
486,283
487,283
488,284
489,284
490,285
491,286
492,286
493,287
494,287
495,287
496,288
497,288
498,288
499,289
500,289
501,290
502,290
503,290
504,291
505,291
506,292
507,293
508,293
509,294
510,294
511,294
512,295
513,295
514,296
515,296
516,296
517,297
518,297
519,297
520,298
521,298
522,299
523,300
524,300
525,301
526,301
527,301
528,302
529,302
