Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,7892822827574,0,1,63
1,7892822837574,10000,1,63
2,7892822847574,10000,1,63
3,7892822857574,10000,1,63
4,7892822867574,10000,1,63
5,7892822877574,10000,1,63
6,7892822887574,10000,1,63
7,7892822897574,10000,1,63
8,7892822907574,10000,1,63
9,7892822917574,10000,1,63
10,7892822927574,10000,1,63
11,7892822937574,10000,1,63
12,7892822947574,10000,1,63
13,7892822957574,10000,1,63
14,7892822967574,10000,1,63
15,7892822977574,10000,1,63
16,7892822987574,10000,1,63
17,7892822997574,10000,1,64
18,7892823007574,10000,1,63
19,7892823017574,10000,1,62
20,7892823027574,10000,1,63
21,7892823037574,10000,1,64
22,7892823047574,10000,1,64
23,7892823057574,10000,1,62
24,7892823067574,10000,1,63
25,7892823077574,10000,1,63
26,7892823087574,10000,1,62
27,7892823097574,10000,1,63
28,7892823107574,10000,1,63
29,7892823117574,10000,1,63
30,7892823127574,10000,1,63
31,7892823137574,10000,1,63
32,7892823147574,10000,1,63
33,7892823157574,10000,1,63
34,7892823167574,10000,1,63
35,7892823177574,10000,1,64
36,7892823187574,10000,1,64
37,7892823197574,10000,1,63
38,7892823207574,10000,1,62
39,7892823217574,10000,1,64
40,7892823227574,10000,1,61
41,7892823237574,10000,1,63
42,7892823247574,10000,1,64
43,7892823257574,10000,1,62
44,7892823267574,10000,1,63
45,7892823277574,10000,1,63
46,7892823287574,10000,1,63
47,7892823297574,10000,1,63
48,7892823307574,10000,1,63
49,7892823317574,10000,1,76
50,7892823327574,10000,1,63
51,7892823337574,10000,1,62
52,7892823347574,10000,1,63
53,7892823357574,10000,1,63
54,7892823367574,10000,1,62
55,7892823377574,10000,1,65
56,7892823387574,10000,1,64
57,7892823397574,10000,1,63
58,7892823407574,10000,1,64
59,7892823417574,10000,1,65
60,7892823427574,10000,1,79
61,7892823437574,10000,1,63
62,7892823447574,10000,1,63
63,7892823457574,10000,1,62
64,7892823467574,10000,1,61
65,7892823477574,10000,1,61
66,7892823487574,10000,1,61
67,7892823497574,10000,1,60
68,7892823507574,10000,1,62
69,7892823517574,10000,1,60
70,7892823527574,10000,1,62
71,7892823537574,10000,1,60
72,7892823547574,10000,1,62
73,7892823557574,10000,1,62
74,7892823567574,10000,1,61
75,7892823577574,10000,1,61
76,7892823587574,10000,1,60
77,7892823597574,10000,1,61
78,7892823607574,10000,1,63
79,7892823617574,10000,1,61
80,7892823627574,10000,1,62
81,7892823637574,10000,1,62
82,7892823647574,10000,1,63
83,7892823657574,10000,1,63
84,7892823667574,10000,1,63
85,7892823677574,10000,1,63
86,7892823687574,10000,1,63
87,7892823697574,10000,1,63
88,7892823707574,10000,1,63
89,7892823717574,10000,1,63
90,7892823727574,10000,1,64
91,7892823737574,10000,1,64
92,7892823747574,10000,1,65
93,7892823757574,10000,1,64
94,7892823767574,10000,1,64
95,7892823777574,10000,1,63
96,7892823787574,10000,1,62
97,7892823797574,10000,1,61
98,7892823807574,10000,1,63
99,7892823817574,10000,1,61
100,7892823827574,10000,1,63
101,7892823837574,10000,1,62
102,7892823847574,10000,1,63
103,7892823857574,10000,1,63
104,7892823867574,10000,1,63
105,7892823877574,10000,1,63
106,7892823887574,10000,1,63
107,7892823897574,10000,1,63
108,7892823907574,10000,1,63
109,7892823917574,10000,1,64
110,7892823927574,10000,1,64
111,7892823937574,10000,1,64
112,7892823947574,10000,1,63
113,7892823957574,10000,1,63
114,7892823967574,10000,1,61
115,7892823977574,10000,1,62
116,7892823987574,10000,1,63
117,7892823997574,10000,1,63
118,7892824007574,10000,1,63
119,7892824017574,10000,1,63
120,7892824027574,10000,1,63
121,7892824037574,10000,1,63
122,7892824047574,10000,1,63
123,7892824057574,10000,1,63
124,7892824067574,10000,1,64
125,7892824077574,10000,1,63
126,7892824087574,10000,1,62
127,7892824097574,10000,1,64
128,7892824107574,10000,1,63
129,7892824117574,10000,1,64
130,7892824127574,10000,1,81
131,7892824137574,10000,1,66
132,7892824147574,10000,1,64
133,7892824157574,10000,1,66
134,7892824167574,10000,1,76
135,7892824177574,10000,1,63
136,7892824187574,10000,1,63
137,7892824197574,10000,1,63
138,7892824207574,10000,1,62
139,7892824217574,10000,1,62
140,7892824227574,10000,1,63
141,7892824237574,10000,1,65
142,7892824247574,10000,1,63
143,7892824257574,10000,1,63
144,7892824267574,10000,1,63
145,7892824277574,10000,1,63
146,7892824287574,10000,1,63
147,7892824297574,10000,1,63
148,7892824307574,10000,1,63
149,7892824317574,10000,1,63
150,7892824327574,10000,1,63
151,7892824337574,10000,1,63
152,7892824347574,10000,1,63
153,7892824357574,10000,1,63
154,7892824367574,10000,1,63
155,7892824377574,10000,1,63
156,7892824387574,10000,1,63
157,7892824397574,10000,1,63
158,7892824407574,10000,1,63
159,7892824417574,10000,1,63
160,7892824427574,10000,1,63
161,7892824437574,10000,1,63
162,7892824447574,10000,1,63
163,7892824457574,10000,1,63
164,7892824467574,10000,1,63
165,7892824477574,10000,1,63
166,7892824487574,10000,1,63
167,7892824497574,10000,1,63
168,7892824507574,10000,1,63
169,7892824517574,10000,1,63
170,7892824527574,10000,1,63
171,7892824537574,10000,1,63
172,7892824547574,10000,1,63
173,7892824557574,10000,1,63
174,7892824567574,10000,1,63
175,7892824577574,10000,1,63
176,7892824587574,10000,1,63
177,7892824597574,10000,1,63
178,7892824607574,10000,1,63
179,7892824617574,10000,1,63
180,7892824627574,10000,1,63
181,7892824637574,10000,1,62
182,7892824647574,10000,1,64
183,7892824657574,10000,1,63
184,7892824667574,10000,1,63
185,7892824677574,10000,1,63
186,7892824687574,10000,1,63
187,7892824697574,10000,1,63
188,7892824707574,10000,1,63
189,7892824717574,10000,1,63
190,7892824727574,10000,1,63
191,7892824737574,10000,1,63
192,7892824747574,10000,1,63
193,7892824757574,10000,1,63
194,7892824767574,10000,1,63
195,7892824777574,10000,1,63
196,7892824787574,10000,1,63
197,7892824797574,10000,1,63
198,7892824807574,10000,1,63
199,7892824817574,10000,1,63
200,7892824827574,10000,1,63
201,7892824837574,10000,1,62
202,7892824847574,10000,1,64
203,7892824857574,10000,1,63
204,7892824867574,10000,1,61
205,7892824877574,10000,1,63
206,7892824887574,10000,1,63
207,7892824897574,10000,1,61
208,7892824907574,10000,1,62
209,7892824917574,10000,1,63
210,7892824927574,10000,1,61
211,7892824937574,10000,1,61
212,7892824947574,10000,1,62
213,7892824957574,10000,1,59
214,7892824967574,10000,1,61
215,7892824977574,10000,1,60
216,7892824987574,10000,1,60
217,7892824997574,10000,1,59
218,7892825007574,10000,1,61
219,7892825017574,10000,1,60
220,7892825027574,10000,1,59
221,7892825037574,10000,1,60
222,7892825047574,10000,1,62
223,7892825057574,10000,1,62
224,7892825067574,10000,1,63
225,7892825077574,10000,1,63
226,7892825087574,10000,1,63
227,7892825097574,10000,1,63
228,7892825107574,10000,1,63
229,7892825117574,10000,1,63
230,7892825127574,10000,1,63
231,7892825137574,10000,1,63
232,7892825147574,10000,1,63
233,7892825157574,10000,1,63
234,7892825167574,10000,1,63
235,7892825177574,10000,1,63
236,7892825187574,10000,1,63
237,7892825197574,10000,1,63
238,7892825207574,10000,1,64
239,7892825217574,10000,1,63
240,7892825227574,10000,1,79
241,7892825237574,10000,1,62
242,7892825247574,10000,1,64
243,7892825257574,10000,1,65
244,7892825267574,10000,1,63
245,7892825277574,10000,1,65
246,7892825287574,10000,1,64
247,7892825297574,10000,1,67
248,7892825307574,10000,1,67
249,7892825317574,10000,1,65
250,7892825327574,10000,1,64
251,7892825337574,10000,1,70
252,7892825347574,10000,1,63
253,7892825357574,10000,1,63
254,7892825367574,10000,1,63
255,7892825377574,10000,1,63
256,7892825387574,10000,1,63
257,7892825397574,10000,1,62
258,7892825407574,10000,1,64
259,7892825417574,10000,1,61
260,7892825427574,10000,1,60
261,7892825437574,10000,1,61
262,7892825447574,10000,1,64
263,7892825457574,10000,1,63
264,7892825467574,10000,1,61
265,7892825477574,10000,1,62
266,7892825487574,10000,1,61
267,7892825497574,10000,1,63
268,7892825507574,10000,1,65
269,7892825517574,10000,1,65
270,7892825527574,10000,1,70
271,7892825537574,10000,1,63
272,7892825547574,10000,1,63
273,7892825557574,10000,1,63
274,7892825567574,10000,1,63
275,7892825577574,10000,1,63
276,7892825587574,10000,1,63
277,7892825597574,10000,1,63
278,7892825607574,10000,1,63
279,7892825617574,10000,1,63
280,7892825627574,10000,1,63
281,7892825637574,10000,1,63
282,7892825647574,10000,1,63
283,7892825657574,10000,1,63
284,7892825667574,10000,1,63
285,7892825677574,10000,1,63
286,7892825687574,10000,1,63
287,7892825697574,10000,1,63
288,7892825707574,10000,1,63
289,7892825717574,10000,1,63
290,7892825727574,10000,1,63
291,7892825737574,10000,1,63
292,7892825747574,10000,1,63
293,7892825757574,10000,1,63
294,7892825767574,10000,1,63
295,7892825777574,10000,1,63
296,7892825787574,10000,1,63
297,7892825797574,10000,1,63
298,7892825807574,10000,1,63
299,7892825817574,10000,1,63
300,7892825827574,10000,1,63
301,7892825837574,10000,1,63
302,7892825847574,10000,1,63
303,7892825857574,10000,1,63
304,7892825867574,10000,1,63
305,7892825877574,10000,1,63
306,7892825887574,10000,1,63
307,7892825897574,10000,1,63
308,7892825907574,10000,1,63
309,7892825917574,10000,1,63
310,7892825927574,10000,1,63
311,7892825937574,10000,1,63
312,7892825947574,10000,1,63
313,7892825957574,10000,1,63
314,7892825967574,10000,1,63
315,7892825977574,10000,1,63
316,7892825987574,10000,1,63
317,7892825997574,10000,1,63
318,7892826007574,10000,1,63
319,7892826017574,10000,1,63
320,7892826027574,10000,1,63
321,7892826037574,10000,1,63
322,7892826047574,10000,1,63
323,7892826057574,10000,1,63
324,7892826067574,10000,1,63
325,7892826077574,10000,1,63
326,7892826087574,10000,1,63
327,7892826097574,10000,1,63
328,7892826107574,10000,1,63
329,7892826117574,10000,1,63
330,7892826127574,10000,1,63
331,7892826137574,10000,1,63
332,7892826147574,10000,1,63
333,7892826157574,10000,1,63
334,7892826167574,10000,1,63
335,7892826177574,10000,1,63
336,7892826187574,10000,1,63
337,7892826197574,10000,1,63
338,7892826207574,10000,1,63
339,7892826217574,10000,1,63
340,7892826227574,10000,1,63
341,7892826237574,10000,1,63
342,7892826247574,10000,1,63
343,7892826257574,10000,1,63
344,7892826267574,10000,1,63
345,7892826277574,10000,1,63
346,7892826287574,10000,1,63
347,7892826297574,10000,1,63
348,7892826307574,10000,1,63
349,7892826317574,10000,1,63
350,7892826327574,10000,1,63
351,7892826337574,10000,1,63
352,7892826347574,10000,1,63
353,7892826357574,10000,1,62
354,7892826367574,10000,1,62
355,7892826377574,10000,1,63
356,7892826387574,10000,1,64
357,7892826397574,10000,1,63
358,7892826407574,10000,1,64
359,7892826417574,10000,1,62
360,7892826427574,10000,1,64
361,7892826437574,10000,1,63
362,7892826447574,10000,1,63
363,7892826457574,10000,1,63
364,7892826467574,10000,1,63
365,7892826477574,10000,1,63
366,7892826487574,10000,1,63
367,7892826497574,10000,1,63
368,7892826507574,10000,1,63
369,7892826517574,10000,1,63
370,7892826527574,10000,1,63
371,7892826537574,10000,1,63
372,7892826547574,10000,1,63
373,7892826557574,10000,1,63
374,7892826567574,10000,1,62
375,7892826577574,10000,1,61
376,7892826587574,10000,1,62
377,7892826597574,10000,1,61
378,7892826607574,10000,1,63
379,7892826617574,10000,1,61
380,7892826627574,10000,1,61
381,7892826637574,10000,1,63
382,7892826647574,10000,1,63
383,7892826657574,10000,1,65
384,7892826667574,10000,1,67
385,7892826677574,10000,1,65
386,7892826687574,10000,1,65
387,7892826697574,10000,1,63
388,7892826707574,10000,1,63
389,7892826717574,10000,1,63
390,7892826727574,10000,1,63
391,7892826737574,10000,1,63
392,7892826747574,10000,1,63
393,7892826757574,10000,1,63
394,7892826767574,10000,1,63
395,7892826777574,10000,1,63
396,7892826787574,10000,1,63
397,7892826797574,10000,1,63
398,7892826807574,10000,1,63
399,7892826817574,10000,1,63
400,7892826827574,10000,1,63
401,7892826837574,10000,1,63
402,7892826847574,10000,1,63
403,7892826857574,10000,1,63
404,7892826867574,10000,1,63
405,7892826877574,10000,1,63
406,7892826887574,10000,1,63
407,7892826897574,10000,1,63
408,7892826907574,10000,1,63
409,7892826917574,10000,1,63
410,7892826927574,10000,1,63
411,7892826937574,10000,1,63
412,7892826947574,10000,1,63
413,7892826957574,10000,1,63
414,7892826967574,10000,1,63
415,7892826977574,10000,1,63
416,7892826987574,10000,1,63
417,7892826997574,10000,1,63
418,7892827007574,10000,1,63
419,7892827017574,10000,1,63
420,7892827027574,10000,1,63
421,7892827037574,10000,1,63
422,7892827047574,10000,1,63
423,7892827057574,10000,1,63
424,7892827067574,10000,1,62
425,7892827077574,10000,1,63
426,7892827087574,10000,1,61
427,7892827097574,10000,1,63
428,7892827107574,10000,1,64
429,7892827117574,10000,1,62
430,7892827127574,10000,1,61
431,7892827137574,10000,1,61
432,7892827147574,10000,1,63
433,7892827157574,10000,1,65
434,7892827167574,10000,1,63
435,7892827177574,10000,1,63
436,7892827187574,10000,1,64
437,7892827197574,10000,1,67
438,7892827207574,10000,1,63
439,7892827217574,10000,1,63
440,7892827227574,10000,1,63
441,7892827237574,10000,1,63
442,7892827247574,10000,1,63
