Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,10200019,0,0,4094
1,10235381,35362,0,4201
2,10266676,31295,0,4150
3,10301192,34516,0,4217
4,10333337,32145,0,4267
5,10366667,33330,0,3090
6,10399992,33325,0,4119
7,10433321,33329,0,3441
8,10467174,33853,0,3919
9,10500005,32831,0,3983
10,10534173,34168,0,4129
11,10566686,32513,0,4019
12,10599995,33309,0,3396
13,10633319,33324,0,4013
14,10666665,33346,0,3851
15,10700080,33415,0,3809
16,10733340,33260,0,4172
17,10770638,37298,0,3773
18,10802715,32077,0,4131
19,10833320,30605,0,3872
20,10866673,33353,0,3749
21,10899988,33315,0,3958
22,10933325,33337,0,4012
23,10966659,33334,0,3485
24,11000821,34162,0,4300
25,11033343,32522,0,3999
26,11068117,34774,0,4155
27,11100027,31910,0,4242
28,11133336,33309,0,3902
29,11166680,33344,0,3955
30,11200007,33327,0,4294
31,11233330,33323,0,3526
32,11266640,33310,0,4177
33,11302604,35964,0,4271
34,11333352,30748,0,4044
35,11366653,33301,0,4464
36,11399981,33328,0,4134
37,11433317,33336,0,3413
38,11466667,33350,0,4535
39,11499998,33331,0,4194
40,11533889,33891,0,3760
41,11566670,32781,0,4363
42,11600858,34188,0,4366
43,11633336,32478,0,4292
44,11666661,33325,0,4570
45,11700003,33342,0,3479
46,11733334,33331,0,4066
47,11766680,33346,0,4408
48,11800015,33335,0,3696
49,11835532,35517,0,4237
50,11866668,31136,0,4508
51,11901618,34950,0,4243
52,11933326,31708,0,4295
53,11966665,33339,0,3822
54,11999983,33318,0,4354
55,12033321,33338,0,4296
56,12067313,33992,1,3882
57,12099969,32656,0,6672
58,12134062,34093,0,4610
59,12166656,32594,0,4727
60,12200126,33470,0,4825
61,12233352,33226,0,4543
62,12266650,33298,0,4833
63,12299980,33330,0,4699
64,12333316,33336,0,4588
65,12369077,35761,0,4331
66,12400032,30955,0,4226
67,12433314,33282,0,3397
68,12466665,33351,0,4383
69,12499981,33316,0,4314
70,12533328,33347,0,4162
71,12566680,33352,0,3806
72,12600418,33738,0,4157
73,12633334,32916,0,4303
74,12666636,33302,0,3546
75,12699958,33322,0,4161
76,12733286,33328,0,4452
77,12766613,33327,0,4381
78,12799965,33352,0,4042
79,12833321,33356,0,3898
80,12866654,33333,0,4275
81,12902291,35637,0,4137
82,12933328,31037,0,3768
83,12966649,33321,0,4320
84,12999990,33341,0,4248
85,13033311,33321,0,4328
86,13066648,33337,0,3980
87,13099982,33334,0,4004
88,13133990,34008,0,4321
89,13166644,32654,0,3550
90,13201168,34524,0,4491
91,13233302,32134,0,4296
92,13266637,33335,0,4381
93,13299957,33320,0,4405
94,13333290,33333,0,4048
95,13366634,33344,0,4117
96,13399956,33322,0,4052
97,13435241,35285,0,3981
98,13466647,31406,0,4389
99,13501114,34467,0,4432
100,13533343,32229,0,4380
101,13566640,33297,0,4477
102,13599981,33341,0,4159
103,13633309,33328,0,4015
104,13667557,34248,0,3854
105,13699976,32419,0,4195
106,13735063,35087,0,4449
107,13766655,31592,0,4481
108,13799978,33323,0,4531
109,13833312,33334,0,4704
110,13866629,33317,0,4513
111,13899964,33335,0,3948
112,13933309,33345,0,4090
113,13969299,35990,0,3693
114,13999982,30683,0,4150
115,14033312,33330,0,4370
116,14066638,33326,1,4503
117,14099975,33337,0,7140
118,14133306,33331,0,4404
119,14166632,33326,0,4312
120,14200090,33458,0,4466
121,14233296,33206,0,4218
122,14266631,33335,0,4223
123,14299966,33335,0,4183
124,14333295,33329,0,4123
125,14366623,33328,0,4205
126,14399950,33327,0,4166
127,14433305,33355,0,4012
128,14466632,33327,0,4212
129,14501911,35279,0,3993
130,14533301,31390,0,3914
131,14566625,33324,0,3844
132,14599976,33351,0,3703
133,14635607,35631,0,3500
134,14666669,31062,0,3558
135,14699974,33305,0,3696
136,14733926,33952,0,3845
137,14766630,32704,0,3638
138,14800664,34034,0,3691
139,14833303,32639,0,3614
140,14866649,33346,0,3600
141,14899982,33333,0,3590
142,14933295,33313,0,3540
143,14966622,33327,0,3288
144,14999958,33336,0,3508
145,15035382,35424,0,3358
146,15066643,31261,0,3400
147,15100081,33438,0,3315
148,15133284,33203,0,3258
149,15166628,33344,0,3317
150,15199963,33335,0,3377
151,15233299,33336,0,3173
152,15267752,34453,0,3443
153,15299961,32209,0,3066
154,15334350,34389,0,3247
155,15366627,32277,0,3126
156,15399966,33339,0,3058
157,15433285,33319,0,3089
158,15466625,33340,0,3008
159,15499968,33343,0,2973
160,15533292,33324,0,3143
161,15569127,35835,0,2757
162,15599976,30849,0,2886
163,15633237,33261,0,2768
164,15666636,33399,0,2632
165,15699968,33332,0,2676
166,15733293,33325,0,2444
167,15766625,33332,0,2406
168,15800553,33928,0,2657
169,15833287,32734,0,2268
170,15868127,34840,0,2260
171,15899964,31837,0,2244
172,15933279,33315,0,2138
173,15966624,33345,0,2025
174,15999954,33330,0,1879
175,16033509,33555,0,1993
176,16066613,33104,1,4664
177,16101960,35347,0,6691
178,16133273,31313,0,1807
179,16166607,33334,0,1336
180,16199952,33345,0,1088
181,16233286,33334,0,1302
182,16266626,33340,0,1146
183,16299939,33313,0,1052
184,16333643,33704,0,1050
185,16366627,32984,0,1180
186,16400431,33804,0,624
187,16433291,32860,0,14857
188,16466625,33334,0,4205
189,16499947,33322,0,2963
190,16533285,33338,0,2695
191,16566604,33319,0,2610
192,16599944,33340,0,2708
193,16634946,35002,0,2624
194,16666603,31657,0,2960
195,16701603,35000,0,2692
196,16733288,31685,0,2698
197,16766609,33321,0,2939
198,16799952,33343,0,2772
199,16833279,33327,0,2802
200,16867116,33837,0,2992
201,16899963,32847,0,3225
202,16934805,34842,0,2669
203,16966621,31816,0,2899
204,16999947,33326,0,2734
205,17033279,33332,0,2671
206,17066613,33334,0,2885
207,17099954,33341,0,2878
208,17133263,33309,0,2648
209,17169311,36048,0,3286
210,17199941,30630,0,2601
211,17233254,33313,0,2681
212,17266624,33370,0,2754
213,17299940,33316,0,2742
214,17333265,33325,0,2732
215,17366616,33351,0,2830
216,17400481,33865,0,2728
217,17433279,32798,0,3005
218,17467211,33932,0,2744
219,17499974,32763,0,2874
220,17533274,33300,0,2771
221,17566599,33325,0,2888
222,17599932,33333,0,2927
223,17633279,33347,0,2764
224,17666609,33330,0,3020
225,17702162,35553,0,2927
226,17733268,31106,0,3152
227,17766597,33329,0,2719
228,17799957,33360,0,2779
229,17833280,33323,0,2809
230,17866618,33338,0,2961
231,17899941,33323,0,2944
232,17934054,34113,0,2733
233,17966596,32542,0,2951
234,18000866,34270,0,3022
235,18033190,32324,0,2639
236,18066596,33406,1,6830
237,18099928,33332,0,8537
238,18133265,33337,0,3116
239,18166584,33319,0,2888
240,18199926,33342,0,2668
241,18237657,37731,0,2601
242,18266624,28967,0,3244
243,18299897,33273,0,2670
244,18333254,33357,0,2672
245,18366595,33341,0,2859
246,18399945,33350,0,2717
247,18433266,33321,0,2658
248,18467441,34175,0,2850
249,18499926,32485,0,2737
250,18534358,34432,0,2927
251,18566586,32228,0,2721
252,18599933,33347,0,2665
253,18633265,33332,0,2624
254,18666590,33325,0,2827
255,18699953,33363,0,2892
256,18733265,33312,0,2678
257,18768913,35648,0,2867
258,18799932,31019,0,3002
259,18833266,33334,0,2590
260,18866615,33349,0,2926
261,18899927,33312,0,2808
262,18933269,33342,0,2721
263,18966600,33331,0,2958
264,19000473,33873,0,2745
265,19033253,32780,0,2716
266,19066568,33315,0,3240
267,19099917,33349,0,2740
268,19133232,33315,0,2788
269,19166576,33344,0,2940
270,19199913,33337,0,2766
271,19233286,33373,0,2727
272,19266585,33299,0,2899
273,19300035,33450,0,2870
274,19333229,33194,0,3115
275,19366543,33314,0,2742
276,19399913,33370,0,2772
277,19433205,33292,0,2681
278,19466578,33373,0,2871
279,19499916,33338,0,2832
280,19533721,33805,0,2694
281,19566586,32865,0,2925
282,19606465,39879,0,3106
283,19633244,26779,0,2617
284,19666574,33330,0,3029
285,19699913,33339,0,2958
286,19733247,33334,0,2825
287,19766586,33339,0,3106
288,19799910,33324,0,2855
289,19836392,36482,0,2858
290,19866599,30207,0,3330
291,19901715,35116,0,2809
292,19933242,31527,0,2848
293,19966602,33360,0,3093
294,19999924,33322,0,2817
295,20033246,33322,0,2746
296,20067539,34293,1,6838
297,20099917,32378,0,8566
298,20134304,34387,0,3390
299,20166591,32287,0,2728
300,20199923,33332,0,2759
301,20233260,33337,0,2835
302,20266576,33316,0,2782
303,20299941,33365,0,8412
304,20333248,33307,0,1180
305,20369281,36033,0,677
306,20399902,30621,0,674
307,20433454,33552,0,721
308,20466585,33131,0,618
309,20499904,33319,0,491
310,20533241,33337,0,1169
311,20566569,33328,0,532
312,20600597,34028,0,746
313,20633270,32673,0,1428
314,20668338,35068,0,1658
315,20699917,31579,0,1708
316,20733246,33329,0,1733
317,20766577,33331,0,1566
318,20799909,33332,0,1659
319,20833227,33318,0,2404
320,20866570,33343,0,2057
321,20902005,35435,0,2031
322,20933241,31236,0,2474
323,20966545,33304,0,2534
324,20999893,33348,0,1931
325,21033228,33335,0,1716
326,21066566,33338,0,1634
327,21099903,33337,0,1533
328,21133798,33895,0,1504
329,21166594,32796,0,1918
330,21201341,34747,0,1284
331,21233244,31903,0,1014
332,21266564,33320,0,1032
333,21299907,33343,0,969
334,21333240,33333,0,993
335,21366529,33289,0,1064
336,21400381,33852,0,1055
337,21433204,32823,0,1014
338,21466561,33357,0,1289
339,21501306,34745,0,1099
340,21533240,31934,0,996
341,21566573,33333,0,1030
342,21599919,33346,0,997
343,21633224,33305,0,958
344,21666954,33730,0,946
345,21699899,32945,0,920
346,21733897,33998,0,948
347,21766566,32669,0,910
348,21799893,33327,0,1118
349,21833229,33336,0,945
350,21866572,33343,0,1913
351,21899904,33332,0,2205
352,21933191,33287,0,2039
353,21969343,36152,0,1422
354,21999908,30565,0,1755
355,22033233,33325,0,2023
356,22066575,33342,1,3580
357,22099907,33332,0,5916
358,22133228,33321,0,3128
359,22166552,33324,0,2623
360,22200581,34029,0,2117
361,22233228,32647,0,1964
362,22267569,34341,0,2083
