Time (s),Bitrate (Bps)
0,4125.00
1,3918.53
2,4136.27
3,4199.39
4,4158.49
5,4158.39
6,4194.53
7,4166.67
8,4217.13
9,4162.24
10,4172.63
11,4187.95
12,4104.10
13,4104.15
14,4154.00
15,4211.60
16,4181.45
17,4178.39
18,4210.42
19,4172.27
20,4176.89
21,4144.48
22,4164.30
23,4169.04
24,4209.35
25,4169.89
26,4223.13
27,4235.47
28,4109.41
29,4178.72
30,4191.64
31,4179.41
32,4177.19
33,4213.48
34,4158.16
35,4154.55
36,4124.75
37,4104.15
38,4158.22
39,4166.67
40,4279.43
41,4134.42
42,4187.95
43,4207.35
44,4126.53
45,4112.46
46,4179.41
47,4224.49
48,4188.58
49,4212.03
50,4147.09
51,4227.18
52,4110.09
53,4183.99
54,4163.78
55,4215.89
56,4200.00
57,4159.88
58,4207.32
59,4134.42
60,4175.15
61,4150.83
62,4224.49
63,4138.63
64,4216.90
65,4196.52
66,4166.67
67,4234.15
68,4168.05
69,4146.07
70,4224.49
71,4142.86
72,4227.32
73,4177.55
74,4187.95
75,4212.61
76,4210.58
77,4119.05
78,4170.91
79,4175.15
80,4226.40
81,4152.75
82,4198.57
83,4148.26
84,4133.40
85,4079.40
86,4187.63
87,4145.62
88,4225.51
89,4220.18
90,4164.10
91,4183.67
92,4108.22
93,4116.63
94,4203.05
95,4088.62
96,4225.05
97,4207.74
98,4192.23
99,4179.41
100,4137.61
101,4125.00
102,4130.21
103,4176.83
104,4206.72
105,4199.59
106,4217.21
107,4183.67
108,4108.22
109,4112.46
110,4162.44
111,4154.63
112,4213.85
113,4189.22
114,4214.80
115,4119.27
116,4107.21
117,4147.15
118,4190.04
119,4135.16
120,4212.61
121,4175.15
122,4228.80
123,4187.95
124,4167.35
125,4091.73
126,4179.41
127,4175.15
128,4184.51
129,4175.33
130,4230.30
131,4179.23
132,4134.28
133,4067.81
134,4170.91
135,4170.91
136,4263.27
137,4155.17
138,4161.72
139,4253.06
140,4105.91
141,4210.20
142,4187.37
143,4170.91
144,4221.43
145,4192.03
146,4154.94
147,4224.59
148,4138.35
149,4144.91
150,4217.79
151,4135.44
152,4230.14
153,4173.65
154,4220.18
155,4212.61
156,4146.64
157,4197.10
158,4138.63
159,4183.67
160,4248.98
161,4138.63
162,4183.67
163,4248.47
164,4135.16
165,4222.68
166,4133.40
167,4183.67
168,4213.27
169,4179.12
170,4176.71
171,4212.61
172,4169.89
173,4152.17
174,4117.29
175,4170.06
176,4225.51
177,4223.47
178,4148.11
179,4212.61
180,4187.82
181,4157.46
182,4147.92
183,4215.89
184,4176.17
185,4179.41
186,4183.67
187,4215.45
188,4167.01
189,4185.42
190,4162.44
191,4179.41
192,4204.06
193,4179.41
194,4200.82
195,4181.91
196,4156.66
197,4185.42
198,4162.44
199,4183.30
200,4230.38
201,4202.85
202,4138.63
203,4220.18
204,4146.54
205,4175.15
206,4187.95
207,4175.15
208,4204.29
209,4208.16
210,4197.54
211,4204.06
212,4092.67
213,4169.89
214,4134.42
215,4179.41
216,4225.51
217,4231.08
218,4175.15
219,4180.71
220,4113.94
221,4181.06
222,4207.32
223,4145.62
224,4249.75
225,4167.18
226,4209.23
227,4176.83
228,4196.52
229,4188.60
230,4162.08
231,4168.02
232,4261.98
233,4187.95
234,4179.41
235,4208.33
236,4187.95
237,4181.06
238,4172.10
239,4182.47
240,4221.20
241,4179.41
242,4173.12
243,4210.37
244,4147.66
245,4209.16
246,4175.15
247,4144.46
248,4247.71
249,4175.33
250,4151.17
251,4162.44
252,4129.20
253,4177.37
254,4122.84
255,4173.78
256,4203.85
257,4204.71
258,4175.15
259,4193.29
260,4169.89
261,4115.97
262,4188.39
263,4160.90
264,4244.13
265,4164.29
266,4207.35
267,4173.96
268,4168.02
269,4124.62
270,4168.37
271,4211.01
272,4192.46
273,4193.65
274,4158.22
275,4248.22
276,4179.23
277,4156.96
278,4146.79
279,4182.10
280,4228.57
281,4154.08
282,4160.73
283,4212.98
284,4094.19
285,4213.91
286,4134.42
287,4220.18
288,4190.82
289,4218.81
290,4189.80
291,4205.28
292,4146.64
293,4180.21
294,4168.20
295,4145.77
296,4216.90
297,4196.52
298,4170.91
299,4253.31
300,4183.67
301,4172.38
302,4169.04
303,4136.32
304,4252.04
305,4202.25
306,4170.91
307,4210.58
308,4128.05
309,4200.62
310,4196.74
311,4179.41
312,4195.10
313,4219.04
314,4146.64
315,4208.33
316,4179.41
317,4231.49
318,4154.63
319,4207.57
320,4229.04
321,4153.22
322,4175.15
323,4199.80
324,4158.81
325,4145.77
326,4172.27
327,4183.49
328,4220.41
329,4185.52
330,4195.92
331,4204.89
332,4167.85
333,4109.41
334,4141.84
335,4175.99
336,4216.11
337,4183.67
338,4175.15
339,4204.06
340,4203.25
341,4185.22
342,4126.02
343,4170.91
344,4212.61
345,4220.18
346,4123.86
347,4238.34
348,4127.16
349,4107.25
350,4215.89
351,4167.01
352,4229.36
353,4170.08
354,4182.81
