Time (s),Bitrate (Bps)
0,25737.47
1,40746.89
2,60790.89
3,83336.43
4,103984.47
5,121216.86
6,132977.32
7,133701.55
8,139003.12
9,124033.06
10,92414.51
11,90560.50
12,97170.96
13,96274.79
14,98688.41
15,73306.02
16,45861.75
17,64124.09
18,31804.37
19,66310.63
20,64734.23
21,25063.85
22,63723.89
23,101092.04
24,102262.94
25,101647.98
26,102952.28
27,99876.16
28,100728.40
29,102560.82
30,104035.16
31,105594.62
32,106981.40
33,109458.12
34,119232.37
35,98690.08
36,94542.27
37,90277.49
38,85909.18
39,76926.88
40,68470.53
41,63320.91
42,53087.28
43,64220.04
44,90177.50
45,87150.83
46,71511.89
47,105367.98
48,183312.63
49,147852.54
50,67139.90
51,68410.31
52,68948.29
53,76659.75
54,107535.90
55,74560.50
56,22327.12
57,42352.27
58,39572.91
59,26357.51
60,59013.40
61,46818.09
62,60522.73
63,55463.29
64,79139.90
65,100502.08
66,107049.54
67,85878.76
68,147755.92
69,21779.50
70,35973.17
71,35043.43
72,33924.51
73,101681.54
74,159853.13
75,129543.30
76,182453.14
77,182106.67
78,186220.04
79,146286.90
80,125741.70
81,93798.55
82,69165.97
83,34107.44
84,18219.59
85,42625.26
86,51167.88
87,35355.14
88,34730.44
89,43104.06
90,51403.95
91,29535.75
92,32085.48
93,24379.77
94,42923.47
95,62623.72
96,47909.84
97,27766.36
98,26425.03
99,44202.27
100,38330.24
101,76471.01
102,37663.21
103,59860.54
104,69353.37
105,88551.51
106,57856.99
107,70983.42
108,65460.82
109,67337.81
110,65950.52
111,85713.55
112,81744.55
113,59635.61
114,57073.73
115,85439.88
116,84654.24
117,85507.20
118,187349.22
119,140521.65
120,98249.74
121,92673.24
122,94575.29
123,50974.17
124,39689.44
125,49910.49
126,72284.53
127,81295.34
128,42643.45
129,47573.21
130,60487.60
131,60296.02
132,54372.81
133,66517.53
134,80825.91
135,76261.36
136,50262.23
137,76711.07
138,77938.92
139,91749.48
140,68871.00
141,74487.58
142,117834.54
143,65042.40
144,49060.95
145,43997.92
146,29396.69
147,23970.01
148,46337.13
149,48869.21
150,82509.87
151,98576.29
152,105057.97
153,74259.88
154,72110.77
155,44641.68
156,33172.88
157,29212.59
158,41335.40
159,54426.64
160,73492.24
161,79407.64
162,76280.25
163,92292.36
164,59557.97
165,65804.75
166,37350.88
167,48527.95
168,88071.43
169,70086.55
170,39344.76
171,29840.91
172,48051.60
173,49270.38
174,61559.34
175,104009.31
176,115614.11
177,78256.73
178,65487.55
179,71337.81
180,107186.41
181,115769.39
182,106893.70
183,109840.91
184,98056.99
185,89623.58
186,147322.28
187,137633.54
188,69550.72
189,19095.24
190,22083.59
191,69067.15
192,150964.88
193,98788.60
194,98319.59
195,163021.76
196,61309.99
197,34994.82
198,70451.81
199,63409.65
200,72705.82
201,53420.50
202,53796.09
203,48576.01
204,34655.67
205,79038.30
206,103122.66
207,52217.26
208,130627.47
209,148396.89
210,174753.40
211,156667.70
212,203608.07
213,98713.40
214,53679.75
215,62295.64
216,81139.73
217,90554.52
218,79691.43
219,51822.13
220,41689.12
221,18651.14
222,20069.29
223,37327.48
224,33931.82
225,93728.22
226,96211.46
227,67830.75
228,65580.31
229,58810.56
230,22264.74
231,31685.30
232,90631.36
233,61281.57
234,37771.22
235,37496.39
236,43729.06
237,28774.79
238,29733.47
239,40404.76
240,63726.14
241,71724.07
242,110244.05
243,145174.23
244,133001.03
245,106954.45
246,93795.24
247,153838.14
248,89608.70
249,68696.59
250,61117.89
251,83365.23
252,127218.20
253,85261.68
254,64070.32
255,34162.36
256,64740.70
257,79236.70
258,86507.74
259,56856.85
260,88160.82
261,59680.79
262,79050.57
263,51167.88
264,43578.40
265,55030.11
266,71627.33
267,41525.39
268,52920.29
269,62432.71
270,136347.51
271,137862.46
272,138135.28
273,76931.11
274,68412.80
275,71824.69
276,83229.02
277,90136.50
278,97211.78
279,87223.14
280,70660.06
281,52914.17
282,51020.62
283,68784.76
284,36586.35
285,22520.66
286,25510.35
287,35689.12
288,37329.18
289,31225.10
290,24296.79
291,50622.93
292,92820.06
293,159125.13
294,128395.66
295,62408.67
296,54344.72
297,133071.50
298,77124.87
299,26915.55
300,76858.91
301,66435.95
302,85728.78
303,103774.33
304,79090.16
305,46249.74
306,67394.00
307,140029.96
308,50079.63
309,46922.36
310,96093.26
311,81214.51
312,151183.23
313,159617.37
314,106069.14
315,114538.93
316,105137.11
317,116510.86
318,123283.80
319,116448.35
320,169919.25
321,141081.50
322,46669.76
323,130614.36
324,94957.51
325,81145.66
326,129913.72
327,222617.22
328,96609.73
329,101269.43
330,98162.53
331,95346.39
332,95256.46
333,83273.58
334,71199.79
335,66536.71
336,98455.30
337,38789.86
338,17828.51
339,53141.68
340,44052.85
341,36690.48
342,140304.75
343,184414.78
344,185920.37
345,196346.75
346,154195.07
347,138696.19
348,158193.58
349,175074.53
350,184102.48
351,108715.47
352,151984.41
353,51824.32
354,108385.46
