Chunk Index,Relative Timestamp Difference (μs)
0,545837
1,515837
2,485837
3,455837
4,425837
5,395837
6,365837
7,335837
8,305838
9,275837
10,245837
11,215837
12,185837
13,155837
14,125837
15,95837
16,65837
17,35837
18,5837
19,4537
20,4667
21,3007
22,2497
23,2494
24,2480
25,2491
26,2490
27,2472
28,1354
29,497
30,2495
31,2483
32,2491
33,2447
34,3666
35,4603
36,5065
37,2460
38,2451
39,2451
40,2450
41,2442
42,2467
43,2441
44,2428
45,2424
46,2421
47,2467
48,2395
49,2408
50,4036
51,4173
52,5686
53,2429
54,2406
55,2399
56,2374
57,2377
58,2377
59,2365
60,1726
61,2378
62,2380
63,2389
64,2374
65,2388
66,2755
67,4905
68,4938
69,2607
70,2315
71,2300
72,2316
73,2296
74,2317
75,2307
76,2315
77,2330
78,2304
79,2338
80,2307
81,2335
82,4034
83,3328
84,5110
85,2310
86,2320
87,2320
88,2315
89,2292
90,2294
91,2294
92,1203
93,6018
94,2301
95,2268
96,2266
97,2289
98,2842
99,3821
100,4527
101,2257
102,2261
103,2259
104,2274
105,2237
106,2240
107,46
108,698
109,2230
110,2247
111,2223
112,2258
113,2224
114,2585
115,3907
116,3764
117,2876
118,2198
119,2189
120,2203
121,2214
122,2222
123,2188
124,1934
125,2187
126,2201
127,2187
128,2170
129,2169
130,3029
131,3700
132,2258
133,2151
134,2125
135,2150
136,2186
137,2155
138,2140
139,2142
140,917
141,2156
142,2134
143,2137
144,2134
145,2108
146,2511
147,3905
148,2785
149,2098
150,2097
151,2090
152,2103
153,2089
154,2099
155,2098
156,2095
157,2090
158,2071
159,2097
160,2099
161,2090
162,2456
163,4492
164,2823
165,2046
166,2070
167,2047
168,2061
169,2050
170,2065
171,2053
172,1556
173,2022
174,2031
175,2036
176,2040
177,2019
178,2458
179,3712
180,2512
181,2002
182,2005
183,1998
184,2014
185,2015
186,1999
187,2003
188,1985
189,1997
190,1971
191,1987
192,1973
193,1965
194,1969
195,4919
196,2628
197,1961
198,1950
199,1959
