Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,8133556087286,0,1,60
1,8133556097286,10000,1,61
2,8133556107286,10000,1,56
3,8133556117286,10000,1,58
4,8133556127286,10000,1,65
5,8133556137286,10000,1,66
6,8133556147286,10000,1,62
7,8133556157286,10000,1,61
8,8133556167286,10000,1,63
9,8133556177286,10000,1,58
10,8133556187286,10000,1,62
11,8133556197286,10000,1,59
12,8133556207286,10000,1,56
13,8133556217286,10000,1,55
14,8133556227286,10000,1,53
15,8133556237286,10000,1,55
16,8133556247286,10000,1,57
17,8133556257286,10000,1,61
18,8133556267286,10000,1,62
19,8133556277286,10000,1,59
20,8133556287286,10000,1,62
21,8133556297286,10000,1,61
22,8133556307286,10000,1,59
23,8133556317286,10000,1,64
24,8133556327286,10000,1,62
25,8133556337286,10000,1,60
26,8133556347286,10000,1,58
27,8133556357286,10000,1,56
28,8133556367286,10000,1,58
29,8133556377286,10000,1,64
30,8133556387286,10000,1,59
31,8133556397286,10000,1,56
32,8133556407286,10000,1,59
33,8133556417286,10000,1,57
34,8133556427286,10000,1,58
35,8133556437286,10000,1,59
36,8133556447286,10000,1,60
37,8133556457286,10000,1,59
38,8133556467286,10000,1,62
39,8133556477286,10000,1,65
40,8133556487286,10000,1,65
41,8133556497286,10000,1,64
42,8133556507286,10000,1,65
43,8133556517286,10000,1,68
44,8133556527286,10000,1,69
45,8133556537286,10000,1,65
46,8133556547286,10000,1,70
47,8133556557286,10000,1,69
48,8133556567286,10000,1,60
49,8133556577286,10000,1,63
50,8133556587286,10000,1,60
51,8133556597286,10000,1,56
52,8133556607286,10000,1,63
53,8133556617286,10000,1,61
54,8133556627286,10000,1,63
55,8133556637286,10000,1,62
56,8133556647286,10000,1,64
57,8133556657286,10000,1,66
58,8133556667286,10000,1,65
59,8133556677286,10000,1,63
60,8133556687286,10000,1,66
61,8133556697286,10000,1,67
62,8133556707286,10000,1,65
63,8133556717286,10000,1,55
64,8133556727286,10000,1,58
65,8133556737286,10000,1,57
