Chunk Index,Chunk Timestamp (μs),Relative Chunk Timestamp (μs),Chunk Type (1=key 0=delta),Chunk Size (B)
0,5500872,0,0,583
1,5533376,32504,0,650
2,5566690,33314,0,807
3,5600035,33345,0,811
4,5633382,33347,0,767
5,5666707,33325,0,697
6,5700044,33337,0,815
7,5733385,33341,0,769
8,5766714,33329,0,834
9,5802453,35739,0,891
10,5833396,30943,0,908
11,5866719,33323,0,881
12,5900047,33328,0,815
13,5933385,33338,0,858
14,5966722,33337,0,1041
15,6000065,33343,0,940
16,6033678,33613,0,992
17,6066709,33031,1,1301
18,6100035,33326,0,2547
19,6133383,33348,0,1219
20,6166719,33336,0,1147
21,6200033,33314,0,1099
22,6233362,33329,0,1075
23,6266699,33337,0,1231
24,6300039,33340,0,1151
25,6335409,35370,0,1229
26,6366712,31303,0,1321
27,6400033,33321,0,1197
28,6433383,33350,0,1185
29,6467049,33666,0,1256
30,6500069,33020,0,1168
31,6533370,33301,0,1243
32,6567101,33731,0,1387
33,6600052,32951,0,1308
34,6635539,35487,0,1215
35,6666724,31185,0,1262
36,6700020,33296,0,1245
37,6733359,33339,0,1458
38,6766707,33348,0,1348
39,6800036,33329,0,1286
40,6833374,33338,0,1490
41,6869010,35636,0,1385
42,6900037,31027,0,1497
43,6933879,33842,0,1391
44,6966702,32823,0,1585
45,7000013,33311,0,1482
46,7033368,33355,0,1553
47,7066704,33336,1,1491
48,7100306,33602,0,2956
49,7133378,33072,0,1759
50,7167927,34549,0,1802
51,7200055,32128,0,1723
52,7233369,33314,0,1665
53,7266701,33332,0,1804
54,7300039,33338,0,1749
55,7333357,33318,0,1676
56,7366699,33342,0,1793
57,7402862,36163,0,1648
58,7433390,30528,0,1859
59,7467057,33667,0,1856
60,7500031,32974,0,1832
61,7533366,33335,0,2013
62,7566710,33344,0,1973
63,7600049,33339,0,1938
64,7633634,33585,0,1982
65,7666705,33071,0,2038
66,7701480,34775,0,1943
67,7733375,31895,0,2202
68,7766709,33334,0,2076
69,7800024,33315,0,2266
70,7833352,33328,0,2015
71,7866693,33341,0,2158
72,7900030,33337,0,2260
73,7935933,35903,0,2153
74,7966703,30770,0,2347
75,8000041,33338,0,2614
76,8033384,33343,0,2340
77,8066718,33334,1,1801
78,8100045,33327,0,3561
79,8133363,33318,0,2664
80,8167845,34482,0,2519
81,8200036,32191,0,2565
82,8235423,35387,0,2614
83,8266706,31283,0,2612
84,8300028,33322,0,2624
85,8333364,33336,0,2570
86,8366690,33326,0,2172
87,8400012,33322,0,2742
88,8433362,33350,0,2447
89,8468952,35590,0,2788
90,8500032,31080,0,2583
91,8533373,33341,0,2900
92,8566702,33329,0,2847
93,8600023,33321,0,2355
94,8633337,33314,0,3026
95,8666684,33347,0,2561
96,8700661,33977,0,3105
97,8733344,32683,0,2742
98,8766942,33598,0,2889
99,8800025,33083,0,2835
100,8833366,33341,0,2493
101,8866691,33325,0,2992
102,8900022,33331,0,2700
103,8933333,33311,0,3135
104,8966680,33347,0,2922
105,9002226,35546,0,3069
106,9033360,31134,0,3052
107,9066624,33264,1,2462
108,9100038,33414,0,4544
109,9133357,33319,0,3517
110,9166699,33342,0,3300
111,9200020,33321,0,3575
112,9233763,33743,0,3329
113,9266705,32942,0,3506
114,9301369,34664,0,3490
115,9333362,31993,0,3500
116,9366688,33326,0,2733
117,9400022,33334,0,3558
118,9433341,33319,0,3023
119,9466665,33324,0,3685
120,9500004,33339,0,3297
121,9533315,33311,0,3366
122,9566659,33344,0,3366
123,9600011,33352,0,2828
124,9633366,33355,0,3517
125,9666689,33323,0,3028
126,9700036,33347,0,3428
127,9733339,33303,0,3489
128,9768726,35387,0,3609
129,9800018,31292,0,3401
130,9835803,35785,0,2819
131,9866696,30893,0,3585
132,9900021,33325,0,3067
133,9933355,33334,0,3584
134,9966681,33326,0,3370
135,10000019,33338,0,3841
136,10033323,33304,0,3509
137,10068208,34885,1,3114
138,10100027,31819,0,5580
139,10133331,33304,0,4127
140,10166703,33372,0,3884
141,10200017,33314,0,4094
142,10233363,33346,0,4201
143,10266682,33319,0,4150
144,10300630,33948,0,4217
