Time (s),Bitrate (Bps)
0,4038.46
1,3980.61
2,4067.07
3,4204.10
4,4167.85
5,4221.18
6,4205.49
7,4175.15
8,4205.13
9,4184.69
10,4179.41
11,4170.91
12,4166.67
13,4179.41
14,4137.61
15,4241.80
16,4147.09
17,4238.49
18,4177.19
19,4164.63
20,4166.67
21,4219.33
22,4178.21
23,4176.35
24,4187.95
25,4254.10
26,4204.68
27,4158.22
28,4134.42
29,4173.96
30,4208.97
31,4169.04
32,4163.60
33,4236.20
34,4176.35
35,4170.91
36,4158.22
37,4170.91
38,4175.15
39,4143.15
40,4242.02
41,4187.37
42,4169.72
43,4176.35
44,4174.80
45,4187.56
46,4126.53
47,4210.58
48,4148.83
49,4251.78
50,4126.02
51,4203.46
52,4146.79
53,4212.61
54,4191.07
55,4210.42
56,4134.42
57,4232.89
58,4212.83
59,4113.48
60,4198.78
61,4158.86
62,4171.08
63,4134.42
64,4215.89
65,4208.76
66,4149.39
67,4209.18
68,4134.42
69,4179.41
70,4182.65
71,4130.21
72,4195.52
73,4196.54
74,4158.22
75,4166.67
76,4194.53
77,4138.63
78,4175.15
79,4179.41
80,4206.15
81,4250.51
82,4158.22
83,4125.00
84,4149.30
85,4214.95
86,4170.91
87,4179.41
88,4187.95
89,4275.05
90,4134.42
91,4175.15
92,4175.15
93,4206.22
94,4215.89
95,4156.82
96,4184.24
97,4251.78
98,4175.15
99,4170.91
100,4166.67
101,4214.95
102,4130.21
103,4209.78
104,4174.85
105,4242.05
106,4195.12
107,4175.15
108,4175.15
109,4171.63
110,4192.23
111,4144.60
112,4200.00
113,4245.15
114,4195.52
115,4170.06
116,4169.72
117,4155.65
118,4194.90
119,4153.92
120,4174.31
121,4229.83
122,4215.89
123,4170.91
124,4166.67
125,4179.41
126,4120.81
127,4175.15
128,4151.33
129,4204.06
130,4175.99
131,4167.68
132,4209.78
133,4182.10
134,4183.67
135,4196.52
136,4228.80
137,4212.61
138,4136.46
139,4196.14
140,4139.37
141,4224.49
142,4141.84
143,4183.67
144,4179.41
145,4221.20
146,4130.21
147,4184.96
148,4148.37
149,4229.25
150,4209.40
151,4143.88
152,4187.76
153,4221.43
154,4212.03
155,4183.30
156,4130.21
157,4215.89
158,4092.67
159,4175.15
160,4206.54
161,4219.84
162,4179.41
163,4170.91
164,4179.41
165,4247.67
166,4175.15
167,4179.41
168,4157.63
169,4225.51
170,4168.87
171,4166.67
172,4211.60
173,4206.22
174,4179.41
175,4142.86
176,4192.23
177,4266.33
178,4160.57
179,4144.46
180,4203.46
181,4192.11
182,4161.06
183,4234.39
184,4141.69
185,4225.51
186,4170.91
187,4166.67
188,4211.60
189,4206.22
190,4179.41
191,4192.23
192,4196.52
193,4225.51
194,4170.91
195,4143.44
196,4153.46
197,4210.58
198,4175.15
199,4187.95
200,4192.23
201,4275.05
202,4161.91
203,4184.13
204,4170.91
205,4210.58
206,4162.44
207,4183.67
208,4166.84
209,4236.01
210,4157.68
211,4184.13
212,4132.11
213,4226.14
214,4164.12
215,4215.53
216,4160.37
217,4233.67
218,4207.74
219,4146.94
220,4162.60
221,4219.33
222,4215.89
223,4134.42
224,4233.13
225,4221.20
226,4175.15
227,4126.02
228,4162.44
229,4260.91
230,4134.42
231,4228.80
232,4200.82
233,4212.61
234,4166.67
235,4170.91
236,4170.91
237,4217.26
238,4165.99
239,4199.18
240,4196.52
241,4225.51
242,4172.10
243,4169.72
244,4137.33
245,4249.22
246,4179.41
247,4142.86
248,4228.80
249,4213.05
250,4129.95
251,4175.15
252,4170.91
253,4252.07
254,4162.24
255,4200.82
256,4212.68
257,4218.59
258,4185.34
259,4132.25
260,4211.60
261,4184.46
262,4253.10
263,4196.32
264,4179.78
265,4229.36
266,4166.67
267,4130.21
268,4201.63
269,4187.95
270,4175.15
271,4233.61
272,4155.26
273,4225.51
274,4170.91
275,4197.15
276,4159.72
277,4204.68
278,4168.02
279,4186.09
280,4190.18
281,4201.83
282,4167.18
283,4175.99
284,4157.36
285,4224.49
286,4105.10
287,4208.38
288,4189.60
289,4215.67
290,4165.82
291,4145.18
292,4168.87
293,4214.58
294,4211.22
295,4151.89
296,4200.82
297,4216.90
298,4170.91
299,4215.89
300,4166.67
301,4213.91
302,4173.29
303,4160.20
304,4186.28
305,4257.64
306,4170.91
307,4150.56
308,4153.46
309,4241.16
310,4195.92
311,4196.52
312,4165.64
313,4211.22
314,4141.41
315,4157.63
316,4166.67
317,4260.91
318,4159.35
319,4225.18
320,4218.11
321,4210.58
322,4163.60
323,4143.87
324,4174.62
325,4198.13
326,4175.15
327,4179.41
328,4233.13
329,4171.92
330,4207.32
331,4080.20
332,4143.43
333,4143.58
334,4226.80
335,4263.65
336,4134.42
337,4229.83
338,4170.91
339,4179.41
340,4191.21
341,4209.45
342,4138.63
343,4196.52
344,4175.15
345,4261.98
346,4161.91
347,4183.11
348,4176.17
349,4173.42
350,4233.13
351,4183.67
352,4158.38
353,4175.99
354,4190.17
