Time (s),Bitrate (Bps)
0,16238.43
1,16950.57
2,14721.65
3,14983.26
4,14184.46
5,14439.38
6,13669.44
7,15165.80
8,13908.90
9,12905.25
10,13532.51
11,20537.27
12,13685.63
13,13604.34
14,14551.87
15,11964.55
16,12328.17
17,14381.05
18,9025.75
19,16495.34
20,11577.64
21,8551.51
22,13975.08
23,12592.09
24,13732.16
25,14272.45
26,13530.57
27,14471.62
28,13942.89
29,13759.01
30,13890.38
31,13587.75
32,14113.75
33,13551.08
34,15553.28
35,13142.27
36,12925.47
37,13213.32
38,13303.22
39,13181.54
40,13419.02
41,13366.08
42,11462.41
43,13042.58
44,12903.93
45,13364.67
46,13068.61
47,18016.56
48,13895.83
49,12806.58
50,12495.88
51,13916.32
52,14157.73
53,13217.75
54,12728.59
55,9899.27
56,6870.60
57,12042.49
58,9761.66
59,7709.71
60,16129.40
61,11817.81
62,13161.49
63,18514.02
64,14631.69
65,13839.34
66,11978.31
67,12960.58
68,14863.78
69,6215.46
70,13684.70
71,11438.34
72,13439.18
73,14234.33
74,18172.48
75,11194.42
76,13716.36
77,12673.96
78,15739.36
79,12101.77
80,13272.07
81,13242.55
82,10769.23
83,9872.78
84,5602.48
85,11844.72
86,12856.10
87,8968.78
88,9244.05
89,12266.25
90,10655.64
91,9875.78
92,9824.02
93,9322.98
94,12041.54
95,13044.75
96,12017.65
97,9239.96
98,10105.48
99,15180.31
100,11875.78
101,20708.81
102,13397.52
103,11703.32
104,14269.15
105,18132.85
106,12714.58
107,15938.92
108,13322.68
109,14816.31
110,15796.47
111,13519.63
112,17792.32
113,12149.07
114,13185.49
115,13218.78
116,12019.67
117,19769.63
118,15551.15
119,12223.60
120,17359.21
121,11845.76
122,13435.82
123,9887.51
124,10791.71
125,11574.40
126,17517.13
127,12131.20
128,12252.07
129,11029.87
130,13355.60
131,13560.50
132,13134.85
133,13463.84
134,13688.80
135,13206.22
136,12582.64
137,13931.35
138,12782.61
139,13150.10
140,13586.17
141,14259.34
142,13963.69
143,12008.26
144,11727.09
145,10376.93
146,7377.85
147,7380.41
148,14917.53
149,13414.01
150,14233.71
151,14009.31
152,15537.51
153,13344.65
154,13570.09
155,12562.24
156,9727.37
157,10402.89
158,10969.14
159,12702.19
160,16970.89
161,12227.18
162,17684.97
163,14596.27
164,13208.89
165,11833.16
166,8356.85
167,15174.82
168,14152.33
169,10639.83
170,11103.48
171,8035.09
172,11840.91
173,10344.36
174,14828.66
175,22731.61
176,13461.62
177,9880.78
178,13605.37
179,15099.48
180,15813.08
181,13977.15
182,13102.70
183,13471.93
184,13319.59
185,16589.27
186,15079.71
187,15823.65
188,12300.83
189,6099.48
190,7326.74
191,17547.35
192,15854.04
193,12303.09
194,13814.32
195,20123.70
196,9294.00
197,8202.90
198,11657.68
199,14378.52
200,16278.76
201,9259.79
202,12596.47
203,11088.08
204,8259.30
205,18070.54
206,12499.48
207,11049.01
208,23411.58
209,15404.10
210,16214.29
211,12515.53
212,15023.88
213,11767.95
214,11506.75
215,12283.20
216,14466.39
217,15212.59
218,12608.92
219,9011.41
220,10470.47
221,6149.69
222,6559.25
223,16031.15
224,9935.95
225,15269.27
226,13572.61
227,11516.03
228,14301.24
229,12949.12
230,6732.29
231,12438.34
232,14616.34
233,12433.13
234,9103.41
235,8867.08
236,9803.74
237,8204.15
238,7615.78
239,10187.30
240,16455.58
241,19064.81
242,14370.10
243,22745.34
244,13267.36
245,17166.49
246,14096.47
247,19278.01
248,12334.37
249,12903.19
250,14641.16
251,13798.76
252,16516.06
253,14650.41
254,11629.28
255,9369.95
256,17518.10
257,12278.23
258,13051.76
259,12662.53
260,11834.71
261,10467.84
262,15532.00
263,9986.56
264,11717.82
265,12264.68
266,13924.35
267,8476.19
268,12125.39
269,16826.76
270,16967.84
271,13663.90
272,13276.57
273,11526.21
274,13367.11
275,13217.98
276,13483.01
277,18147.88
278,12813.66
279,13346.47
280,11199.59
281,8772.07
282,8524.90
283,11202.07
284,10251.55
285,7328.82
286,7553.01
287,11723.60
288,9359.50
289,8935.19
290,8610.77
291,14350.62
292,18433.16
293,23210.14
294,18270.19
295,11754.91
296,13142.12
297,18794.03
298,7045.55
299,11692.86
300,12822.50
301,12800.62
302,13751.04
303,13921.24
304,13987.60
305,12348.72
306,14124.74
307,16884.85
308,11589.03
309,11294.30
310,13859.81
311,13792.10
312,18055.73
313,11418.56
314,12175.26
315,12495.85
316,16627.98
317,12428.13
318,11891.89
319,17908.33
320,13789.14
321,18963.00
322,9266.05
323,21019.65
324,16851.51
325,12502.59
326,15506.76
327,13364.67
328,13176.95
329,13862.99
330,15988.60
331,12414.94
332,12376.56
333,13246.89
334,10944.56
335,9953.66
336,17989.69
337,10113.40
338,6082.73
339,14751.03
340,10141.97
341,9262.77
342,13576.04
343,13122.03
344,13000.00
345,13843.94
346,11458.03
347,13026.97
348,13654.24
349,13685.95
350,13661.83
351,12601.45
352,13987.64
353,8915.29
354,10649.21
