Chunk Index,Relative Timestamp Difference (μs)
0,513316
1,483316
2,453316
3,423316
4,393316
5,363316
6,333316
7,303316
8,273317
9,243316
10,213316
11,183316
12,153316
13,123316
14,93316
15,63316
16,33316
17,3316
18,3310
19,1329
20,3306
21,3311
22,3287
23,3311
24,4388
25,4804
26,1577
27,3297
28,3273
29,3279
30,3271
31,3274
32,3258
33,1235
34,1307
35,1485
36,3004
37,3257
38,3259
39,3258
40,6085
41,4687
42,3233
43,3214
44,3236
45,3241
46,3227
47,3224
48,3216
49,3088
50,1232
51,2141
52,3220
53,3213
54,3208
55,3207
56,6174
57,5392
58,4011
59,3197
60,3177
61,3187
62,3163
63,3177
64,3188
65,1921
66,575
67,1901
68,3574
69,3158
70,3153
71,3172
72,4103
73,4857
74,4211
75,3137
76,3155
77,5482
78,3129
79,3136
80,3123
81,2830
82,1648
83,3086
84,3115
85,4722
86,3107
87,3115
88,6474
89,4855
90,3077
91,3090
92,3066
93,3069
94,3084
95,3087
96,3087
97,2765
98,3055
99,879
100,3076
101,3047
102,3066
103,3068
104,3848
105,4597
106,3068
107,2996
108,3024
109,3036
110,3031
111,3011
112,3285
113,1560
114,750
115,3029
116,3043
117,3010
118,3017
119,3041
120,6421
121,3777
122,3181
123,3320
124,3262
125,2984
126,2990
127,2989
128,2970
129,2988
130,22
131,2753
132,2975
133,2984
134,2944
135,2967
136,5930
137,5069
138,2921
139,2934
140,2939
141,2925
142,2947
143,2939
144,2942
145,2632
146,1354
147,2113
148,2905
149,2913
150,2906
151,2923
152,4859
153,2888
154,2887
155,2897
156,2876
157,2888
158,2879
159,2894
160,2888
161,969
162,1346
163,1743
164,2876
165,2867
166,2867
167,2852
168,4476
169,4669
170,2926
171,2848
172,2842
173,2831
174,2997
175,2826
176,2830
177,359
178,380
179,2827
180,2823
181,2827
182,2822
183,2832
184,4370
185,3691
186,2792
187,2794
188,2788
189,2796
190,2780
191,2799
192,2736
193,207
194,380
195,1597
196,2727
197,2730
198,2738
199,2722
200,5487
201,3344
202,2725
203,2743
204,2720
205,2722
206,2756
207,2740
208,2742
209,2723
210,2729
211,2725
212,2747
213,2753
214,2749
215,2730
216,4374
217,2854
218,2625
219,2716
220,2699
221,2714
222,2687
223,2726
224,2689
225,209
226,2679
227,2682
228,2683
229,2695
230,2668
231,2662
232,2594
233,3032
234,2641
235,2667
236,2666
237,2633
238,2645
239,2639
240,2653
241,2623
242,83
243,360
244,2626
245,2610
246,2634
247,2643
248,5057
249,2592
250,3617
251,2611
252,2602
253,2608
254,2582
255,2584
256,2592
257,1168
258,2590
259,198
260,2589
261,2581
262,2570
263,2660
264,4000
265,4459
266,3847
267,2557
268,2587
269,2566
270,2554
271,2533
272,2557
273,2562
274,1425
275,1743
276,2532
277,2542
278,2536
279,2554
280,2861
281,4393
282,3434
283,2831
284,2502
285,2516
286,2510
287,2503
288,2848
289,2506
290,2118
291,1437
292,2507
293,2494
294,2483
295,2485
296,2796
297,5290
298,3110
299,2837
300,2462
301,2470
302,2455
303,2454
304,2455
305,2451
306,958
307,1746
308,2451
309,2450
310,2449
311,2421
312,2943
313,3195
314,3534
315,2409
316,2429
317,2417
318,2392
319,2414
320,2408
321,2414
322,260
323,1020
324,2400
325,2405
326,2392
327,2373
328,2973
329,2347
330,3876
331,2364
332,2356
333,2366
334,2358
335,2347
336,2355
337,2368
338,107
339,2240
340,2355
341,2340
342,2350
343,2332
344,2784
345,3242
346,2931
347,2314
348,2312
349,2312
350,2313
351,2307
352,2309
353,2300
354,1390
355,1256
