Chunk Index,Video Buffer Size
0,0
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0
13,0
14,0
15,0
16,0
17,1
18,2
19,3
20,4
21,5
22,6
23,7
24,8
25,9
26,10
27,11
28,12
29,13
30,14
31,15
32,16
33,17
34,18
35,19
36,20
37,21
38,22
39,23
40,24
41,25
42,26
43,27
44,28
45,29
46,30
47,31
48,32
49,33
50,34
51,35
52,36
53,37
54,38
55,39
56,40
57,41
58,42
59,43
60,44
61,45
62,46
63,47
64,48
65,49
66,50
67,51
68,52
69,53
70,54
71,55
72,56
73,57
74,58
75,59
76,60
77,61
78,62
79,63
80,64
81,65
82,66
83,67
84,68
85,69
86,70
87,71
88,72
89,73
90,74
91,75
92,75
93,75
94,76
95,76
96,76
97,77
98,77
99,78
100,78
101,78
102,79
103,79
104,79
105,80
106,81
107,82
108,82
109,82
110,83
111,83
112,83
113,84
114,84
115,85
116,85
117,85
118,86
119,86
120,87
121,88
122,88
123,89
124,89
125,89
126,90
127,90
128,91
129,91
130,91
131,92
132,92
133,93
134,93
135,93
136,94
137,94
138,95
139,96
140,96
141,96
142,97
143,97
144,98
145,98
146,99
147,99
148,99
149,100
150,100
151,101
152,101
153,101
154,102
155,103
156,103
157,104
158,104
159,105
160,105
161,105
162,106
163,106
164,106
165,107
166,107
167,108
168,108
169,108
170,109
171,110
172,111
173,111
174,111
175,112
176,112
177,112
178,113
179,113
180,114
181,114
182,114
183,115
184,115
185,116
186,116
187,117
188,118
189,118
190,118
191,119
192,119
193,120
194,120
195,120
196,121
197,121
198,122
199,122
200,122
201,123
202,123
203,124
204,125
205,125
206,126
207,126
208,126
209,127
210,127
211,127
212,128
213,128
214,129
215,129
216,129
217,130
218,130
219,131
220,132
221,133
222,133
223,133
224,134
225,134
226,135
227,135
228,135
229,136
230,136
231,137
232,137
233,138
234,139
235,139
236,139
237,140
238,140
239,141
240,141
241,141
242,142
243,142
244,143
245,143
246,143
247,144
248,144
249,144
250,145
251,145
252,146
253,147
254,147
255,148
256,148
257,148
258,149
259,149
260,150
261,150
262,150
263,151
264,151
265,151
266,152
267,152
268,153
269,154
270,155
271,155
272,155
273,155
274,156
275,156
276,157
277,157
278,158
279,158
280,158
281,159
282,159
283,159
284,160
285,161
286,162
287,162
288,162
289,163
290,163
291,164
292,164
293,164
294,165
295,165
296,165
297,166
298,166
299,167
300,167
301,168
302,169
303,169
304,170
305,170
306,170
307,171
308,171
309,171
310,172
311,172
312,173
313,173
314,173
315,174
316,174
317,175
318,176
319,176
320,177
321,177
322,178
323,178
324,178
325,179
326,179
327,180
328,180
329,180
330,181
331,181
332,182
333,182
334,183
335,184
336,184
337,184
338,185
339,185
340,186
341,186
342,186
343,187
344,187
345,188
346,188
347,188
348,189
349,190
350,190
351,191
352,191
353,192
354,192
355,192
356,193
357,193
358,193
359,194
360,194
361,195
362,195
363,196
364,196
365,197
366,198
367,198
368,198
369,199
370,199
371,200
372,200
373,200
374,201
375,201
376,201
377,202
378,202
379,203
380,203
381,204
382,205
383,205
384,206
385,206
386,206
387,207
388,207
389,207
390,208
391,208
392,209
393,209
394,209
395,210
396,210
397,211
398,212
399,212
400,213
401,213
402,213
403,214
404,214
405,215
406,215
407,215
408,216
409,216
410,216
411,217
412,217
413,218
414,218
415,219
416,220
417,220
418,221
419,221
420,221
421,222
422,222
423,223
424,223
425,223
426,224
427,224
428,224
429,225
430,225
431,226
432,227
433,227
434,228
435,228
436,228
437,229
438,229
439,230
440,230
441,230
442,231
443,231
444,232
445,232
446,232
447,233
448,234
449,235
450,235
451,235
452,236
453,236
454,237
455,237
456,237
457,237
458,238
459,238
460,239
461,239
462,240
463,240
464,241
465,242
466,242
467,242
468,243
469,243
470,244
471,244
472,244
473,245
474,245
475,245
476,246
477,246
478,247
479,247
480,248
481,249
482,249
483,250
484,250
485,250
486,251
487,251
488,251
489,252
490,252
491,253
492,253
493,253
494,254
495,254
496,255
497,256
498,256
499,257
500,257
501,257
502,258
503,258
504,259
505,259
506,259
507,260
508,260
509,260
510,261
511,261
512,262
513,263
514,264
515,264
516,264
517,265
518,265
519,265
520,266
521,266
522,267
523,267
524,267
525,268
526,268
527,268
528,269
529,270
